순번,의료기관명,의료기관주소(도로명),의료기관전화번호
1,탄방정신건강의학과의원,"대전광역시 서구 계룡로 605, 메디칼센터상아빌딩 6층 605호 (탄방동)",042-252-1523
2,더숨내과의원,"대전광역시 서구 도안동로11번길 10, PLC빌딩 2층 201,202호 (가수원동)",042-716-5085
3,청담여성의원,"대전광역시 서구 월평중로 36, 3,4층 (월평동)",042-485-3282
4,배재지안이비인후과의원,"대전광역시 서구 배재로 175, 3층 (도마동)",042-721-7559
5,성모윌마취통증의학과의원,"대전광역시 서구 구봉로131번길 49, 3층 304,305호 (관저동)",042-719-7507
6,고르고의원,"대전광역시 서구 봉우로8번길 23, 대전관저디펠리체 2층 205,206,207호 (관저동)",042-541-8273
7,엠엔디메디의원,"대전광역시 서구 관저로 31, 엠디메디컬센터 5층 (관저동)",042-545-7511
8,조일영소아청소년과의원,"대전광역시 서구 구봉로 137, 201,202일부호 (관저동)",042-543-8355
9,한사랑365의원,"대전광역시 서구 계룡로 582, 1층일부, 5층 (괴정동)",042-334-1269
10,한사랑정형외과의원,"대전광역시 서구 계룡로 582, 2,3,4층 (괴정동)",042-334-5169
11,오케이마디의원,"대전광역시 서구 도산로 372-1, 3층 (용문동)",042-534-0365
12,서울굿내과의원,"대전광역시 서구 관저로 157, 하이존 2층 206호 (관저동)",042-477-2000
13,웰본정형외과의원,"대전광역시 서구 관저북로13번길 23-24, 승암빌딩 5층 (관저동)",042-710-7579
14,기린마취통증의학과의원,"대전광역시 서구 청사서로 26, 2층 201호 (월평동)",042-719-8020
15,더편한내과의원,"대전광역시 서구 관저로 23, 3층 (관저동)",042-716-7255
16,메이드유의원,"대전광역시 서구 둔산로31번길 10-23, 4층 (둔산동)",042-638-7582
17,데일리연합의원,"대전광역시 서구 관저로 27, 4층 401,402호 (관저동)",042-716-0365
18,잇츠미의원,"대전광역시 서구 대덕대로 223, 대우토피아 6층 601호 (둔산동)",042-486-6300
