연번,소재지,공원명,주소,공중걷기 유형,파도타기 유형,허리돌리기 유형,상체근육풀기 유형,달리기 유형,역기올리기 유형,레그프레스 유형,어깨근육풀기 유형,윗몸일으키기 유형,역기내리기 유형,등허리지압기 유형,노젓기 유형,입식싸이클 유형,거꾸로매달리기 유형,하체근육풀기 유형,양팔줄당기기 유형,철봉 유형,평행봉 유형,스쿼트머신 유형,좌식싸이클 유형,팔굽혀펴기 유형
1,유성구,신성근린공원,대전 유성구 신성동 11,,,,,,,,,,,,,,,,,2,2,,,2
2,유성구,성두산근린공원,대전 유성구 구성동 20,1,,,,,,,1,,,,,,,,,,,,1,
3,유성구,궁동근린공원,대전 유성구 궁동 390외 1필,1,,1,1,,,,,1,,,,,,,,1,1,,,
4,유성구,엑스포근린공원,대전 유성구 전민동 467-3,1,,1,,,,,,,,1,,,,,,,,,1,
5,유성구,왕골근린공원,대전 유성구 전민동 463-2,1,,2,1,,,,,1,,,,,,,,,,,,
6,유성구,송강근린공원,대전 유성구 송강동 9,1,1,1,,,1,,1,1,,1,,1,,,,,,,,
7,유성구,금성근린공원,대전 유성구 신성동 206,1,,2,1,,,1,,,,2,,1,,,,,,,1,
8,유성구,진잠근린공원,대전 유성구 원내동 358,1,2,2,1,1,,1,,1,,2,,1,,,1,,,,1,
9,유성구,두루봉근린공원,대전 유성구 지족동 871-6외 1필,2,2,2,,1,,,,2,1,,,,,,,,,,,
10,유성구,은구비근린공원,대전 유성구 노은동 523외 1필,2,3,1,2,,,2,,,,,,,,1,,,,,1,
11,유성구,갈마봉근린공원,대전 유성구 지족동 837,,,1,,,,,,,,,,,,,,1,2,,,
12,유성구,장현근린공원,대전 유성구 궁동 477,1,1,1,1,,,,,,,,,,,,,,,,,
13,유성구,한샘근린공원,대전 유성구 대정동 305,1,1,1,1,1,,,,,,,,1,,,,,,,,
14,유성구,소라실근린공원,대전 유성구 지족동 994,,,2,,,,,,,,,,,,,,,,,,
15,유성구,퇴고개근린공원,대전 유성구 하기동 543,1,1,1,,,1,,,,,,,,,,,,,,,
16,유성구,장배기근린공원,대전 유성구 관평동 886 외1필,1,1,1,1,,,,,,,,,,,,,,,,,
17,유성구,동화울수변근린공원,대전 유성구 관평동 771,2,1,1,1,,,1,,,,1,,,,,,,,,,
18,유성구,덕명1근린공원,대전 유성구 덕명동 509,1,,1,1,1,,,,,,,,,,,,,,,,
19,유성구,복용근린공원,대전 유성구 복용동 568,1,1,,1,,1,,,,,1,,,,,,,,,,
20,유성구,청벽산근린공원,대전 유성구 탑립동 712,1,1,1,1,,1,1,,,,,,,,,,,,,,
21,유성구,용반들근린공원,대전 유성구 봉명동 1025-1,1,1,,,,,1,,,,1,,1,,,,,,,,
22,유성구,상대근린공원,대전 유성구 상대동 458-2,,,1,,,,,,1,,1,,,,,,,,,,
23,유성구,천년근린공원,대전 유성구 상대동 486 외 1필,,,2,,4,,,,2,,3,,,,,3,,,,,
24,유성구,덜레기근린공원,대전 유성구 원신흥동 523외 1필,1,1,,1,1,1,1,1,,,1,,,,,,,,,,
25,유성구,원내어린이공원,유성구 원내동 206-5,1,1,,1,,,,,,,,,,,,,,,,,
26,유성구,청룡어린이공원,유성구 원내동 340-7,1,1,,1,,,,,,,,,,,,,,,,,
27,유성구,봉명어린이공원,유성구 봉명동 451-6,1,1,,,1,1,,,,,,,,,,,,,,,
28,유성구,원골어린이공원,유성구 봉명동 560-14,1,,1,,,,,,,,,,,,,,,,,1,
29,유성구,구암어린이공원,유성구 봉명동 557-5,1,,1,1,,,,,,,,,,,,,,,,,
30,유성구,진터어린이공원,유성구 구암동 609,1,,1,,,,,,,,,,,,,,,,,,
31,유성구,들말어린이공원,유성구 봉명동 568-20,1,1,,1,,,,,,,,,,,,,,,,,
32,유성구,인삼어린이공원,유성구 구암동 614-6,1,1,1,,,,,,,,,,,,,,,,,,
33,유성구,방죽어린이공원,유성구 구암동 618-1,1,1,1,1,1,,,,,,,,,,,,,,,,
34,유성구,창리어린이공원,유성구 구암동 588-9,1,1,1,1,,,,,,,,,,,,,,,,,
35,유성구,삼정어린이공원,유성구 구암동 603-1,1,1,1,,,,,,,,,,,,,,,,,,
36,유성구,남산어린이공원,유성구 구암동 628-1,1,1,1,1,,,,,,,,,,,,,,,,,
37,유성구,봉암어린이공원,유성구 궁동 428-1,1,,1,,,,,,,,,,,,,,,,,,
38,유성구,어은어린이공원,유성구 어은동 108,1,,,1,,,,,1,,,,,,,,,,,,
39,유성구,활골어린이공원,유성구 궁동 72-3,1,,1,,,,,,,,,,,,,,,,,,
40,유성구,장수어린이공원,유성구 도룡동 398,1,1,1,,1,,,,,,,,,,,,,,,,
41,유성구,주막어린이공원,유성구 신성동 390외 1,1,1,2,,,,,,,,,,,,,,,,,,
42,유성구,숯골어린이공원,유성구 신성동 129,1,2,1,1,,,,,,,,,1,,,,,,,,
43,유성구,말바위어린이공원,유성구 신성동 151,1,,,,1,1,1,,,,1,,,,,,,,,,
44,유성구,전민어린이공원,유성구 전민동 346-6,1,,1,1,,1,,,,,,,,,,,,,,,
45,유성구,전광어린이공원,유성구 전민동 369-1,1,,,1,,1,1,,,,1,,,,,,,,,,
46,유성구,아리어린이공원,유성구 전민동 466-2,1,1,1,1,,,,,,,,,,,,,,,,,
47,유성구,엉고개어린이공원,유성구 송강동 200-3,1,,1,1,,,1,,,,,1,,,,,,,,,
48,유성구,송강어린이공원,유성구 송강동 184,1,1,1,1,,,,,,,,,,,,,,,,,
49,유성구,장성어린이공원,유성구 봉산동 186,1,1,1,,,,,,,,,,,,,,,,,,
50,유성구,봉산어린이공원,유성구 봉산동 216,1,1,1,1,,,,,,,,,,,,1,,,,,
51,유성구,새미래어린이공원,유성구 지족동 845,,1,,1,,,,,,,,,,,,1,,,,,
52,유성구,지족실어린이공원,유성구 지족동 859,1,,1,,1,,,,,,,,,,,,,1,,,
53,유성구,안산어린이공원,유성구 지족동 878,1,,1,,,,,,,,,,,,,,,,,,
54,유성구,죽궁이어린이공원,유성구 지족동 890,1,,1,1,,,,,,,,,,,,,,,,,
55,유성구,창뜰어린이공원,유성구 노은동 490,1,1,,1,,,,,,,,,,,,,,,,,
56,유성구,논골어린이공원,유성구 노은동 520-2,,1,,1,,,,,,,,,,,,,,,,,
57,유성구,노은어린이공원,유성구 노은동 522-2,1,,1,,,,,,,,,,,,,,,,,,
