구분,명소 소개,소재지,문의전화
역사명소,우리 곁에 흐르는 천년 역사 계족산성,대전광역시 대덕구 장동 산85,042-623-9909
역사명소,사회복지기관의 효시 미륵원,대전광역시 동구 마산동 135-2,042-251-4204
역사명소,조선 예학의 요람 동춘당,대전광역시 대덕구 동춘당로 80 (송촌동),042-608-6572
역사명소,조선의 정원서재 송시열의 남간정사,대전광역시 동구 충정로 53 (가양동),042-673-9286
역사명소,단재 신채호 선생 생가터와 동상,대전광역시 중구 단재로229번길 47,042-606-6283
역사명소,"옛 대전형무소 망루, 우물",대전광역시 중구 목중로 34(목동),042-606-6281
역사명소,수운교의 성지 천단,대전광역시 유성구 자운로 245번길 80 (추목동),042-861-1771
역사명소,500년 장묘문화의 보고 이사동 민속마을,대전광역시 동구 이사동 산3,
역사명소,옛 충남도청과 근현대사전시관,대전광역시 중구 중앙로 101 (선화동),042-270-6303
문화명소,잘 있거라 나는 간다 대전역과 추억의 가락국수,대전광역시 동구 중앙로 218 일원(정동),070-4681-2873
문화명소,호국공원 국립대전현충원,대전광역시 유성구 현충원로251,042-718-7114
문화명소,뿌리를 찾아 떠나는 여행 뿌리공원과 족보박물관,대전광역시 중구 뿌리공원로 79,042-581-4445
문화명소,현대미술 거장의 혼이 깃든 고암 이응노 미술관,대전광역시 서구 둔산대로 157,042-611-9821
문화명소,최대 규모의 고전 종악기 카리용,대전광역시 서구 혜천로 100,042-580-6114
문화명소,대한민국 3대 빵집 성심당(聖心堂),대전광역시 중구 대종로 480번길 15,1588-8069
문화명소,화폐박물관,대전광역시 유성구 과학로 80-67,042-870-1200
문화명소,시간을 담은 땅의 기록 지질박물관,대전광역시 유성구 과학로 124,042-868-3797
문화명소,도심 속 전통시장 유성5일장,대전광역시 유성구 장대동,042-270-3984
문화명소,대전 예술의 홈그라운드 대전예술의전당,대전광역시 서구 둔산대로 135,042-270-8333
문화명소,천연기념물센터,대전광역시 서구 유등로 927,042-610-7610
생태환경명소,맨발의 힐링캠프 계족산 황톳길,대전광역시 대덕구 장동 산 85,042-623-9909
생태환경명소,도심 속 온천 유성온천과 족욕체험장,대전광역시 유성구 봉명동 574,042-611-2718
생태환경명소,강 따라 떠나는 자전거 여행 3대 하천과 자전거길,"대전광역시 대전천, 유등천, 갑천 산책로, 자전거도로",042-270-3984
생태환경명소,종합테마파크 오-월드,대전광역시 중구 사정공원로 70(사정로),042-580-4820
생태환경명소,메타세콰이어 숲이 아름다운 장태산자연휴양림,대전광역시 서구 장안로 461 장태산자연휴양림,042-270-7883
생태환경명소,대표 녹색생태 관광지 대청호 오백리길,대전광역시 대덕구 대청로 618-136(대청댐),042-869-5114
생태환경명소,아름다운 야경을 볼 수 있는 보문산 보운대와 대동하늘공원,대전광역시 동구 이화로 35번길 50,042-606-6114
생태환경명소,도심속 비밀정원 한밭수목원,대전광역시 서구 둔산대로 169,042-270-8452
생태환경명소,산 따라 도는 한밭 한바퀴 대전둘레산길 300리,대전광역시 중구 보문산공원로 422 (1구간),042-270-5583
생태환경명소,금강을 체험하는 금강로하스 에코파크,대전광역시 대덕구 대청로 167 (신탄진동),042-933-9481
과학명소,대한민국의 미래가 보인다 카이스트(KAIST),대전광역시 유성구 대학로 291 한국과학기술원,042-350-2293
과학명소,엑스포과학공원과 세계엑스포 기념품박물관,대전광역시 유성구 대덕대로 480 (도룡동),042-869-5114
과학명소,모든 기준을 만들다 한국표준과학연구원과 해시계,대전광역시 유성구 가정로 267 (도룡동),042-868-5593
과학명소,ICT 발원지를 찾아서 한국전자통신연구원,대전광역시 유성구 가정로 218,042-860-6114
과학명소,우주의 신비를 찾아서 국립중앙과학관과 천체투영기,대전광역시 유성구 대덕대로 481 국립중앙과학관,042-601-7894
과학명소,한의학 연구의 허브 한국한의학연구원,대전광역시 유성구 유성대로 1672,042-868-9516
과학명소,우주의 낭만을 찾아서 대전시민천문대와 굴절망원경,대전광역시 유성구 과학로 213-48 (신성동),042-863-8763
과학명소,달에서 몸무게는 얼마일까? 한국천문연구원,대전광역시 유성구 대덕대로 776 (화암동 61-1),042-865-2084
과학명소,우주를 향한 인간의 도전 한국항공우주연구원과 나로호,대전광역시 유성구 과학로 169-84 (어은동),042-870-3657
과학명소,미래의 여행 한국기계연구원,대전광역시 유성구 가정북로 156,042-861-7401
