연번,종목,명칭,명칭(한자),소재지,지정일,분류,수량/면적
1,국보제101호,원주 법천사지 지광국사탑,原州 法泉寺址 智光國師塔,대전광역시 유성구,1962-12-20,유적건조물/종교신앙/불교/탑,1기
2,보물제209호,대전 회덕 동춘당,大田 懷德 同春堂,대전광역시 대덕구,1963-01-21,유적건조물/주거생활/주거건축/가옥,1동
3,보물제873호,정선 필 육상묘도,鄭敾 筆 毓祥廟圖,대전광역시 서구,1986-10-15,유물/일반회화/산수화/산수화,1축
4,보물제1165호,"예념미타도량참법 권3~4, 7~8","禮念彌陀道場懺法 卷三~四, 七~八",대전광역시 대덕구,1993-06-15,기록유산/전적류/목판본/왕실본,4권 2책
5,보물제1215-4호,이색 초상 - 대전영당본,李穡 肖像 - 大田影堂本,대전광역시 유성구,1995-12-11,유물/일반회화/인물화/초상화,1폭
6,보물제1477-2호,채제공 초상 일괄 - 금관조복본,蔡濟恭 肖像 一括 - 金冠朝服本,대전광역시 동구,2006-12-29,유물/일반회화/인물화/초상화,"초상1점, 함1점"
7,보물제1477-3호,채제공 초상 일괄 - 흑단령포본,蔡濟恭 肖像 一括 - 黑團領袍本,대전광역시 동구,2006-12-29,유물/일반회화/인물화/초상화,1점
8,보물제1482호,이시방 초상,李時昉 肖像,대전광역시 유성구,2006-12-29,유물/일반회화/인물화/초상화,"초상1점, 함1점"
9,보물제1519호,묘법연화경삼매참법 권상,妙法蓮華經三昧懺法 卷上,대전광역시 유성구,2007-07-13,기록유산/전적류/목판본/사찰본,1첩
10,보물제1623호,성수침 필적,成守琛 筆蹟,대전광역시 유성구,2010-01-04,기록유산/서간류/서예/서예,1첩
11,보물제1652호,통영 측우대,統營 測雨臺,대전광역시 유성구,2010-04-23,유물/과학기술/계측교역기술용구/도량형,1기
12,보물제1672-2호,송준길 행초 서증손병하,宋浚吉 行草 書贈孫炳夏,대전광역시 유성구,2010-10-25,기록유산/서간류/서예/서예,1축
13,보물제1829호,대전 비래사 목조비로자나불좌상,大田 飛來寺 木造毘盧遮那佛坐像,대전광역시 대덕구,2014-07-02,유물/불교조각/목조/불상,1구
14,사적제355호,대전 계족산성,大田 鷄足山城,대전광역시 대덕구,1991-10-25,유적건조물/정치국방/성/성곽,"82,032㎡"
15,천연기념물제545호,대전 괴곡동 느티나무,大田 槐谷洞 느티나무,대전광역시 서구,2013-07-17,자연유산/천연기념물/문화역사기념물/민속,"문화재구역(389㎡), 보호구역(4,687㎡)"
16,국가민속문화재제289호,대전 동춘당 종택,大田 同春堂 宗宅,대전광역시 대덕구,2016-08-26,유적건조물/주거생활/주거건축/가옥,"건물 4동(477.9㎡), 토지 7,676㎡(2필지)"
