영화관명,소재지,상영관,객석수,전화번호
메가박스 대전유성,대전 유성구 계룡로 132번길 10(봉명동) 센트럴프라자 5층,1관,207,1544-0070
메가박스 대전유성,대전 유성구 계룡로 132번길 10(봉명동) 센트럴프라자 5층,2관,179,1544-0070
메가박스 대전유성,대전 유성구 계룡로 132번길 10(봉명동) 센트럴프라자 5층,3관,158,1544-0070
메가박스 대전유성,대전 유성구 계룡로 132번길 10(봉명동) 센트럴프라자 5층,4관,173,1544-0070
메가박스 대전유성,대전 유성구 계룡로 132번길 10(봉명동) 센트럴프라자 5층,5관,206,1544-0070
메가박스 대전지점,대전 서구 문정로 77(탄방동) 로데오타운 5층,1관,202,1544-0070
메가박스 대전지점,대전 서구 문정로 77(탄방동) 로데오타운 5층,2관,128,042-489-2300
메가박스 대전지점,대전 서구 문정로 77(탄방동) 로데오타운 5층,3관,176,042-489-2300
메가박스 대전지점,대전 서구 문정로 77(탄방동) 로데오타운 5층,4관,126,042-489-2300
메가박스 대전지점,대전 서구 문정로 77(탄방동) 로데오타운 5층,5관,150,042-489-2300
메가박스 대전지점,대전 서구 문정로 77(탄방동) 로데오타운 5층,6관,234,042-489-2300
메가박스 대전지점,대전 서구 문정로 77(탄방동) 로데오타운 5층,7관,130,042-489-2300
메가박스 대전지점,대전 서구 문정로 77(탄방동) 로데오타운 5층,8관,187,042-489-2300
메가박스 중앙대전 중앙로지점,대전 중구 중앙로 126(대흥동) 4층~9층,1관,168,042-222-5007
메가박스 중앙대전 중앙로지점,대전 중구 중앙로 126(대흥동) 4층~9층,2관,114,042-222-5007
메가박스 중앙대전 중앙로지점,대전 중구 중앙로 126(대흥동) 4층~9층,3관,128,042-222-5007
메가박스 중앙대전 중앙로지점,대전 중구 중앙로 126(대흥동) 4층~9층,4관,152,042-222-5007
메가박스 중앙대전 중앙로지점,대전 중구 중앙로 126(대흥동) 4층~9층,5관,168,042-222-5007
메가박스 중앙대전 중앙로지점,대전 중구 중앙로 126(대흥동) 4층~9층,6관,114,042-222-5007
메가박스 중앙대전 중앙로지점,대전 중구 중앙로 126(대흥동) 4층~9층,7관,128,042-222-5007
메가박스 중앙대전 중앙로지점,대전 중구 중앙로 126(대흥동) 4층~9층,8관,152,042-222-5007
롯데시네마 대전둔산,대전 서구 대덕대로 325(월평동) 스타게이트 12층,1관,234,1544-8855
롯데시네마 대전둔산,대전 서구 대덕대로 325(월평동) 스타게이트 12층,2관,236,1544-8855
롯데시네마 대전둔산,대전 서구 대덕대로 325(월평동) 스타게이트 12층,3관,260,1544-8855
롯데시네마 대전둔산,대전 서구 대덕대로 325(월평동) 스타게이트 12층,4관,210,1544-8855
롯데시네마 대전둔산,대전 서구 대덕대로 325(월평동) 스타게이트 12층,5관,103,1544-8855
롯데시네마 대전둔산,대전 서구 대덕대로 325(월평동) 스타게이트 12층,6관,116,1544-8855
롯데시네마 대전둔산,대전 서구 대덕대로 325(월평동) 스타게이트 12층,7관,119,1544-8855
롯데시네마 대전둔산,대전 서구 대덕대로 325(월평동) 스타게이트 12층,8관,128,1544-8855
롯데시네마 대전둔산,대전 서구 대덕대로 325(월평동) 스타게이트 12층,9관,131,1544-8855
롯데시네마 대전둔산,대전 서구 대덕대로 325(월평동) 스타게이트 12층,10관,132,1544-8855
롯데시네마 대전,대전 서구 계룡로 598(괴정동) 롯데백화점 10층,1관,105,1544-8855
롯데시네마 대전,대전 서구 계룡로 598(괴정동) 롯데백화점 10층,2관,218,042-601-2940
롯데시네마 대전,대전 서구 계룡로 598(괴정동) 롯데백화점 10층,3관,138,042-601-2940
롯데시네마 대전,대전 서구 계룡로 598(괴정동) 롯데백화점 10층,4관,139,042-601-2940
롯데시네마 대전,대전 서구 계룡로 598(괴정동) 롯데백화점 10층,5관,149,042-601-2940
롯데시네마 대전,대전 서구 계룡로 598(괴정동) 롯데백화점 10층,6관,187,042-601-2940
롯데시네마 대전,대전 서구 계룡로 598(괴정동) 롯데백화점 10층,7관,93,042-601-2940
롯데시네마 대전,대전 서구 계룡로 598(괴정동) 롯데백화점 10층,8관,115,042-601-2940
롯데시네마 대전관저,대전 서구 봉우로 8번길 23(관저동) 5층~6층,1관,121,1544-8855
롯데시네마 대전관저,대전 서구 봉우로 8번길 23(관저동) 5층~6층,2관,57,1544-8855
롯데시네마 대전관저,대전 서구 봉우로 8번길 23(관저동) 5층~6층,3관,272,1544-8855
롯데시네마 대전관저,대전 서구 봉우로 8번길 23(관저동) 5층~6층,4관,57,1544-8855
롯데시네마 대전관저,대전 서구 봉우로 8번길 23(관저동) 5층~6층,5관,302,1544-8855
롯데시네마 대전관저,대전 서구 봉우로 8번길 23(관저동) 5층~6층,6관,133,1544-8855
롯데시네마 대전관저,대전 서구 봉우로 8번길 23(관저동) 5층~6층,7관,125,1544-8855
메가박스 대전현대아울렛,대전 유성구 테크노중앙로 161(용산동) 현대프리미엄아울렛 대전점 3~4층,1관,159,1544-0070
메가박스 대전현대아울렛,대전 유성구 테크노중앙로 161(용산동) 현대프리미엄아울렛 대전점 3~4층,2관,159,1544-0070
메가박스 대전현대아울렛,대전 유성구 테크노중앙로 161(용산동) 현대프리미엄아울렛 대전점 3~4층,3관,158,1544-0070
메가박스 대전현대아울렛,대전 유성구 테크노중앙로 161(용산동) 현대프리미엄아울렛 대전점 3~4층,MX관,261,1544-0070
메가박스 대전현대아울렛,대전 유성구 테크노중앙로 161(용산동) 현대프리미엄아울렛 대전점 3~4층,5관,107,1544-0070
메가박스 대전현대아울렛,대전 유성구 테크노중앙로 161(용산동) 현대프리미엄아울렛 대전점 3~4층,6관,160,1544-0070
메가박스 대전현대아울렛,대전 유성구 테크노중앙로 161(용산동) 현대프리미엄아울렛 대전점 3~4층,7관,173,1544-0070
CGV대전가오,대전 동구 은어송로 72(가오동) 4층,1관,144,1544-1122
CGV대전가오,대전 동구 은어송로 72(가오동) 4층,2관,144,1544-1122
CGV대전가오,대전 동구 은어송로 72(가오동) 4층,3관,202,1544-1122
CGV대전가오,대전 동구 은어송로 72(가오동) 4층,4관,154,1544-1122
CGV대전가오,대전 동구 은어송로 72(가오동) 4층,MAX관,134,1544-1122
CGV대전가오,대전 동구 은어송로 72(가오동) 4층,6관,164,1544-1122
CGV대전가오,대전 동구 은어송로 72(가오동) 4층,7관,110,1544-1122
CGV대전터미널,"대전 동구 동서대로 1689, 3층(용전동)",1관,158,1544-1122
CGV대전터미널,"대전 동구 동서대로 1689, 3층(용전동)",2관,259,1544-1122
CGV대전터미널,"대전 동구 동서대로 1689, 3층(용전동)",3관,158,1544-1122
CGV대전터미널,"대전 동구 동서대로 1689, 3층(용전동)",4관,259,1544-1122
CGV대전터미널,"대전 동구 동서대로 1689, 3층(용전동)",5관,158,1544-1122
CGV대전터미널,"대전 동구 동서대로 1689, 3층(용전동)",6관,259,1544-1122
CGV대전터미널,"대전 동구 동서대로 1689, 3층(용전동)",7관,158,1544-1122
대전독립영화전용관 씨네인디U,대전 중구 계백로 1712(문화동) 기독교연합봉사회관 1층,1관,72,042-331-1895
CGV대전가수원,대전 서구 도안동로11번길45(가수원동) U플라자 5~6층,1관,97,042-545-0038
CGV대전가수원,대전 서구 도안동로11번길45(가수원동) U플라자 5~6층,2관,204,042-545-0038
CGV대전가수원,대전 서구 도안동로11번길45(가수원동) U플라자 5~6층,3관,180,042-545-0038
CGV대전가수원,대전 서구 도안동로11번길45(가수원동) U플라자 5~6층,4관,348,042-545-0038
CGV대전가수원,대전 서구 도안동로11번길45(가수원동) U플라자 5~6층,5관,187,042-545-0038
CGV 대전탄방,대전 서구 문정로 85(탄방동) 세이탄방점 7층,1관,159,1544-1122
CGV 대전탄방,대전 서구 문정로 85(탄방동) 세이탄방점 7층,2관,172,1544-1122
CGV 대전탄방,대전 서구 문정로 85(탄방동) 세이탄방점 7층,3관,154,1544-1122
CGV 대전탄방,대전 서구 문정로 85(탄방동) 세이탄방점 7층,4관,159,1544-1122
CGV 대전탄방,대전 서구 문정로 85(탄방동) 세이탄방점 7층,5관,172,1544-1122
CGV 대전탄방,대전 서구 문정로 85(탄방동) 세이탄방점 7층,6관,154,1544-1122
CGV대전,대전 중구 계백로 1700(문화동) 세이백화점 6층,1관,108,1544-1122
CGV대전,대전 중구 계백로 1700(문화동) 세이백화점 6층,2관,249,1544-1122
CGV대전,대전 중구 계백로 1700(문화동) 세이백화점 6층,3관,344,1544-1122
CGV대전,대전 중구 계백로 1700(문화동) 세이백화점 6층,4관,273,1544-1122
CGV대전,대전 중구 계백로 1700(문화동) 세이백화점 6층,5관,364,1544-1122
CGV대전,대전 중구 계백로 1700(문화동) 세이백화점 6층,6관,118,1544-1122
CGV대전,대전 중구 계백로 1700(문화동) 세이백화점 6층,7관,118,1544-1122
CGV대전,대전 중구 계백로 1700(문화동) 세이백화점 6층,8관,128,1544-1122
CGV대전,대전 중구 계백로 1700(문화동) 세이백화점 6층,9관,128,1544-1122
CGV 유성노은,대전 유성구 노은로 144(지족동) 노은타운 7층,1관,196,1544-1122
CGV 유성노은,대전 유성구 노은로 144(지족동) 노은타운 7층,2관,158,1544-1122
CGV 유성노은,대전 유성구 노은로 144(지족동) 노은타운 7층,3관,158,1544-1122
CGV 유성노은,대전 유성구 노은로 144(지족동) 노은타운 7층,4관,228,1544-1122
CGV 유성노은,대전 유성구 노은로 144(지족동) 노은타운 7층,5관,228,1544-1122
별빛영화마을 대전자동차극장,대전 서구 벌곡로 294(오동),1관,160,042-863-0104
롯데시네마 대전센트럴,대전 서구 대덕대로 216(둔산동) NJ타워 6층,1관,131,1544-8855
롯데시네마 대전센트럴,대전 서구 대덕대로 216(둔산동) NJ타워 6층,2관,58,1544-8855
롯데시네마 대전센트럴,대전 서구 대덕대로 216(둔산동) NJ타워 6층,3관,82,1544-8855
롯데시네마 대전센트럴,대전 서구 대덕대로 216(둔산동) NJ타워 6층,4관,145,1544-8855
롯데시네마 대전센트럴,대전 서구 대덕대로 216(둔산동) NJ타워 6층,5관,150,1544-8855
롯데시네마 대전센트럴,대전 서구 대덕대로 216(둔산동) NJ타워 6층,6관,109,1544-8855
롯데시네마 대전센트럴,대전 서구 대덕대로 216(둔산동) NJ타워 6층,7관,184,1544-8855
대전아트시네마,대전 동구 중앙로 192-1(중동) 3층,1관,150,472-1138
