,키워드,빈도수
0,대전,134
1,일자리,53
2,도시,43
3,생각,41
4,지역,39
5,인구,37
6,청년,35
7,사람,34
8,기업,21
9,정책,20
10,세종,19
11,지원,18
12,전시,17
13,제공,16
14,출산,16
15,취업,15
16,대기업,14
17,주택,13
18,관광,12
19,개발,12
20,주변,11
21,유입,10
22,공간,10
23,사업,10
24,유출,10
25,위해,10
26,살기,10
27,교통,10
28,활성화,10
29,아이,9
30,홍보,9
31,관련,9
32,결혼,9
33,필요,9
34,전국,9
35,경우,9
36,대한,9
37,사회,9
38,세종시,9
39,유치,9
40,지하철,8
41,이상,8
42,노잼,8
43,중소기업,8
44,혜택,8
45,대학,8
46,교육,8
47,문화,8
48,지금,8
49,주민,8
50,가구,8
51,비용,8
52,과학,7
53,프로그램,7
54,시간,7
55,시민,7
56,부족,7
57,다른,7
58,공원,7
59,서울,7
60,이전,7
61,양질,7
62,적극,7
63,노인,7
64,거리,6
65,활용,6
66,한번,6
67,하나,6
68,운영,6
69,대학생,6
70,채용,6
71,공장,6
72,외부,6
73,정말,6
74,이동,6
75,센터,6
76,해결,6
77,방법,6
78,부분,6
79,우선,5
80,현재,5
81,발전,5
82,진행,5
83,참여,5
84,지속,5
85,때문,5
86,자연,5
87,단지,5
88,시설,5
89,공공기관,5
90,확대,5
91,제도,5
92,개선,5
93,이유,5
94,상황,5
95,집값,5
96,정부,5
97,임신,5
98,주거,5
99,산업,5
