,Unnamed: 0,시군구,소방서,경찰서,소형상업시설(음식점_카페_학원_편의점),대형상업시설,숙박시설,기차역
0,0,서울_강남구,1,16,15163,55,139,10
1,1,서울_강동구,1,10,6343,39,70,0
2,2,서울_강북구,1,9,3806,25,101,0
3,3,서울_강서구,1,11,7638,34,92,1
4,4,서울_관악구,1,10,6461,27,98,0
5,5,서울_광진구,1,12,5609,26,66,0
6,6,서울_구로구,1,9,5565,49,100,6
7,7,서울_금천구,0,6,3845,26,65,3
8,8,서울_노원구,1,9,5218,25,26,3
9,9,서울_도봉구,1,9,3429,15,21,5
10,10,서울_동대문구,1,12,4902,33,112,7
11,11,서울_동작구,1,8,4143,19,30,1
12,12,서울_마포구,1,9,8638,31,115,2
13,13,서울_서대문구,1,9,4739,14,75,2
14,14,서울_서초구,1,13,8169,29,80,0
15,15,서울_성동구,1,10,4562,22,62,3
16,16,서울_성북구,1,12,5371,47,93,0
17,17,서울_송파구,1,11,8807,46,52,1
18,18,서울_양천구,1,9,4716,27,17,0
19,19,서울_영등포구,1,11,7384,42,175,3
20,20,서울_용산구,1,9,5056,23,104,9
21,21,서울_은평구,1,11,5616,35,58,2
22,22,서울_종로구,1,23,5730,24,201,0
23,23,서울_중구,1,17,5383,62,281,1
24,24,서울_중랑구,1,9,4410,14,89,7
