,시군구,행정기관,"법원, 교도소",문화시설_영화/공연/미술관박물관,버스터미널
0,서울_강남구,22,0,94,0
1,서울_강동구,20,0,12,0
2,서울_강북구,15,0,18,0
3,서울_강서구,30,0,17,0
4,서울_관악구,23,0,17,0
5,서울_광진구,17,0,25,1
6,서울_구로구,18,1,16,0
7,서울_금천구,12,0,5,0
8,서울_노원구,21,0,19,0
9,서울_도봉구,16,1,12,0
10,서울_동대문구,16,0,21,0
11,서울_동작구,17,0,10,0
12,서울_마포구,18,1,77,0
13,서울_서대문구,16,0,43,0
14,서울_서초구,20,6,62,3
15,서울_성동구,19,0,31,0
16,서울_성북구,21,0,48,0
17,서울_송파구,29,2,37,0
18,서울_양천구,20,1,9,0
19,서울_영등포구,20,0,31,0
20,서울_용산구,18,1,48,0
21,서울_은평구,18,0,12,0
22,서울_종로구,19,0,367,0
23,서울_중구,18,0,77,0
24,서울_중랑구,18,0,5,1
