관명,우편번호,주소
강원도지방경찰청 강릉경찰서,25492,강원도 강릉시 강릉대로 377 (포남동)
강원도지방경찰청 고성경찰서,24737,강원도 고성군 간성읍 탑동길 12
강원도지방경찰청 동해경찰서,25754,강원도 동해시 천곡로 107 (천곡동)
강원도지방경찰청 삼척경찰서,25927,강원도 삼척시 정상로 53 (정상동)
강원도지방경찰청 속초경찰서,24863,강원도 속초시 도리원길 93 (노학동)
강원도지방경찰청 양구경찰서,24523,강원도 양구군 양구읍 양남로 1
강원도지방경찰청 영월경찰서,26233,강원도 영월군 영월읍 단종로 9
강원도지방경찰청 원주경찰서,26329,강원도 원주시 봉산로 1 (봉산동)
강원도지방경찰청 인제경찰서,24631,강원도 인제군 인제읍 인제로209번길 9
강원도지방경찰청 정선경찰서,26129,강원도 정선군 정선읍 비봉로 31
강원도지방경찰청 철원경찰서,24042,강원도 철원군 갈말읍 삼부연로 35
강원도지방경찰청 춘천경찰서,24362,강원도 춘천시 춘천로 61 (효자동)
강원도지방경찰청 태백경찰서,26052,강원도 태백시 장성로 26 (장성동)
강원도지방경찰청 평창경찰서,25374,강원도 평창군 평창읍 군청길 55
강원도지방경찰청 홍천경찰서,25126,강원도 홍천군 홍천읍 홍천로 651
강원도지방경찰청 화천경찰서,24125,강원도 화천군 화천읍 화천새싹길 33
강원도지방경찰청 횡성경찰서,25227,강원도 횡성군 횡성읍 어사매로 78
경기도남부지방경찰청 과천경찰서,13807,경기도 과천시 통영로 20 (중앙동)
경기도남부지방경찰청 광명경찰서,14240,경기도 광명시 디지털로 5 (철산동)
경기도남부지방경찰청 광주경찰서,12749,경기도 광주시 포돌이로 135 (탄벌동)
경기도남부지방경찰청 군포경찰서,15829,경기도 군포시 산본로324번길 16 (금정동)
경기도남부지방경찰청 김포경찰서,10090,경기도 김포시 태장로795번길 65 (장기동)
경기도남부지방경찰청 부천소사경찰서,14734,경기도 부천시 소사구 경인로160번길 70 (송내동)
경기도남부지방경찰청 부천오정경찰서,14485,경기도 부천시 오정구 소사로 631 (여월동)
경기도남부지방경찰청 부천원미경찰서,14549,경기도 부천시 원미구 조마루로311번길 84 (중동)
경기도남부지방경찰청 분당경찰서,13557,경기도 성남시 분당구 정자일로 165 (정자동)
경기도남부지방경찰청 성남수정경찰서,13110,경기도 성남시 수정구 성남대로 1259 (태평동)
경기도남부지방경찰청 성남중원경찰서,13200,경기도 성남시 중원구 금빛로2번길 10 (상대원동)
경기도남부지방경찰청 수원남부경찰서,16528,경기도 수원시 영통구 매봉로 52 (매탄동)
경기도남부지방경찰청 수원서부경찰서,16626,경기도 수원시 권선구 서부로 1673 (탑동)
경기도남부지방경찰청 수원중부경찰서,16335,경기도 수원시 장안구 정자천로 199 (정자동)
경기도남부지방경찰청 시흥경찰서,15002,경기도 시흥시 황고개로 513 (장곡동)
경기도남부지방경찰청 안산단원경찰서,15335,경기도 안산시 단원구 화랑로 373 (고잔동)
경기도남부지방경찰청 안산상록경찰서,15585,경기도 안산시 상록구 차돌배기로 10 (사동)
경기도남부지방경찰청 안성경찰서,17595,경기도 안성시 알미산로 140 (도기동)
경기도남부지방경찰청 안양동안경찰서,14048,경기도 안양시 동안구 동안로159번길 43 (비산동)
경기도남부지방경찰청 안양만안경찰서,14091,경기도 안양시 만안구 냉천로 63 (안양동)
경기도남부지방경찰청 양평경찰서,12507,경기도 양평군 옥천면 고읍로 88 (옥천리)
경기도남부지방경찰청 여주경찰서,12627,경기도 여주시 세종로 50 (창동)
경기도남부지방경찰청 오산경찰서,18148,경기도 오산시 동부대로 596 (부산동)
경기도남부지방경찰청 용인동부경찰서,17019,경기도 용인시 처인구 금학로 143 (삼가동)
경기도남부지방경찰청 용인서부경찰서,16905,경기도 용인시 기흥구 용구대로2469번길 32 (보정동)
