"시도별(1)","설립주체별(1)",2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
"시도별(1)","설립주체별(1)",학교수 (개),학교수 (개),학교수 (개),학교수 (개),학교수 (개),학교수 (개),학교수 (개),교직원수,교직원수,교직원수,교직원수,입학자수,졸업자수,교실수,교실수,교실수,교실수,학급수,학급수,학급수,학급수,학급수,학급수,학급수,학급수,학급수,학급수,학급수,학급수,학급수,학급수,학생수,학생수,학생수,학생수,학생수,학생수,학생수,학생수,학생수,학생수,학생수,학생수,학생수,학생수,학생수,학생수,학생수,학생수,학생수,학생수,학생수,학생수,학생수
"시도별(1)","설립주체별(1)",소계,주야별,주야별,주야별,남여별,남여별,남여별,교원수,교원수,직원수,직원수,여자,여자,일반교실,교과교실,특별교실,수준별교실,1학년,2학년,3학년,특수학급,주간,주간,주간,주간,주간,야간,야간,야간,야간,야간,여자,주간,주간,야간,야간,1학년,1학년,1학년,1학년,1학년,1학년,2학년,2학년,2학년,2학년,2학년,2학년,3학년,3학년,3학년,3학년,3학년,3학년
"시도별(1)","설립주체별(1)",소계,주간,야간,주야간,남자,여자,공학,소계,여자,소계,여자,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,1학년,2학년,3학년,특수학급,소계,1학년,2학년,3학년,특수학급,소계,소계,여자,소계,여자,소계,여자,주간,주간,야간,야간,소계,여자,주간,주간,야간,야간,소계,여자,주간,주간,야간,야간
"시도별(1)","설립주체별(1)",소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,소계,여자,소계,여자,소계,소계,소계,여자,소계,여자,소계,소계,소계,여자,소계,여자
"서울","계",320,319,-,1,74,85,161,21261,11789,1963,748,36424,40806,9540,1807,4194,362,3010,3079,3102,259,9449,3010,3079,3101,259,1,-,-,1,-,109455,224297,109449,19,6,74770,36556,74770,36556,-,-,75795,36930,75795,36930,-,-,73751,35969,73732,35963,19,6
"부산","계",142,142,-,-,39,35,68,7933,4224,921,375,12127,14029,3488,901,1951,108,1124,1128,1126,86,3464,1124,1128,1126,86,-,-,-,-,-,36301,76573,36301,-,-,25183,12097,25183,12097,-,-,26137,12352,26137,12352,-,-,25253,11852,25253,11852,-,-
"대구","계",93,93,-,-,23,19,51,6617,3241,617,233,10211,12063,2733,644,1340,70,885,921,926,74,2806,885,921,926,74,-,-,-,-,-,30961,65807,30961,-,-,21383,10209,21383,10209,-,-,22602,10671,22602,10671,-,-,21822,10081,21822,10081,-,-
"인천","계",125,125,-,-,41,37,47,7605,4486,628,310,12179,13298,3167,675,1669,41,1041,1041,1029,110,3221,1041,1041,1029,110,-,-,-,-,-,36086,74886,36086,-,-,25266,12197,25266,12197,-,-,25494,12334,25494,12334,-,-,24126,11555,24126,11555,-,-
"광주","계",68,68,-,-,16,20,32,4108,2016,367,129,7150,8542,1805,266,905,65,569,591,573,51,1784,569,591,573,51,-,-,-,-,-,21742,45612,21742,-,-,14907,7147,14907,7147,-,-,15608,7398,15608,7398,-,-,15097,7197,15097,7197,-,-
"대전","계",62,62,-,-,15,12,35,4299,2180,340,139,6802,7478,1764,426,730,29,590,593,593,60,1836,590,593,593,60,-,-,-,-,-,20169,42488,20169,-,-,14264,6805,14264,6805,-,-,14311,6814,14311,6814,-,-,13913,6550,13913,6550,-,-
"울산","계",58,58,-,-,9,7,42,3234,1889,276,152,4859,5753,1310,441,649,23,432,451,439,47,1369,432,451,439,47,-,-,-,-,-,14665,31391,14665,-,-,10340,4858,10340,4858,-,-,10792,4999,10792,4999,-,-,10259,4808,10259,4808,-,-
"세종","계",20,20,-,-,1,1,18,1118,700,95,57,1895,1442,457,238,358,8,160,149,131,14,454,160,149,131,14,-,-,-,-,-,5176,10246,5176,-,-,3751,1910,3751,1910,-,-,3505,1761,3505,1761,-,-,2990,1505,2990,1505,-,-
