관광지명,관광지구분,소재지도로명주소,소재지지번주소,위도,경도,주차가능수,관광지소개,관리기관전화번호,관리기관명,데이터기준일자
낙동강승전기념관,관광지,대구광역시 남구 앞산공원로 574-110,,35.84569559,128.5925713,30,"6. 25당시 마지막 저지선이었던 낙동강전적지를 기념하고, 참전용사들의 거룩한 얼을 기리기 위해 세운 곳으로 최근 호국보훈 관광명소로 떠오르고 있다.",053-621-9880,대구광역시 남구청,2020-07-01
고산골 공룡공원,관광지,대구 남구 용두2길 43,,35.82991348,128.6033889,30,고산골 일대 1억년 전 중생대 백악기의 흔적을 볼 수 있는 곳으로 2017년 조성된 지 1년 만에 100만명이 넘는 관광객이 다녀갈 정도 최근 대구의 떠오르는 관광명소로 부각되고 있다.,053-664-2174,대구광역시 남구청,2020-07-01
앞산전망대,관광지,대구광역시 남구 앞산순환로 454,,35.82236205,128.579283,30,"한국관광 100선 선정, 대구시가지 전경을 한눈에 내려다볼 수 있는 대표 야간관광지",053-664-2174,대구광역시 남구청,2020-07-01
앞산케이블카,관광지,대구광역시 남구 앞산순환로 454,,35.82236205,128.579283,30,"앞산공원내 큰골 자락길에 위치하고 있으며 승차정원 48명, 초속 3.5미터로 편도 5분정도 소요",053-656-2994,대구광역시 남구청,2020-07-01
앞산공원,관광지,대구광역시 남구 앞산공원로 574-87,,35.84569559,128.5925713,200,도심에서 4.5㎞이내에 위치하여 시민들의 접근이 용이하고 자연경관이 수려하고 산림이 울창,053-625-0967,대구광역시 남구청,2020-07-01
앞산카페거리,관광지,대구광역시 남구 대명로 222,,35.84569559,128.5925713,30,"2018년 한국관광의 별 선정,  25여 곳의 다양한 카페가 모여 있는 거리",053-664-2765,대구광역시 남구청,2020-07-01
안지랑곱창골목,관광지,대구광역시 남구 안지랑로16길,,35.84569559,128.5925713,60,"2015년 한국관광100선 선정, 전국 5대 음식테마거리로 선정, 2018년 한국관광의 별 선정",053-664-2765,대구광역시 남구청,2020-07-01
대덕문화전당,관광지,대구광역시 남구 앞산순환로 478,,35.83129637,128.5769684,,"공연, 전시, 문화강좌 등 많은 문화와 예술 프로그램을 진행하고, 남구 농악단, 남구 합창단 등 예술단의 활발한 활동을 토대로 지역 문화 발전에도 이바지 하고 있다.",053-664-3131,대구광역시 남구청,2020-07-01
안일사,문화재,대구광역시 남구 대명6동 산225,,35.82172975,128.5739441,,"대구광역시 남구 대명동 비슬산(琵瑟山)에 있는 사찰로 고려 태조 왕건(王建)이 후백제 견훤에게 패하여 이 곳에 숨은 적이 있으며, 그래서 이 절이 잇는 곳을 왕건이 앉았던 곳이라고 해서 안지랭이골이라고 부른다.",053-655-0225,대구광역시 남구청,2020-07-01
은적사,문화재,대구광역시 남구 앞산순환로574-120,,35.82352918,128.5894733,,"견훤의 추격병들로부터 왕건이 숨어 3일간 보낸 굴이 있는 곳에다 당시의 고승 영도대사에 명해 숨을 은(隱), 자취 적(跡)자로 은적사라는 사찰을 건립하게 했다. 이것이 은적사가 생긴 유래이며 왕건이 숨은 굴을 은적굴이라 한다.",053-653-1572,대구광역시 남구청,2020-07-01
법장사,문화재,대구광역시 남구 고산3길 96-4,,35.82339764,128.599643,,"신라 말기에 창건, 임진왜란 때 모든 건물이 불에 타고 최근 복원된 삼층석탑만 남았다. 그 뒤 중창하면서 지금처럼 법장사로 이름을 바꾸었다. ",053-471-0414,대구광역시 남구청,2020-07-01
대봉배수지,문화재,대구광역시 남구 이천동 439,,35.85479646,128.5967135,,대구 지역 최초의 수도 시설로 1918년 수도산 기슭에 대봉 1호 배수지를 건립하여 가창수원지에서 정수한 물을 공급받아 급수했다. 이 지역에서 가장 규모가 작은 근대 건축물이며 건축사적·생활사적 가치가 있는 건축물이다. ,053-664-3252,대구광역시 남구청,2020-07-01
