문화재명,지정구분,종류,지정번호,수량(보유자 성명),소유자(보유자 기예능),소재지(전승지),지정일,관리자(대표),비고
대구 동화사 마애여래좌상(大邱 桐華寺 磨崖如來坐像),국가지정문화재,보물,243,1좌,동화사,도학동 산124-1,1963-01-21,동화사,
대구 동화사 비로암 석조비로자나불좌상(大邱 桐華寺 毘盧庵 石造毘盧遮那佛坐像),국가지정문화재,보물,244,1구,동화사,도학동 30,1963-01-21,동화사,
대구 동화사 비로암 삼층석탑(大邱 桐華寺 毘盧庵 三層石塔),국가지정문화재,보물,247,1기,동화사,도학동 30,1963-01-21,동화사,
대구 동화사 금당암 동ㆍ서삼층석탑(大邱 桐華寺 金堂庵 東ㆍ西三層石塔),국가지정문화재,보물,248,2기,동화사,도학동 36,1963-01-21,동화사,
대구 동화사 당간지주(大邱 桐華寺 幢竿支柱),국가지정문화재,보물,254,1기,동화사,도학동 36,1963-01-21,동화사,
대구 도학동 승탑(大邱 道鶴洞 僧塔),국가지정문화재,보물,601,1기,동화사,도학동 36,1975-08-04,동화사,
대구 북지장사 지장전(大邱 北地藏寺 XX殿),국가지정문화재,보물,805,1동,북지장사,도학동 620,1984-11-26,북지장사,
대구파계사건칠관음보살좌상및복장유물(大邱把溪寺乾漆觀音普薩坐像및腹藏遺物),국가지정문화재,보물,992,일괄,파계사,중대동 7,1989-04-10,파계사,
파계사영산회상도(把溪寺靈山會上圖),국가지정문화재,보물,1214,1폭,파계사,중대동 7,1995-01-10,파계사,
자치통감 권129~132(資治通鑑 卷一百二十九～一百三十二),국가지정문화재,보물,1281-6,4권 1책,권영팔,팔공로 1396-11,2018-10-04,권영팔(성불사),
대구 동화사 사명당 유정 진영(大邱 桐華寺 泗溟堂 惟政 眞影),국가지정문화재,보물,1505,1폭,동화사,도학동 35,2006-12-29,동화사,
대구 동화사 대웅전(大邱 桐華寺 大雄殿),국가지정문화재,보물,1563,1동,동화사,도학동 35,2008-04-28,동화사,257.7㎡
대구 동화사 목조약사여래좌상 복장전적(大邱 桐華寺 木造藥師如來坐像 腹藏典籍),국가지정문화재,보물,1607,7종,동화사,도학동 35,2009-02-23,동화사,
대구 동화사 아미타회상도(大邱 桐華寺 阿彌陀會上圖),국가지정문화재,보물,1610,3폭,동화사,도학동 35,2009-02-23,동화사,
대구 동화사 보조국사지눌진영(大邱 桐華寺 普照國師知訥眞影),국가지정문화재,보물,1639,1폭,동화사,도학동 35,2010-02-24,동화사,
대구 동화사 삼장보살도(大邱 桐華寺 三藏菩薩圖),국가지정문화재,보물,1772,1폭,동화사,도학동 35,2012-08-24,동화사,
대구 동화사 지장시왕도(大邱 桐華寺 地藏十왕도),국가지정문화재,보물,1773,1폭,동화사,도학동 35,2012-08-24,동화사,
대구 파계사 원통전(大邱 把溪寺 圓通殿),국가지정문화재,보물,1850,1동,파계사,파계로741,2014-12-29,파계사,
대구 동화사 목조아미타여래삼존상(大邱 桐華寺 木造阿彌陀如來三尊像),국가지정문화재,보물,1999,"불상 3구, 대좌 3점, 발원문 1점, 시주질 1점",동화사,도학동 35,2018-10-04,동화사,
대구 불로동 고분군(大邱 不老洞 古墳群),국가지정문화재,사적,262,"312,239㎡",공유 및 사유,불로동 335 일원,1978-06-23,대구시 동구,
대구 도동 측백나무 숲(大邱 道洞 측백나무 숲),국가지정문화재,천연기념물,1,"35,603㎡",대구시,도동 산180,1962-12-03,대구시 동구,
영조대왕의 도포(英祖大王의 道袍),국가지정문화재,국가민속문화재,220,1점,파계사,중대동 7,1987-11-23,파계사,
