영업종류,상호,소재지(도로명),연락처,위도,경도,데이터기준일자
국내여행업,(주)조은항공여행사,대구광역시 북구 칠성로 97-1 (칠성동2가),053-426-1600,35.87877291,128.6000722,2021-07-23
국내여행업,(주)코끼리여행사,대구광역시 북구 칠곡중앙대로 232 (태전동),053-312-0700,35.91671247,128.5486813,2021-07-23
국내여행업,(주)대동항공여행사,"대구광역시 북구 호국로 219, 103호 (서변동)",053-312-8282,35.92137546,128.5988211,2021-07-23
국내여행업,(주)세운항공여행사,"대구광역시 북구 동북로 146, 1층 (산격동)",053-384-5666,35.90009935,128.6087634,2021-07-23
국내여행업,(주)이천이월드고속관광,대구광역시 북구 동북로 145 (산격동),053-639-2002,35.9006021,128.609155,2021-07-23
국내여행업,(주)아름다운 여행사,대구광역시 북구 성북로 1 (침산동),053-352-7088,35.89018268,128.5838428,2021-07-23
국내여행업,(주)드림항공여행사,"대구광역시 북구 침산로 100, 125호 (칠성동2가, 오페라삼정그린코아더베스트)",053-357-5200,35.88523384,128.5913158,2021-07-23
국내여행업,유창여행사,대구광역시 북구 침산로 238 (침산동),053-353-4343,35.89729376,128.5894339,2021-07-23
국내여행업,(주)엔케이,대구광역시 북구 구암로 207 (구암동),053-313-2002,35.93182145,128.5635808,2021-07-23
국내여행업,대구답사마당,"대구광역시 북구 유통단지로 25, 4동 319호 (산격동, 전자도매상가)",053-604-1835,35.9054543,128.6049824,2021-07-23
국내여행업,(주)영일항공여행사,"대구광역시 북구 호국로43길 17, 2층 (서변동)",053-382-0101,35.92090608,128.5971554,2021-07-23
국내여행업,더월드 투어,대구광역시 북구 학정로 426 (구암동),053-326-8226,35.94268937,128.5639907,2021-07-23
국내여행업,(주)진투어,"대구광역시 북구 팔달로 201, 2층 (노원동2가)",053-353-8333,35.88849076,128.5721006,2021-07-23
국내여행업,가람여행사,"대구광역시 북구 구암로 110, 4층 (태전동)",053-327-2022,35.93169038,128.5530296,2021-07-23
국내여행업,(주)새천년고속관광,"대구광역시 북구 동암로12길 15, 3층 (동천동)",053-323-8015,35.94361469,128.5569368,2021-07-23
국내여행업,(주)대진관광여행사,대구광역시 북구 칠곡중앙대로 620 (읍내동),053-431-0045,35.95060754,128.5533391,2021-07-23
국내여행업,주식회사 신라여행사,"대구광역시 북구 연암로 68-1, 2층 (산격동)",,35.89144726,128.5961029,2021-07-23
국내여행업,진 월드투어,"대구광역시 북구 동북로 163, 101동 113호 (산격동, 산격대우아파트상가)",053-382-0705,35.89901704,128.612444,2021-07-23
국내여행업,(주)교육여행 꿈꾸는 아이들,대구광역시 북구 태전로15길 6-1 (태전동),053-321-2359,35.92663085,128.5418905,2021-07-23
국내여행업,(주)세주투어,"대구광역시 북구 옥산로17길 50, 101동 상가10호 (침산동, 침산제일아파트)",053-341-5545,35.88893233,128.5870236,2021-07-23
국내여행업,심미정투어,대구광역시 북구 침산남로13길 27 (노원동1가),053-356-6870,35.89050763,128.5800349,2021-07-23
국내여행업,주식회사 렛츠스카이,"대구광역시 북구 동북로 117, 507호 (산격동, 소프트웨어 벤처타워)",070-4288-0239,35.90216568,128.6065304,2021-07-23
국내여행업,소풍여행사,대구광역시 북구 칠곡중앙대로 28 (팔달동),,35.89869572,128.5485456,2021-07-23
국내여행업,(주) 홀리데이여행,"대구광역시 북구 태평로 161, 10층 (칠성동2가, 롯데백화점대구역)",,35.87588137,128.5961189,2021-07-23
국내여행업,주식회사 아름다운 사람과 길,"대구광역시 북구 경대로5길 12-1, 2층 (대현동)",,35.88483992,128.6123235,2021-07-23
국내여행업,(주)나드리투어,"대구광역시 북구 칠곡중앙대로 551, 1층 (읍내동)",053-326-5400,35.94476125,128.5506824,2021-07-23
국내여행업,(주)영체원,"대구광역시 북구 구암로 12, 상가동 106호 (태전동, 롯데아파트)",053-313-9900,35.93317184,128.5424562,2021-07-23
국내여행업,(주)경상관광여행사,"대구광역시 북구 호암로 51, 삼성창조경제단지 1층 7호 (침산동)",,35.88368751,128.5959781,2021-07-23
국내여행업,알짜여행,대구광역시 북구 칠곡중앙대로 232 (태전동),,35.91671247,128.5486813,2021-07-23
국내여행업,㈜에스제이여행카페,"대구광역시 북구 동천로 120, 3층 302호 (동천동)",,35.94228004,128.5609508,2021-07-23
국내여행업,㈜글로벌투어,"대구광역시 북구 대구체육관로11길 25, 302호 (산격동)",,35.89378498,128.6044392,2021-07-23
국내여행업,㈜모바일골프,"대구광역시 북구 팔달로 93, 3층 312호 (노원동3가)",,35.89040337,128.5602736,2021-07-23
국내여행업,㈜자이언트골프앤투어,"대구광역시 북구 팔달로 93, 1,2층 212호 (노원동3가)",,35.89040337,128.5602736,2021-07-23
국내여행업,㈜알파월드투어,"대구광역시 북구 침산남로 49, 3층 (노원동1가)",,35.88949244,128.5812126,2021-07-23
국외여행업,(주)조은항공여행사,대구광역시 북구 칠성로 97-1 (칠성동2가),053-426-1600,35.87877291,128.6000722,2021-07-23
국외여행업,(주)코끼리여행사,대구광역시 북구 칠곡중앙대로 232 (태전동),053-312-0700,35.91671247,128.5486813,2021-07-23
국외여행업,(주)대동항공여행사,"대구광역시 북구 호국로 219, 103호 (서변동)",053-312-8282,35.92137546,128.5988211,2021-07-23
국외여행업,(주)세운항공여행사,"대구광역시 북구 동북로 146, 1층 (산격동)",053-384-5666,35.90009935,128.6087634,2021-07-23
