문화재명,종류,지정번호,한문명칭,수량,연락처,이용시작시각,이용종료시각,쉬는날,홈페이지,소재지우편번호,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자
대구 산격동 연화 운룡장식 승탑 ,보물,135,大邱 山格洞 蓮花 雲龍裝飾 僧塔,1점,053-950-6537,10:00,17:00,"토(둘째 · 넷째), 일요일 및 공휴일,개교기념일(5월 28일)",http://museum.knu.ac.kr/,41566,대구광역시 북구 대학로 80 (산격동) ,대구광역시 북구 대현동 1370,35.888714,128.61369,2021-01-11
대구 산격동 사자 주악장식 승탑,보물,258,大邱 山格洞 獅子 奏樂裝飾 僧塔,1점,053-950-6537,10:00,17:00,"토(둘째 · 넷째), 일요일 및 공휴일,개교기념일(5월 28일)",http://museum.knu.ac.kr/,41566,대구광역시 북구 대학로 80 (산격동) ,대구광역시 북구 대현동 1370,35.888714,128.61369,2021-01-11
분청사기 상감연화문 편병,보물,268,粉靑沙器 象嵌蓮花紋 扁甁,1점,053-950-6537,10:00,17:00,"토(둘째 · 넷째), 일요일 및 공휴일,개교기념일(5월 28일)",http://museum.knu.ac.kr/,41566,대구광역시 북구 대학로 80 (산격동) ,대구광역시 북구 대현동 1370,35.888714,128.61369,2021-01-11
백지은니대불정여래밀인수증요의제보살만행수능엄경 권10,보물,271,白紙銀泥大佛頂如來密因脩證了義諸菩薩萬行首楞嚴經 卷10,1책,053-950-6537,10:00,17:00,"토(둘째 · 넷째), 일요일 및 공휴일,개교기념일(5월 28일)",http://museum.knu.ac.kr/,41566,대구광역시 북구 대학로 80 (산격동) ,대구광역시 북구 대현동 1370,35.888714,128.61369,2021-01-11
석조비로자나불좌상,보물,335,石造毘盧遮那佛坐像,1점,053-950-6537,10:00,17:00,"토(둘째 · 넷째), 일요일 및 공휴일,개교기념일(5월 28일)",http://museum.knu.ac.kr/,41566,대구광역시 북구 대학로 80 (산격동) ,대구광역시 북구 대현동 1370,35.888714,128.61369,2021-01-11
대구 무술명 오작비,보물,516,大邱 戊戌銘 塢作碑,1점,053-950-6537,10:00,17:00,"토(둘째 · 넷째), 일요일 및 공휴일,개교기념일(5월 28일)",http://museum.knu.ac.kr/,41566,대구광역시 북구 대학로 80 (산격동) ,대구광역시 북구 대현동 1370,35.888714,128.61369,2021-01-11
봉화 북지리 석조반가상,보물,997,奉化 北枝里 石造半跏像,1점,053-950-6537,10:00,17:00,"토(둘째 · 넷째), 일요일 및 공휴일,개교기념일(5월 28일)",http://museum.knu.ac.kr/,41566,대구광역시 북구 대학로 80 (산격동) ,대구광역시 북구 대현동 1370,35.888714,128.61369,2021-01-11
대구 구암동 고분군,사적,544,大邱 鳩岩洞 古墳群,379기,053-665-4326,상시,,상시,해당없음,,,대구광역시 북구 구암동 392(일원),35.929765,128.56726,2021-01-11
팔거산성,기념물,6,八거山城,일원,,상시,,상시,해당없음,,,"대구광역시 북구 노곡동 산1-1, 1-2, 1-3(일대)",35.925615,128.568928,2021-01-11
국우동 탱자나무,기념물,10,國憂洞 탱자나무,일원,,상시,,상시,해당없음,41408,대구광역시 북구 도남길45-7(국우동),대구광역시 북구 국우동 685,35.953088,128.580418,2021-01-11
구암서원 숭현사,문화재자료,2,龜巖書院 崇賢祠,일원,053-959-7202,9:00,18:00,상시,http://www.sunbicamp.co.kr/,41533,대구광역시 북구 연암공원로 17길 20(산격동),대구광역시 북구 산격동 산79-1,35.898667,128.599293,2021-01-11
칠곡향교 대성전,문화재자료,6,漆谷鄕校 大聖殿,일원,053-322-0430,9:00,18:00,매주 일요일 및 공휴일,http://chilgokhyanggyo.org/,41403,대구광역시 북구 칠곡중앙대로 597(읍내동),대구광역시 북구 읍내동 600,35.949185,128.550978,2021-01-11
대고장 김종문,무형문화재,12,大鼓匠 金鍾文,개인,,상시,,상시,해당없음,41484,대구광역시 북구 학정로 96-31(태전동),대구광역시 북구 태전동 563-3,35.916111,128.551795,2021-01-11
신간삼략언해,유형문화재,68,新刊三略諺解,1책,,해당없음,,해당없음,해당없음,41477,대구광역시 북구 망월길 34-1(서변동),대구광역시 북구 서변동 1090-1,35.92243824,128.5931697,2021-01-11
