업종,상호,소재지(도로명),전화번호
국내여행업,(주)유성관광여행사,대구광역시 수성구 국채보상로 826 (범어동),053-742-0333
국내여행업,(주)세일관광여행사,대구광역시 수성구 지범로 192 (범물동),053-784-6701
국내여행업,동화항공여행주식회사,대구광역시 수성구 국채보상로 1049 (만촌동),053-752-6200
국내여행업,(주)알프스여행사,대구광역시 수성구 지범로 91 (지산동),053-784-9005
국내여행업,(주)투어토탈,"대구광역시 수성구 달구벌대로 3188, 아레나스포츠센터 (신매동)",053-794-3388
국내여행업,(주)동성여행사,대구광역시 수성구 달구벌대로627길 5-4 (매호동),053-792-8952
국내여행업,(주)수은관광,대구광역시 수성구 달구벌대로 3103 (시지동),053-792-2888
국내여행업,(주)범어투어,"대구광역시 수성구 달구벌대로 2378 (범어동,2층)",053-755-8888
국내여행업,꿈의교실&꿈의여행,"대구광역시 수성구 달구벌대로 3138 (시지동,5층)",053-795-6624
국내여행업,삼성고속관광(주),대구광역시 수성구 들안로 250-1 (수성동3가),053-427-3077
국내여행업,(주)모두세계일주,"대구광역시 수성구 동대구로 300, 401동 206호 (범어동,범어롯데캐슬 상가)",053-742-9114
국내여행업,(주)제이에스 월드,대구광역시 수성구 동대구로73길 28 (범어동),053-742-4448
국내여행업,(주)한누리여행사,"대구광역시 수성구 달구벌대로631길 3 (매호동,1층)",053-431-0810
국내여행업,(주)더블유투어,"대구광역시 수성구 동대구로 95, 108동 1층 501호 (두산동)",053-422-6200
국내여행업,제일여행,"대구광역시 수성구 동대구로77길 32, 2층 (범어동)",053-756-0010
국내여행업,드림마운틴투어,대구광역시 수성구 명덕로 394 (수성동1가),053-768-8188
국내여행업,주식회사 롯데수성,"대구광역시 수성구 동대구로 300, 401동 205호 (범어동, 범어롯데캐슬상가)",053-759-0990
국내여행업,(주)허브여행,"대구광역시 수성구 청수로35길 97, 4층 (황금동)",053-422-7555
국내여행업,주식회사 제로투어,"대구광역시 수성구 용학로31길 48, 201호 (지산동)",053-243-8866
국내여행업,주식회사 가온투어,대구광역시 수성구 수성로 35-1 (상동),053-753-8585
국내여행업,주식회사 올림피아관광여행사,"대구광역시 수성구 달구벌대로 3061, 2층 (시지동)",053-768-4006
국내여행업,디에스라이프(주),"대구광역시 수성구 달구벌대로 2461 (범어동, 대구상조빌딩)",053-253-6655
