영업종류,상호,소재지(도로명),연락처,,,,,,,,,,,,,,,,,,,,,,,
일반유원시설업,(주)스파크랜드,"대구광역시 중구 동성로6길 61, 7층 (공평동)",053-766-1860,,,,,,,,,,,,,,,,,,,,,,,
기타유원시설업,총형스포츠 홈런짱,"대구광역시 중구 동성로5길 55, 지하1층 (삼덕동1가)",,,,,,,,,,,,,,,,,,,,,,,,
기타유원시설업,야사노 대구동성로점,"대구광역시 중구 중앙대로 412, 지하1층 (남일동, 아카데미극장)",,,,,,,,,,,,,,,,,,,,,,,,
기타유원시설업,와이에스피 테크(팡팡),대구광역시 중구 달구벌대로450길 18 (대봉동),,,,,,,,,,,,,,,,,,,,,,,,
기타유원시설업,주식회사 고담,대구광역시 중구 동성로1길 5 (동성로3가),,,,,,,,,,,,,,,,,,,,,,,,
기타유원시설업,통콩팡플레이키즈,"대구광역시 중구 남산로 48, 서진빌등 4층 (남산동)",053-219-7907,,,,,,,,,,,,,,,,,,,,,,,
기타유원시설업,릴리펏 현대백화점대구점,"대구광역시 중구 달구벌대로 2077, 현대백화점 6층 (계산동2가)",053-245-2610,,,,,,,,,,,,,,,,,,,,,,,
기타유원시설업,유한회사 스파크,"대구광역시 중구 동성로6길 61, 5층 (공평동)",1670-1939,,,,,,,,,,,,,,,,,,,,,,,
기타유원시설업,주식회사 짱,"대구광역시 중구 동성로6길 61, 태왕스파크 701호 (공평동)",02-333-8334,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
