"종 별","명 칭","수량","소유자","소재지","지정일자"
"유형문화재","도곡재","1동","박문규","대구광역시 달성군 하빈면 육신사길 60(묘리)","1974-12-10"
"유형문화재","효종어전희우시회 인물도","1폭","달성서씨 현감공파문중","대구광역시 달성군 가창면 가창로126길 36(대일리)","1974-12-10"
"유형문화재","남지장사 청련암","1동","남지장사","대구광역시 달성군 가창면 남지장사길 127(우록리)","1977-07-15"
"유형문화재","달성 용봉동 석불입상","1구","달성군","대구광역시 달성군 유가면 용리 산1","1979-01-25"
"유형문화재","달성 하목정","1동 ","전의이씨 기곡동 이유재종중","대구광역시 달성군 하빈면 하목정길 56-10(하산리)","1984-05-21"
"유형문화재","명심보감판본","31매","인흥서원(추계추씨문중)","대구광역시 달성군 화원읍 인흥2길 26(본리리)","1985-10-15"
"유형문화재","이철견신도비","1기","경주이씨 양평공파종중","대구광역시 달성군 옥포면 강림리 731-1","1985-10-15"
"유형문화재","망우당선생문집책판(부)창의록책판","2종140판","현풍곽씨문중","대구광역시 달성군 유가면 구례길 123(가태리)","1987-05-13"
"유형문화재","존재선생실기책판","61판","현풍곽씨문중","대구광역시 달성군 유가면 구례길 123(가태리)","1987-05-13"
"유형문화재","용연사 극락전","1동 ","용연사","대구광역시 달성군 옥포면 용연사길 260(반송리)","1992-07-18"
"유형문화재","대견사지 삼층석탑","1구","달성군","대구광역시 달성군 유가면 용리 산1","2003-04-30"
"유형문화재","유가사 석조여래좌상","1구","유가사","대구광역시 달성군 유가면 유가사길 161(양리)","2003-04-30"
"유형문화재","대암선생문집책판","120판","밀양박씨 대암선생종중","대구광역시 달성군 구지면 창리서로2길 9-51(창리)","2007-04-10"
"유형문화재","대구 금성사 육경합부","1책","금성사","대구광역시 달성군 옥포면 옥계길 16(본리리)","2015-05-11"
"민속문화재","남평문씨 본리세거지","11호","남평문씨문중","대구광역시 달성군 화원읍 인흥3길 16(본리리)","1975-12-30"
"민속문화재","논공 천왕당","1동","북1리마을회","대구광역시 달성군 논공읍 북리3길 2(북리)","2006-04-20"
"기념물","예연서원","1곽","현풍곽씨문중","대구광역시 달성군 유가면 구례길 123(가태리)","1987-05-13"
"기념물","천내리 지석묘군","8기","달성군","대구광역시 달성군 화원읍 천내리 515-1","2006-04-20"
"기념물","냉천리 지석묘군","8기","달성군","대구광역시 달성군 가창면 냉천리 385-1","2006-04-20"
"기념물","초곡산성","1곽","달성군","대구광역시 달성군 유가면 초곡리 산1","2008-04-10"
"문화재자료","현풍향교 대성전","1동","현풍향교","대구광역시 달성군 현풍면 현풍동로20길 27-8(상리)","1985-08-05"
"문화재자료","용연사 삼층석탑","1기","용연사","대구광역시 달성군 옥포면 반송리 882","1985-08-05"
"문화재자료","현풍곽씨 십이정려각","1동","현풍곽씨문중","대구광역시 달성군 현풍면 지동길 3(지리)","1990-08-07"
"문화재자료","이노정","1동","제일강산 이노정회(서흥김씨문중)","대구광역시 달성군 구지면 내리길 19-17(내리)","1991-05-14"
"문화재자료","소계정","1동","충주석씨 참의공후 진사공파 소계문중회","대구광역시 달성군 옥포면 옥포로57길 25-14(기세리)","1994-04-16"
"문화재자료","이양서원","1곽","현풍곽씨문중","대구광역시 달성군 현풍면 삼강3길 23(대리)","1994-09-03"
"문화재자료","관수정","1동","서흥김씨 관수정 사우당(대자진자)종중","대구광역시 달성군 구지면 구지서로 706-20(도동리)","2004-06-10"
"문화재자료","유가 만세교","1기","달성군","대구광역시 달성군 유가면 양리 575-2","2006-04-20"
"문화재자료","소재사 대웅전","1동","소재사","대구광역시 달성군 유가면 휴양림길 228(용리)","2006-04-20"
"문화재자료","소재사 목조지장보살좌상","1구","소재사","대구광역시 달성군 유가면 휴양림길 228(용리)","2006-04-20"
"문화재자료","현풍 추보당","1동","현풍곽씨 추보당종회","대구광역시 달성군 현풍면 삼강1길 22(지리)","2015-05-11"
"무형문화재","하향주","보유자","박환희","대구광역시 달성군 유가면 유가사길 27(양리)","1996-05-27"
"무형문화재","달성하빈들소리","보유자및단체","달성하빈들소리 보존회(손봉회)","대구광역시 달성군 하빈면 하빈로172길 1(대평리)","2008-04-10"
