상호,법인명,소재지,매장면적㎡,영업장면적㎡,건물연면적㎡,구분,등록일(개설일),,
이마트반야월점,㈜이마트 ,동구 안심로389-2(신서동520-2),16446,22138,42833,대형마트,2004-08-21,,
홈플러스스토어즈㈜동촌점,홈플러스스토어즈(주) ,동구 동촌로127(검사동 908-5),11788,29344,49708,대형마트,2008-10-28,,
롯데마트 율하점,롯데쇼핑주식회사,동구 안심로 80(율하동 1117),10633,48945,10633,대형마트,2010-07-13,,
㈜코스트코 홀세일 대구점,㈜코스트코 코리아,동구 신서동 1187,12921,13753,64746,대형마트,2016-10-21,,
㈜신세계 동대구복합환승센터,㈜신세계 동대구복합환승센터,동구 동부로 149(신천동),105539,127492,338310,백화점,2016-10-10,,
롯데쇼핑프라자율하점,롯데쇼핑㈜,동구 안심로80(율하동 1117),25449,48945,100413,쇼핑센터,2010-07-13,,gs 4
롯데아울렛이시아폴리스점,롯데쇼핑(주),동구 팔공로49길 16(봉무동1545),27231,39590,86474,쇼핑센터,2011-04-26,,하나로 31
㈜현대백화점 현대시티아울렛 대구점,㈜현대백화점 현대시티아울렛 대구점,동구 신천동 294-5,31195,39678,69698,쇼핑센터,2015-05-22,,익스프레스 10
더 블럭,(주)더 블록,동구 안심로 389-5(신서동),3934,3934,4288,그밖에 대규모점포,2004-12-10,,에브리데이 7
제이에스인터네셔날,(주)제이에스 인터네셔날,동구 안심로 389-3(신서동),3757,3757,3770,그밖에 대규모점포,2004-12-14,,롯데슈퍼 14
,현대백화점 대구점,중구 달구벌대로 2077(계산동),,,,백화점,,,이마트(동구제외) 15
,대구백화점 프라자점,중구 명덕로 333(대봉동),,,,백화점,,,
,롯데백화점 상인점,달서구 월배로 232(상인동),,,,백화점,,,
,롯데백화점 대구점,북구 태평로 161(칠성동2가),,,,백화점,,,
,동아백화점 쇼핑점,중구 달구벌대로 2085(덕산동),,,,백화점,,,
,동아백화점 수성점,수성구 지범로 191(범물동),,,,백화점,,,
,NC백화점 엑스코점,북구 유통단지로 14길 22(산격동),,,,백화점,,,
,모다아울렛 대구점,달서구 달서대로 417(호림동),,,,쇼핑센터,,,
,LF대구수성아울렛,수성구 동대구로 183(황금동),,,,쇼핑센터,,,
,LF아울렛 대구이현,서구 와룡로 469(이현동),,,,쇼핑센터,,20,
,롯데슈퍼 남산점,대구광역시 중구 달구벌대로 1936 롯데슈퍼,,,,"슈퍼, 마트",,,
,롯데슈퍼 황금점,대구광역시 수성구 청수로 235,,,,"슈퍼, 마트",,,
,롯데슈퍼 대구고산점,대구광역시 수성구 시지로 50,,,,"슈퍼, 마트",,,
,롯데슈퍼 수성점,대구광역시 수성구 수성로 227,,,,"슈퍼, 마트",,,
,이마트 만촌점,대구광역시 수성구 동원로 136 이마트만촌점,,,,"슈퍼, 마트",,,
,홈플러스 대구수성점,대구광역시 수성구 동대구로 95 수성 SK 리더스뷰,,,,"슈퍼, 마트",,,
,하나로마트 고산농협본점,대구광역시 수성구 달구벌대로 3097,,,,"슈퍼, 마트",,,
,대구축협하나로마트 수성점,대구광역시 수성구 달구벌대로 2500 1층,,,,"슈퍼, 마트",,,
,하나로마트 동대구농협본점,대구광역시 수성구 달구벌대로 2487,,,,"슈퍼, 마트",,,
,이마트 트레이더스 비산점,대구광역시 서구 팔달로 54,,,,"슈퍼, 마트",,,
,하나로마트 서대구농협본점,대구광역시 서구 서대구로 92,,,,"슈퍼, 마트",,,
,홈플러스 내당점,대구광역시 서구 달구벌대로 1821,,,,"슈퍼, 마트",,,
,이마트 칠성점,대구광역시 북구 침산로 93 스펙트럼시티,,,,"슈퍼, 마트",,,
,홈플러스익스프레스 대구침산점,대구광역시 북구 침산남로 180-4,,,,"슈퍼, 마트",,,
,하나로마트 칠곡농협본점,대구광역시 북구 칠곡중앙대로 574,,,,"슈퍼, 마트",,,
,홈플러스 대구점,대구광역시 북구 중앙대로 543 Homeplus 대구칠성점,,,,"슈퍼, 마트",,,
,홈플러스 칠곡점,대구광역시 북구 동암로12길 8 칠곡홈플러스,,,,"슈퍼, 마트",,,
,하나로마트 북대구농협본점,대구광역시 북구 동북로 160,,,,"슈퍼, 마트",,,
,홈플러스익스프레스 대구구암2점,대구광역시 북구 구암로32길 6-10,,,,"슈퍼, 마트",,,
,코스트코코리아 대구점,대구광역시 북구 검단로 97,,,,"슈퍼, 마트",,,
,롯데슈퍼 복현점,대구광역시 북구 검단로 8 롯데슈퍼,,,,"슈퍼, 마트",,,
,코스트코코리아 대구혁신점,대구광역시 동구 첨단로 10,,,,"슈퍼, 마트",,,
,이마트에브리데이 율하점,대구광역시 동구 안심로22길 60-23,,,,"슈퍼, 마트",,,
,롯데슈퍼 율하점,대구광역시 동구 안심로22길 60-1 모인플라자 108~117호,,,,"슈퍼, 마트",,,
,하나로마트 동촌농협,대구광역시 동구 아양로 295,,,,"슈퍼, 마트",,,
,이마트에브리데이 방촌동점,대구광역시 동구 동촌로45길 5 방촌동마트,,,,"슈퍼, 마트",,,
,하나로마트 대구축협본점,대구광역시 동구 동북로 296 대구축산업협동조합,,,,"슈퍼, 마트",,,
,이마트에브리데이 대구신서점,대구광역시 동구 과학로4길 3,,,,"슈퍼, 마트",,,
,하나로마트 달성점,대구광역시 달성군 화원읍 성천로 9 달성유통센터,,,,"슈퍼, 마트",,,
,하나로마트 달성유통센터,대구광역시 달성군 화원읍 성천로 9,,,,"슈퍼, 마트",,,
,홈플러스익스플레스 대구화원점,대구광역시 달성군 화원읍 비슬로543길 27,,,,"슈퍼, 마트",,,
,하나로마트 화원농협,대구광역시 달성군 화원읍 비슬로 2575,,,,"슈퍼, 마트",,,
,롯데슈퍼 대구현풍점,대구광역시 달성군 현풍읍 테크노상업로2길 9,,,,"슈퍼, 마트",,,
,이마트에브리데이 대구현풍점,대구광역시 달성군 유가읍 테크노대로5길 80,,,,"슈퍼, 마트",,,
,이마트에브리데이 대구옥포점,대구광역시 달성군 옥포읍 돌미상업로1길 25,,,,"슈퍼, 마트",,,
,이마트에브리데이 대구서재점,대구광역시 달성군 다사읍 서재로 144,,,,"슈퍼, 마트",,,
,GS더프레시 죽곡점,대구광역시 달성군 다사읍 대실역북로1길 9,,,,"슈퍼, 마트",,,
,롯데슈퍼 대구대실점,대구광역시 달성군 다사읍 대실역남로 46,,,,"슈퍼, 마트",,,
,이마트에브리데이 대구죽곡점,대구광역시 달성군 다사읍 대실역남로 18,,,,"슈퍼, 마트",,,
,롯데프레시 대구구지점,대구광역시 달성군 구지면 국가산단북로60길 59 101~112호,,,,"슈퍼, 마트",,,
,하나로마트 가창농협본점,대구광역시 달성군 가창면 가창로 1122,,,,"슈퍼, 마트",,,
,이마트 월배점,대구광역시 달서구 진천로 92,,,,"슈퍼, 마트",,,
,GS더프레시 본리점,대구광역시 달서구 장기로 167,,,,"슈퍼, 마트",,,
,이마트 성서점,대구광역시 달서구 이곡동로 24,,,,"슈퍼, 마트",,,
,하나로마트 대구촉협상인점,대구광역시 달서구 월배로 207,,,,"슈퍼, 마트",,,
,홈플러스 상인점,대구광역시 달서구 월배로 183 상인 대성 스카이렉스,,,,"슈퍼, 마트",,,
,홈플러스익스프레스 용산점,대구광역시 달서구 용산로 220,,,,"슈퍼, 마트",,,
,하나로마트 농협성서점,대구광역시 달서구 용산로 147,,,,"슈퍼, 마트",,,
,홈플러스익스프레스 대구상인점,대구광역시 달서구 송현로7길 19,,,,"슈퍼, 마트",,,
,대구축산농협 하나로마트 송현점,대구광역시 달서구 송현로 34,,,,"슈퍼, 마트",,,
,홈플러스익스프레스 도원점,대구광역시 달서구 도원로 36,,,,"슈퍼, 마트",,,
,홈플러스익스프레스 감삼점,대구광역시 달서구 당산로 83,,,,"슈퍼, 마트",,,
,홈플러스 상서점,대구광역시 달서구 달구벌대로 1467,,,,"슈퍼, 마트",,,
,하나로마트 성서농협본점,대구광역시 달서구 달구벌대로 1288,,,,"슈퍼, 마트",,,
,하나로마트 대구축산농협 봉덕점,대구광역시 남구 봉덕로 105,,,,"슈퍼, 마트",,,
,하나로마트 동대구농협대명점,대구광역시 남구 대명로 164 동대구농협 대명지점,,,,"슈퍼, 마트",,,
,홈플러스 남대구점,대구광역시 남구 대명로 116,,,,"슈퍼, 마트",,,
,대구축산농협 지산동지점 하나로마트,대구 수성구 지범로 157 대구축산농협 지산동지점,,,,"슈퍼, 마트",,,
,하나로마트 동대구농협수동지점,대구 수성구 용학로 220,,,,"슈퍼, 마트",,,
,롯데슈퍼 칠곡점,대구 북구 동천로 5-7,,,,"슈퍼, 마트",,,
,하나로마트 공산농협본점,대구 동구 팔공산로 1667,,,,"슈퍼, 마트",,,
,롯데슈퍼 대구각산점,대구 동구 경안로 938,,,,"슈퍼, 마트",,,
,하나로마트 하빈농협,대구 달성군 하빈면 하빈로 380,,,,"슈퍼, 마트",,,
,하나로마트 하빈농협동곡점,대구 달성군 하빈면 달구벌대로55길 67,,,,"슈퍼, 마트",,,
,다사농협 하나로마트,대구 달성군 다사읍 다사로4길 1,,,,"슈퍼, 마트",,,
,하나로마트 구지농협본점,대구 달성군 구지면 창리로11길 24,,,,"슈퍼, 마트",,,
,하나로마트 구지농협동부점,대구 달성군 구지면 구지동로 47 구지농협동부지소,,,,"슈퍼, 마트",,,
,GS더프레시 대구수목원점,대구 달서구 한실로6길 120-3,,,,"슈퍼, 마트",,,
,홈플러스익스프레스 월성점,대구 달서구 학산로 17,,,,"슈퍼, 마트",,,
,롯데슈퍼 월성점,대구 달서구 월성로 14,,,,"슈퍼, 마트",,,
,홈플러스익스프레스 용산2점,대구 달서구 성지로 27,,,,"슈퍼, 마트",,,
,GS더프레시 대구월곡점,대구 달서구 상화북로 187,,,,"슈퍼, 마트",,,
,하나로마트 월배농협대덕점,대구 달서구 상화북로 181,,,,"슈퍼, 마트",,,
,홈플러스 익스프레스 대구대곡점,대구 달서구 명천로 18,,,,"슈퍼, 마트",,,
,하나로마트 삼각점,대구 남구 현충로 195,,,,"슈퍼, 마트",,,
