상호,법인명,소재지,매장면적㎡,영업장면적㎡,건물연면적㎡,구분,등록일(개설일)
이마트반야월점,㈜이마트 ,동구 안심로389-2(신서동520-2),16446,22138,42833,대형마트,2004-08-21
홈플러스스토어즈㈜동촌점,홈플러스스토어즈(주) ,동구 동촌로127(검사동 908-5),11788,29344,49708,대형마트,2008-10-28
롯데마트 율하점,롯데쇼핑주식회사,동구 안심로 80(율하동 1117),10633,48945,10633,대형마트,2010-07-13
㈜코스트코 홀세일 대구점,㈜코스트코 코리아,동구 신서동 1187,12921,13753,64746,대형마트,2016-10-21
㈜신세계 동대구복합환승센터,㈜신세계 동대구복합환승센터,동구 동부로 149(신천동),105539,127492,338310,백화점,2016-10-10
롯데쇼핑프라자율하점,롯데쇼핑㈜,동구 안심로80(율하동 1117),25449,48945,100413,쇼핑센터,2010-07-13
롯데아울렛이시아폴리스점,롯데쇼핑(주),동구 팔공로49길 16(봉무동1545),27231,39590,86474,쇼핑센터,2011-04-26
㈜현대백화점 현대시티아울렛 대구점,㈜현대백화점 현대시티아울렛 대구점,동구 신천동 294-5,31195,39678,69698,쇼핑센터,2015-05-22
더 블럭,(주)더 블록,동구 안심로 389-5(신서동),3934,3934,4288,그밖에 대규모점포,2004-12-10
제이에스인터네셔날,(주)제이에스 인터네셔날,동구 안심로 389-3(신서동),3757,3757,3770,그밖에 대규모점포,2004-12-14
