구분,지정번호,명     칭,수  량,"구,군",소 재 지,지정일자(인정일자)
국보,182,구미 선산읍 금동여래입상,1구,수성구,수성구 청호로321(황금동) 국립대구박물관,1976-04-23
국보,183,구미 선산읍 금동보살입상,1구,수성구,수성구 청호로321(황금동) 국립대구박물관,1976-04-23
국보,184,구미 선산읍 금동보살입상,1구,수성구,수성구 청호로322(황금동) 국립대구박물관,1976-04-23
보물,135,대구 산격동 연화 운룡장식 승탑,1기,북구,북구 대학로 80(산격동) 경북대학교,1963-01-21
보물,202,의성 관덕동 석사자,2구,수성구,수성구 청호로321(황금동) 국립대구박물관,1963-01-21
보물,243,대구 동화사 마애여래좌상,1구,동구,동구 동화사1길 1(도학동),1963-01-21
보물,244,대구 동화사 비로암 석조비로자나불좌상,1구,동구,동구 동화사1길 1(도학동),1963-01-21
보물,247,대구 동화사 비로암 삼층석탑,1기,동구,동구 동화사1길 1(도학동),1963-01-21
보물,248,대구 동화사 금당암 동ㆍ서 삼층석탑,2기,동구,동구 동화사1길 1(도학동),1963-01-21
보물,254,대구 동화사 당간지주,1기,동구,동구 동화사1길 1(도학동),1963-01-21
보물,258,대구 산격동 사자 주악장식 승탑,1기,북구,북구 대학로 80(산격동) 경북대학교,1963-01-21
보물,268,분청사기 상감연화문 편병,1점,북구,북구 대학로 80(산격동) 경북대학교,1963-01-21
보물,271,백지은니대불정여래밀인수증요의제보살만행수능엄경 권10,1첩,북구,북구 대학로 80(산격동) 경북대학교,1963-01-21
보물,325,칠곡 송림사 오층전탑 사리장엄구,일괄,수성구,수성구 청호로321(황금동) 국립대구박물관,1963-01-21
보물,335,석조비로자나불좌상,1구,북구,북구 대학로 80(산격동) 경북대학교,1963-01-21
보물,350,달성 도동서원 중정당ㆍ사당ㆍ담장,2동1식,달성군,달성군 구지면 도동서원로 1,1963-01-21
보물,357,칠곡 정도사지 오층석탑,1기,수성구,수성구 청호로321(황금동) 국립대구박물관,1963-01-21
보물,516,대구 무술명 오작비,1기,북구,북구 대학로 80(산격동) 경북대학교,1969-11-07
보물,539,달성 용연사 금강계단,1기,달성군,달성군 옥포면 용연사길 260,1971-07-07
보물,554,달성 태고정,1동,달성군,달성군 하빈면 묘동3길 99,1971-12-06
보물,601,대구 도학동 승탑,1기,동구,동구 동화사1길 1(도학동),1976-06-17
보물,673,달성 현풍 석빙고,1기,달성군,달성군 현풍면 현풍동로86 (상리),1980-09-16
보물,710-(6),동인지문사육 권7∼9,1책,달서구,달서구 달구벌대로1095 계명대학교,2001-08-03
보물,772-(4),금강경삼가해 권2,1책,달서구,달서구 달구벌대로1095 계명대학교,2001-08-03
보물,774-(3),선종영가집(언해),2권4책,남구,남구 효성로13,2017-08-31
보물,805,대구 북지장사 지장전,1동,동구,동구 도장길 243(도학동),1984-11-30
보물,961-(3),묘법연화경 권4~7,1책,달성군,달성군 옥포면 용연사길 260,2014-01-20
보물,992,대구파계사건칠관음보살좌상및복장유물,일괄,동구,동구 파계로 741(중대동),1989-04-10
보물,997,봉화 북지리 석조반가상,1구,북구,북구 대학로 80(산격동) 경북대학교,1989-04-10
보물,1051-(2),분류두공부시(언해) 권11~12,1책,달서구,달서구 달구벌대로1095 계명대학교,2001-08-03
보물,1214,파계사영산회상도,1폭,동구,동구 파계로 741(중대동),1995-01-10
보물,1237,밀성박씨 삼우정파 종중 고문서,16건1책,수성구,수성구 청호로321(황금동) 국립대구박물관,1996-01-19
보물,1281-(6),자치통감 권129~132,4권1책,동구,동구 팔공로 1396-11,2018-10-04
보물,1320,예념미타도량참법 권7,1책,달서구,달서구 달구벌대로1095 계명대학교,2001-08-03
