구분,구군,업종중분류,업체명,"물놀이업체해당여부(○, × 표시)","총 기종수(안전성검사대상기종,안전성검사비대상기종)",대표자,소재지,전화번호,허가(신고)일자,등록년월일(변경등록),자본금(원),비고(휴업 등 여부)
1,중구,일반유원시설업,㈜스파크랜드,×,"4(4,0)",이동경,"대구광역시 중구 동성로6길 61, 7층 (공평동)",,2019-12-20,2019-12-20,,변경등록(상호변경) : ㈜도원투자개발 > ㈜태왕스파크 > ㈜스파크랜드
2,중구,기타유원시설업,야사노 대구동성로점,×,"16(0,16)",송재경,"대구광역시 중구 중앙대로 412, 지하1층 (남일동)",,2016-07-14,2016-07-14,,
3,중구,기타유원시설업,와이에스피 테크(팡팡),×,"4(0,4)",정은경,대구광역시 중구 달구벌대로 450길 18 (대봉동),,2016-08-01,2016-08-01,,
4,중구,기타유원시설업,고담,×,"2(0,2)",박형준,대구광역시 중구 동성로1길 5(동성로3가),,2018-02-27,2018-02-27,,
5,중구,기타유원시설업,통콩팡플레이키즈,×,"1(0,1)",박경열,"대구광역시 중구 남산로 48, 서진빌딩 4층 (남산동)",053-219-7907,2019-02-28,2019-02-28,,
6,중구,기타유원시설업,릴리펏 현대백화점대구점,×,"1(0,1)",이재훈,"대구광역시 중구 달구벌대로 2077, 현대백화점 6층 (계산동2가)",053-245-2610,2019-05-16,2019-05-16,,
7,중구,기타유원시설업,유한회사 스파크,×,"4(0,4)",이동경,"대구광역시 중구 동성로6길 61, 5층 (공평동)",1670-1939,2020-01-22,2020-01-22,,
8,중구,기타유원시설업,주식회사 짱,×,"1(0,1)",임형수,"대구광역시 중구 동성로6길 61, 태왕스파크 701호 (공평동)",02-333-8334,2020-02-12,2020-02-12,,
9,동구,일반유원시설업,동촌유원지 유기장,×,"2(2,0)",정영숙,대구광역시 동구 효목동 1114-1,,1987-12-30,2019-03-19,,
10,동구,일반유원시설업,파크랜드,×,"6(4,2)",이태규,대구광역시 동구 효목동 1160,,1988-06-15,1988-06-15,,
