구분,명소명,소재지,전화번호,상세소개(URL),담당부서,담당부서 연락처
역사명소,계족산성,대전광역시 대덕구 장동 산85,042-623-9909,https://www.daejeon.go.kr/tou/gallery40BoardView.do?boardId=tou_0001&menuSeq=4123&pageIndex=1&ntatcSeq=1057684&categorySeq=487,관광마케팅과,042-270-3984
역사명소,미륵원,대전광역시 동구 마산동 135-2,042-251-4204,https://www.daejeon.go.kr/tou/gallery40BoardView.do?boardId=tou_0001&menuSeq=4123&pageIndex=1&ntatcSeq=1057683&categorySeq=487,관광마케팅과,042-270-3984
역사명소,동춘당,대전광역시 대덕구 동춘당로 80 (송촌동),042-608-6572,https://www.daejeon.go.kr/tou/gallery40BoardView.do?boardId=tou_0001&menuSeq=4123&pageIndex=1&ntatcSeq=1057682&categorySeq=487,관광마케팅과,042-270-3984
역사명소,남간정사,대전광역시 동구 충정로 53 (가양동),042-673-9286,https://www.daejeon.go.kr/tou/gallery40BoardView.do?boardId=tou_0001&menuSeq=4123&pageIndex=1&ntatcSeq=1057677&categorySeq=487,관광마케팅과,042-270-3984
역사명소,단재 신채호 선생 생가터 ,대전광역시 중구 단재로229번길 47,042-606-6283,https://www.daejeon.go.kr/tou/gallery40BoardView.do?boardId=tou_0001&menuSeq=4123&pageIndex=1&ntatcSeq=1057676&categorySeq=487,관광마케팅과,042-270-3984
역사명소,"옛 대전형무소 망루, 우물",대전광역시 중구 목중로 34(목동),042-606-6281,https://www.daejeon.go.kr/tou/gallery40BoardView.do?boardId=tou_0001&menuSeq=4123&pageIndex=1&ntatcSeq=1057675&categorySeq=487,관광마케팅과,042-270-3984
역사명소,수운교의 성지 천단,대전광역시 유성구 자운로 245번길 80 (추목동),042-861-1771,https://www.daejeon.go.kr/tou/gallery40BoardView.do?boardId=tou_0001&menuSeq=4123&pageIndex=1&ntatcSeq=1057674&categorySeq=487,관광마케팅과,042-270-3984
역사명소,이사동 민속마을,대전광역시 동구 이사동 산3,,https://www.daejeon.go.kr/tou/gallery40BoardView.do?boardId=tou_0001&menuSeq=4123&pageIndex=1&ntatcSeq=1057672&categorySeq=487,관광마케팅과,042-270-3984
역사명소,옛 충남도청과 근현대사전시관,대전광역시 중구 중앙로 101 (선화동),042-270-6303,https://www.daejeon.go.kr/tou/gallery40BoardView.do?boardId=tou_0001&menuSeq=4123&pageIndex=2&ntatcSeq=1057671&categorySeq=487,관광마케팅과,042-270-3984
문화명소,대전역과 추억의 가락국수,대전광역시 동구 중앙로 218 일원(정동),070-4681-2873,https://www.daejeon.go.kr/tou/gallery40BoardView.do?boardId=tou_0001&menuSeq=4124&pageIndex=1&ntatcSeq=1057703&categorySeq=488,관광마케팅과,042-270-3984
