BASE_YM,KWRD_NM,BLOG_NM,TITLE_NM,BLOG_CN,BLOG_URL,MOP_CN
202106,흰여울문화마을,"모든 날, 모든 순간",부산여행 <b>흰여울문화마을</b> 절영해안산책로 카페 에테르,<b>흰여울문화마을</b> 저도 최근에 보게 된거 같은데 흰여울마을은 이미 변호인등 영화촬영을 하면서 유명한... 예전엔 이렇게 벽화마을 하면 부산 감천문화마을 꼭 가야하는 코스 같았는데 감천문화마을과는 다르게...,https://blog.naver.com/wowlovesoo,"'변호인', '마을', '문화', '최근', '영화', '촬영', '예전', '화마', '여울', '벽', '코스', '감천문화마을', '부산'"
202106,흰여울문화마을,아이와 함께 해외여행 고고씽,부산 가볼만한곳 <b>흰여울문화마을</b> 터널 포토존 &amp; 주차장 팁,"부산 <b>흰여울문화마을</b>은 물론이고 감천문화마을 장림포구, 기장 카페거리 등등 다 가고보고 싶었거든요... 부산 <b>흰여울문화마을</b>의 흰여울길은 봉래산 기슭에서 여러 갈래의 물줄기가 바다로 굽이쳐 내리는...",https://blog.naver.com/wkwmd81,"'포구', '장림', '마을', '문화', '길', '갈래', '카페', '물줄기', '기슭', '봉래산', '바다', '여울', '거리', '기장', '물론', '감천문화마을', '부산'"
202106,흰여울문화마을,백구한끼,[부산 <b>흰여울문화마을</b>] 부산여행/가볼만한곳/흰여울해안터널...,이렇게 한바뀌 돌기~!! 골목 사이사이 페인트 색감이ㅣ 너무 이쁘다 ㅎㅎ 날씨 좋으면 한번 꼭 가볼만함!! #요리하는백구 #하얀마음백구 #구얌 #백구한끼 #<b>흰여울문화마을</b> #흰여울마을 #부산여행 #부산가볼만한곳,https://blog.naver.com/dmisg,"'돌기', '골목', '색감', '마을', '여행', '곳', 'ㅣ', '페인트', '날씨', '요리', '문화', '백구', '얌', '여울', '사이', '뀌', '마음', '부산'"
202106,흰여울문화마을,트래블러버의 맛있는 여행,부산 <b>흰여울문화마을</b> 카페 영도 흰여울비치,계단을 따라 내려가보니 부산 흰여울마을 풍경과 탁 트인 영도 바다가 한눈에 들어오는 곳이라... <b>흰여울문화마을</b> 산책하고 가볼 만한 부산 영도 카페 찾는다면 가까운 흰 여울 비치로 찾아가 보세요. :),https://blog.naver.com/wlsgml850,"'비치', '산책', '마을', '한눈', '곳', '문화', '영도', '카페', '풍경', '바다', '여울', '계단', '영', '부산'"
202106,흰여울문화마을,아메노히의 창고,"20년만의 부산 여행 6 (<b>흰여울문화마을</b>, 카페 랏츠)",<b>흰여울문화 마을</b>자체가 참 아기자기 했다. 골목에다 테이블 내다 놓고 식당을 차려 놓으신걸 보니 왠지... ㅋㅋ 사투리 기념 엽서 재밌는 아이디어다 20년전 부산에 방문 했었을 때는 감천문화마을이나 흰여울마...,https://blog.naver.com/kalys19,"'자체', '테이블', '골목', '마을', '방문', '감천문화마을', '문화', '기념', '아이디어', '때', '식당', '여울', '전', '엽서', '사투리', '부산'"
202106,흰여울문화마을,효 님의 집,"부산 영도 <b>흰여울문화마을</b> 산책하기 좋아 (w. 포토존, 해녀촌...","내추럴함이 잘 묻어나서 너무 예쁜 동네야,, <b>흰여울문화마을</b>에서 가장 핫한곳이 흰여울점빵 인 것 같슴다. 라면과 토스트를 판매하는데 줄이 너무길어^^... 더운 날씨에 라면 먹으려고 웨이팅 못하겠어서 쿨하게...",https://blog.naver.com/hyo_vly,"'토스트', '마을', '줄', '웨이팅', '문화', '날씨', '핫', '빵', '판매', '라면', '쿨', '동네', '여울', '점', '내추럴', '곳'"
202106,흰여울문화마을,매일 여행 같은 하루,"부산 <b>흰여울문화마을</b>, 다시 방문해도 너무 새롭네요.",피아노 계단을 내려가며 <b>흰여울 문화마을</b>을 바라보니 마치 상곽처럼 보이기도 하는데요~ 원래는 이곳에 돼지 축사와 집들이 있었다고해요. 1959년 사라호가 마을을 휩쓸고갔고 지금의 축대와 흰여울길 담장은...,https://blog.naver.com/lillijy00,"'돼지', '호가', '피아노', '마을', '집들이', '문화', '곽', '상', '원래', '사라', '축대', '지금', '길', '축사', '담장', '여울', '계단'"
202106,흰여울문화마을,허브허브의 여행 & 패션,부산 영도 <b>흰여울문화마을</b> 카페 에테르,부산 영도 <b>흰여울문화마을</b> 카페 에테르 Aether 지난 부산여행 일정 중 마지막날에 들렸던 흰여울마을 카페 에테르. 부산 영도 바다가 한눈에 내려다 보이는 오션뷰 전망이 어마어마하죠~~!!! 흰여울마을은...,https://blog.naver.com/goldpfeil,"'에테르', '오션', '마을', '영도', '여행', '문화', '한눈', '전망', '카페', '날', '일정', '바다', '여울', '마지막', '뷰', '부산'"
202106,흰여울문화마을,소담이의 Naturalism,"부산영도 <b>흰여울문화마을</b> 당일치기여행, 힐링산책길 부산대표...","부산 영도 흰여울길 &amp; 절영해안산책로 #영도바다 #남항대교 #<b>흰여울문화마을</b>주차 절영해안산책로옆... 주차장)와 마을을 받치는 축대 바다구경, 사람구경 멋진뷰를보며.jpg 셀카봉과씨름중.jpg 골목길에 주민분이...",https://blog.naver.com/diamond407,"'절영', '카봉', '사람', '옆', '대교', '주민', '산책로', '주차', '책', '영도', '마을', '문화', '축대', '길', '골목길', '바다', '뷰', '영', '구경', '씨름', '주차장', '여울', '남항', '부산'"
202106,흰여울문화마을,테이스티 트래블 ♬,부산 <b>흰여울문화마을</b> 카페 부산 흰여울비치,도착하자마자 부산역에서 점심을 먹은 후 택시를 타고 <b>흰여울문화마을</b>로 갔어요. 손목서가와 흰여울비... 애리서 부산 <b>흰여울문화마을</b> 카페가 인기가 많을수밖에 없는 것 같아요. 한쪽에는 이렇게 흰 이불과...,https://blog.naver.com/yhm4082,"'점심', '역', '카페', '이불', '택시', '도착', '인기', '리서', '애', '마을', '문화', '후', '손목', '서가', '울비', '여울', '한쪽', '여', '부산'"
202106,흰여울문화마을,어람의 사진여행,부산 여행 꼭 가봐야할 곳 부산 <b>흰여울문화마을</b> 영도 흰여울길...,부산 <b>흰여울문화마을</b>안내센터 입니다. 저희는 저기가 안내센터인지도 모르고 무작정 올라갔는데 운 좋게도 저기서 흰여울길 안내를 받았네요. 안내를 해주신 전병호 님께 감사드립니다 문화마을...,https://blog.naver.com/byunyo,"'운', '마을', '센터', '감사', '문화', '길', '안내', '여울', '전병호', '부산'"
202106,흰여울문화마을,생쥐스프의 일상로그,부산 영도 <b>흰여울문화마을</b>,영화 변호인 촬영지 <b>흰여울문화마을</b> <b>흰여울문화마을</b> ~ 흰여울 참 이름이 너무이쁘다 사전정보없이... 어느 블로거의 흰여울마을 사진 한 장이 그림맞추기 놀이를 하게 만들었다ㆍ그 사진은 완전 감천마을...,https://blog.naver.com/tomato0902,"'변호인', '사전', '마을', '정보', '문화', '블', '영화', '그림', '촬영', '이름', '사진', '여울', '감천', '완전', '놀이'"
202106,흰여울문화마을,여행작가 박은하,"부산 가볼만한곳 1박2일 여행코스 <b>흰여울문화마을</b>, 동백섬 등",아름다운 마을입니다. 송도와 마주 보고 있어 제2송도 (이송도)라고도 불렀다고 해요. <b>흰여울 문화마을</b> 이라는 이름이 예쁘죠? '흰여울'은 영도 봉래산에서 내려온 물줄기가 바다에 굽이쳐 내릴 때 하얗게...,https://blog.naver.com/neweunha,"'마을', '영도', '문화', '때', '물줄기', '봉래산', '이름', '송도', '바다', '여울'"
