TURSM_CNTNTS_SEQ,MENU_CD,LANG_CD,MAIN_THUMB_IMAGE_LC,DETAIL_EX_URL,CNTNTS_REPRSNT_TITLE,CNTNTS_REPRSNT_SUBTITLE,MAIN_PLACE_NM,ONE_CTGRY_NM,TWO_CTGRY_NM,GUGUN_NM,LA,LO,HASHTAG,TOUR_HNTIP,TOUR_ETIQUETTE,TRNSPROT_GUID,OPER_TERM,RSTDE_GUID,USE_DAY_ND_TERM,USE_PRICE,REPRSNT_MENU_NM,VIEWS_CO,LIKE_CO,FAVORITE_CO
255,DOM_000000201001001000,ko,/uploadImgs/files/cntnts/20191222164810529_thumbL,https://www.visitbusan.net/index.do?menuCd=DOM_000000201001001000&uc_seq=255&lang_cd=ko,가파른 절벽 끝에 흰여울문화마을,흰여울길에서 만난 느림의 미학,흰여울문화마을,명소,자연,영도구,35.0788498,129.0440216,"#자연,#바다,#문화예술마을,#흰여울문화마을,#바다풍경,#절영해안산책로,#절벽,#계단,#골목길,#휴가,#추천여행,#원도심투어",,마을주민들이 살고 있으니 기본 에티켓은 지켜주세요. ,"도시철도 1호선 남포역 6번 출구 → 7, 71, 508 버스 환승 → 영선동 백련사 하차
버스 7,71,508 영선동 백련사 하차
부산시티투어버스 부산역(점보버스) → 흰여울문화마을 하차
주차 절영해안산책로 입구 공영 주차장 (유료)",,,,무료,,4335,15,6
256,DOM_000000201001001000,ko,/uploadImgs/files/cntnts/20191222171209005_thumbL,https://www.visitbusan.net/index.do?menuCd=DOM_000000201001001000&uc_seq=256&lang_cd=ko,역사가 살아 숨 쉬는 깡깡이예술마을,역사와 예술이 공존하는 곳,깡깡이 예술마을,명소,문화,영도구,35.0926476,129.032547,"#부산여행,#영도여행,#부산원도심,#깡깡이예술마을,#예술마을,#조선소마을,#이색체험,#원도심투어",수리조선소가 밀집한 깡깡이 예술마을은 평일 낮 시간대에 매우 혼잡하오니 깡깡이 예술마을 통합투어 프로그램(인터넷 사전예약)을 이용해주세요. ,"주민 분들이 살고 있습니다. 과한 목소리, 표정, 손짓으로 불쾌감을 주지 않도록 유의해주세요.","도시철도 1호선 남포역 (6번출구) 도보 18분 
마을버스 영도구2 대평동 하차 
주차 봉래동, 남항시장 공영주차장 (유료)",,매주 월요일 (투어 등 시설),"평일, 주말 10:00~17:00
가급적 평일 낮 시간 제외, 주말 혹은 통합투어 프로그램 이용 요망",프로그램별 상이 ,,2680,1,1
257,DOM_000000201001001000,ko,/uploadImgs/files/cntnts/20191222175627506_thumbL,https://www.visitbusan.net/index.do?menuCd=DOM_000000201001001000&uc_seq=257&lang_cd=ko,해양 문화의 꽃 국립해양박물관,"해양, 어디까지 알고 있니?",국립해양박물관,명소,문화,영도구,35.0787277,129.0801849,"#부산여행,#박물관,#체험학습,#실내여행지,#경치좋은곳,#사계절,#국립해양박물관,#어린이박물관,#가족나들이,#영도여행,#아이와함께","도시락을 가지고 온다면 실내 피크닉룸, 야외 피크닉존을 이용할 수 있다. ",,"도시철도 1호선 남포역 6번 출구 → 186, 66번 버스 환승 → 국립해양박물관 하차
부산시티투어버스 부산역(점보버스) → 국립해양박물관 하차
주차 국립해양박물관 주차장 (유료)",,매주 월요일,"화 ~ 일
국립해양박물관 
-평일 09:00~18:00 
-토요일 [9월~4월] 09:00~19:00 / [5월~8월] 09:00~21:00 
-일요일, 공휴일 09:00~19:00 
-설날?추석 익일, 어린이날, 광복절 09:00~21:00 
해양도서관
 - 09:00~18:00 
- 휴관일: 박물관 휴관일 및 법정공휴일","관람료 무료(단, 4D영상관, 유료특별전시 제외)",,3117,4,2
258,DOM_000000201001001000,ko,/uploadImgs/files/cntnts/20191222180829962_thumbL,https://www.visitbusan.net/index.do?menuCd=DOM_000000201001001000&uc_seq=258&lang_cd=ko,영도 등대와 함께한 100년 태종대,"가족. 연인, 친구와 함께라면 더없이 좋은",태종대 유원지,명소,자연,영도구,35.0526428,129.0877991,"#부산여행,#태종대,#해안절경,#다누비열차,#부산데이트코스,#가족과함께,#인생샷,#영도등대,#등대투어,#뷰포인트","다누비 열차 운영 09:20~17:30
순환도로 야간 차량 개방 18:00~22:00
해상 유람선 운영(소요시간 40분) 각 유람선별 운영시간 상이",,"도시철도 1호선 부산역 7번 출구 →  66, 88, 101 버스 환승 → 태종대(태종대온천) 하차
버스 8, 30, 66, 88, 101, 186 태종대(태종대온천) 하차
주차 정문입구 주차장(버스전용), 제7주차장, 자유랜드 주차장 (유료)",,,하절기 3~10월(04:00~24:00) / 동절기 11~2월(05:00~24:00) ,무료 (다누비 열차 요금 별도),,4163,16,4
259,DOM_000000201001001000,ko,/uploadImgs/files/cntnts/20191222181829937_thumbL,https://www.visitbusan.net/index.do?menuCd=DOM_000000201001001000&uc_seq=259&lang_cd=ko,기장바다의 색다른 풍경 죽성성당,드라마 세트장의 놀라운 변화,죽성성당,명소,자연,기장군,35.2410126,129.248642,"#포토스폿,#부산여행,#죽성성당,#부산핫플레이스,#죽성드림세트장,#부산데이트코스,#기장죽성성당,#바다풍경,#드라이브코스,#기장해안산책로,#뷰포인트,#바다여행",성당을 중심으로 해안산책로가 잘 정비되어있다.,"두호마을 주민의 생활과 생업에 방해되지 않도록 음주가무 및 야간 고성방가에 유의.
차량주차는 통행에 방해가 되지 않도록 유의.","버스 해운대온천사거리 정류장 급행 1003 버스 → 기장성당 하차 → 마을버스 6 환승 → 두호마을 하차
마을버스 기장군청 정류장 마을버스 6 → 두호마을 하차
주차 죽성성당 인근 주차장 (유료)",,,,,,2881,7,3
260,DOM_000000201001001000,ko,/uploadImgs/files/cntnts/20191222185645736_thumbL,https://www.visitbusan.net/index.do?menuCd=DOM_000000201001001000&uc_seq=260&lang_cd=ko,400년간 지켜온 자연 그대로의 숲을 만나다,"대나무의 집, 기장 아홉산 숲",아홉산 숲,명소,자연,기장군,35.2873344,129.1704559,"#부산여행,#아홉산숲,#대나무숲,#기장가볼만한곳,#부산데이트,#아홉산숲산책로,#부산영화촬영지,#주말여행지","물을 꼭 챙기고 걷기 편한 신발 착용
모기기피제와 부채 무료대여
단체 관광버스 방문 시 예약필수","유모차, 자전거, 등산용구(스틱 등) 이용금지 
식물채취 및 훼손, 곤충채집 금지
애완동물 동반 불가","도시철도 1호선 노포역 → 2-3 마을버스 환승 → 미동마을 하차
주차 아홉산숲 주차장",,매주 월요일,"평일, 주말 09:00~18:00 (입장마감 16시30분)","5,000원 (5세부터)",,2348,8,4
261,DOM_000000201001001000,ko,/uploadImgs/files/cntnts/20191222190823385_thumbL,https://www.visitbusan.net/index.do?menuCd=DOM_000000201001001000&uc_seq=261&lang_cd=ko,기장에 가면 해동용궁사,"바다전망 성지, 해동용궁사를 가다",해동용궁사,명소,문화,기장군,35.1885834,129.223465,"#부산,#자연,#해동용궁사,#사찰,#부산여행,#기장여행,#바다풍경,#해안절경,#일출명소,#해안산책로,#해파랑길,#갈맷길,#국립수산과학원,#추천여행,#데이트코스,#뷰포인트","해안산책로와 연결된 국립수산과학원에서 신기하고 재미있는 바다체험을 즐길 수 있다.
힐튼호텔 아난티코브 타운이 근처에 있어 데이트 코스로도 추천.","사찰 경내에서는 목소리를 낮춘다.
법당 출입 시 정면에 있는 문(스님만 출입)을 사용하지 말고 측면의 문으로 출입한다.
신발은 가지런히 벗어 놓는다.","도시철도 2호선 해운대역 7번 출구 → 181, 100, 해운대 9 버스 환승 → 해동용궁사 하차
동해선 오시리아역 1번 출구 → 오시리아역 버스정류장 139 버스 환승 → 해동용궁사 하차
부산시티투어버스 부산역(레드라인) → 해운대해수욕장 버스 환승(블루라인 ) → 해동용궁사 하차
주차 해동용궁사 주차장 (유료)",,,"매일, 05:00 ~ 일몰 시까지",,,3153,14,4
262,DOM_000000201001001000,ko,/uploadImgs/files/cntnts/20191224093809621_thumbL,https://www.visitbusan.net/index.do?menuCd=DOM_000000201001001000&uc_seq=262&lang_cd=ko,"나만 알고 싶은 해수욕장, 임랑해수욕장",하얀 백사장에 어우어진 은색 달빛,임랑해수욕장 ,명소,자연,기장군,35.3190498,129.2645111,"#임랑해수욕장,#기장여행,#부산여행,#부산가볼만한곳,#해수욕장,#여름국내여행지,#바다여행","텐트, 돗자리 설치 가능
기장임랑썸머뮤직페스티벌(매년 여름 - 무료)","샤워장 이용 전 몸에 묻은 모래 씻고 이용할 것 
지정된 장소, 시간 외 해수욕, 쓰레기 투기, 취사, 야영 금지
백사장 흡연, 모래 채취 금지 ","도시철도 2호선 해운대역 → 180 버스 환승 → 임랑삼거리 하차
버스 37, 180, 188 임랑삼거리 하차
마을버스 기장군9, 기장군3 임랑삼거리 하차",해수욕장 개장기간 : 매년 7월 1일 ~ 8월 31일,,09:00~18:00 (개장 중 입수가능 시간),,,1542,2,0
264,DOM_000000201001001000,ko,/uploadImgs/files/cntnts/20191224171115847_thumbL,https://www.visitbusan.net/index.do?menuCd=DOM_000000201001001000&uc_seq=264&lang_cd=ko,"오래된 이야기가 있는 곳, 문화공감수정 그리고 초량1941",근대목조 건물과 함께 하는 여유로운 초량 카페 투어,"문화공감 수정, 초량1941",명소,문화,동구,35.1257935,129.0426483,"#부산원도심,#초량카페,#문화공감수정,#초량1941,#일본식가옥,#초량이바구길,#부산카페,#부산여행,#부산가볼만한곳,#힐링,#근대문화,#핫플레이스,#포토스폿,#원도심투어","문화공감 수정 내부 구경 무료
초량1941 이바구길의 끝자락에 위치해 부산의 경치를 한눈에 담기 좋은 장소","문화공감 수정 어르신들이 일을 하고 있기에 존중하는 자세를 가지자.
초량1941 노키드존(10세 미만 출입 제한), 내부 사진 촬영 금지","문화공감 수정
도시철도 1호선 부산진역 1번 출구 도보 7분
버스 103 경남여중 하차 59, 67, 81, 167 고관입구 하차
부산역에서 택시로 기본요금
초량1941
버스 22,  38,  52,  86, 186 금수사 하차
부산역에서 택시로 기본요금",,"문화공감 수정 명절 휴무
초량1941 매주 월요일","문화공감 수정 매일 09:00~18:00
초량1941 화~일 11:00~19:00",메뉴판 참조,,3527,5,4
265,DOM_000000201001001000,ko,/uploadImgs/files/cntnts/20191225143353231_thumbL,https://www.visitbusan.net/index.do?menuCd=DOM_000000201001001000&uc_seq=265&lang_cd=ko,"부산바다의 과거와 현재, 일광해수욕장",트렌디한 해양스포츠부터 옛 풍경까지,일광해수욕장,명소,자연,기장군,35.260025,129.2335968,"#부산바다,#일광해수욕장,#기장여행,#부산여행,#부산가볼만한곳,#해수욕장,#여름국내여행지,#바캉스,#물놀이,#부산명소,#해양레포츠,#바다여행",해변 양 끝으로 텐트 설치 허용 구역이 있다(무료).,"샤워장 이용 전 몸에 묻은 모래 씻고 이용할 것 
지정된 장소, 시간 외 해수욕, 쓰레기 투기, 취사, 야영 금지
백사장 흡연, 모래 채취 금지","도시철도 2호선 해운대역 → 1006, 180번 버스환승 → 일광해수욕장 입구 하차
버스 188, 180, 1006 일광해수욕장 입구 하차
마을버스 기장군2, 기장군8-1, 기장군9, 기장군3, 기장군8 일광해수욕장 입구 하차",개장기간 : 매년 7월 1일 ~ 8월 31일,,09:00~18:00 (개장 중 입수가능 시간),무료,,1696,2,1
