"종류","종별","지정번호","지정일자","문 화 재 명","소 재 지","관리주체"
"국가지정문화재","국보","제200호","1979-04-30","금동보살입상(金銅菩薩立像)","부산광역시 남구 유엔평화로 63 부산박물관","관"
"국가지정문화재","국보","제233호","1986-10-15","전 산청 석남암사지 납석사리호(傳 山淸 石南巖寺址 蠟石舍利壺)","부산광역시 남구 유엔평화로 63 부산박물관","관"
"국가지정문화재","국보","제310호","2007-12-17","백자 달항아리(白磁 壺)","부산광역시 남구 분포로 111(국립고궁박물관 위탁보관)","관"
"국가지정문화재","보물","제569-16호","1972-08-16","안중근의사 유묵(安重根義士 遺墨)","부산광역시 남구 분포로","관"
"국가지정문화재","보물","제592-3호","2010-10-25","허목 전서 애군우국(許穆 篆書 愛君憂國)","부산광역시 남구 분포로","관"
"국가지정문화재","보물","제1189-2호","2006-12-29","박문수 초상(朴文秀 肖像)","부산광역시 남구 분포로","관"
"국가지정문화재","보물","제1498호","2006-12-29","조선후기 문인 초상(朝鮮後期 文人 肖像)","부산광역시 남구 분포로","관"
"국가지정문화재","보물","제1501호","2006-12-29","이덕성 초상 및 관련자료 일괄(李德成 肖像 및 關聯資料 一括)","부산광역시 남구 유엔평화로 63 부산박물관","관"
"국가지정문화재","보물","제1599호","2008-12-22","경상총여도(慶尙摠輿圖)","부산광역시 남구 분포로","관"
"국가지정문화재","보물","제1616호","2009-04-22","예안 김씨 가전 계회도 일괄(禮安金氏家傳契會圖一括)","부산광역시 남구 분포로","관"
"국가지정문화재","보물","제1809호","2013-11-13","칠태부인경수연도(七太夫人慶壽宴圖)","부산광역시 남구 유엔평화로 63 부산박물관","관"
"국가지정문화재","명승","제24호","2007-10-01","부산 오륙도(釜山 五六島)","부산광역시 남구 용호동 936번지 일원","관"
"등록문화재","-","제359호","2007-10-24","부산 재한유엔기념공원(釜山 在韓UN記念公園)","부산광역시 남구 유엔평화로 93","관"
"등록문화재","","제715호","2018-05-08","부산우암동소막마을주택","부산광역시 남구 우암동 189-1123 외 16필지","관"
"시지정문화재","유형문화재","제46호","2001-05-16","범어사명 유제시루(梵魚寺銘 鍮製시루)","부산광역시 남구 유엔평화로 63 부산박물관","관"
"시지정문화재","유형문화재","제48호","2001-10-25","유원각선생 매안감고비 및 비각(柔遠閣先生埋案感古碑 및 碑閣)","부산광역시 남구 유엔평화로 63 부산박물관","관"
"시지정문화재","유형문화재","제77호","2007-09-07","어전준천제명첩(御前濬川題名帖)","부산광역시 남구 유엔평화로 63 부산박물관","관"
"시지정문화재","유형문화재","제78호","2007-09-07","천상열차분야지도(天象列次分野之圖)","부산광역시 남구 유엔평화로 63 부산박물관","관"
"시지정문화재","유형문화재","제79호","2007-09-07","이의양 필 산수도(李義養 筆 山水圖)","부산광역시 남구 유엔평화로 63 부산박물관","관"
"시지정문화재","유형문화재","제84호","2008-04-02","이덕성가 문적(李德成家 文籍)","부산광역시 남구 유엔평화로 63 부산박물관","관"
"시지정문화재","유형문화재","제109호","2012-05-17","김홍도 필 산수인물도(金弘道 筆 山水人物圖)","부산광역시 남구 유엔평화로 63 부산박물관","관"
"시지정문화재","유형문화재","제110호","2012-05-17","심사정 필 산승보납도(沈師正 筆 山僧補衲圖)","부산광역시 남구 유엔평화로 63 부산박물관","관"
"시지정문화재","유형문화재","제111호","2012-05-17","류성룡 필 진시무차 초고(柳成龍 筆 陳時務箚 草稿)","부산광역시 남구 유엔평화로 63 부산박물관","관"
"시지정문화재","유형문화재","제112호","2012-05-17","백자철화용문호(白磁鐵畵龍文壺)","부산광역시 남구 유엔평화로 63 부산박물관","관"
"시지정문화재","유형문화재","제113호","2012-05-17","백자대호(白磁大壺)","부산광역시 남구 유엔평화로 63 부산박물관","관"
"시지정문화재","유형문화재","제114호","2012-05-17","곤여전도(坤輿全圖)","부산광역시 남구 유엔평화로 63 부산박물관","관"
"시지정문화재","유형문화재","제125호","2013-05-08","박기종 유물 일괄(朴琪淙 遺物 一括)","부산광역시 남구 유엔평화로 63 부산박물관","관"
"시지정문화재","유형문화재","제138호","2014-03-19","백련사 약사유리광여래본원 공덕경(白蓮寺 藥師琉璃光如來本願功德經)","부산광역시 남구 이기대공원로 85-74 백련사","관"
"시지정문화재","유형문화재","제157호","2015-07-15","금동관음보살좌상(金童觀音菩薩坐像)","부산광역시 남구 유엔평화로 63 부산박물관","관"
"시지정문화재","유형문화재","제158호","2015-07-15","목조지장보살좌상(木造地藏菩薩坐像)","부산광역시 남구 유엔평화로 63 부산박물관","관"
