코스명,관광지명,주소,연락처,내용,위도,경도,데이터 기준일자
초량이바구길,(옛)백제병원,부산광역시 동구 중앙대로209번길 16,,"일제강점기 최용해가 세운 국내 최초의 근대식 종합병원으로 문을 열었으나 인체표본과 운영적자문제로 문을 닫았다.  이후 중화요리집 봉래각, 중화민국 영사관, 대사관, 일본 부대 장교숙소, 치안대 사무소로 이용되었고, 해방 후 예식장으로 변신했다.  1972년 화재 후 1987년 대대적인 수리가 이뤄져 일반 상가로 사용되다가 현재 1층을 카페로 재단장하였다",35.1163397,129.0391434,2020-08-12
초량이바구길,남선창고(터),부산광역시 동구 초량로 13번길 53,,"탑마트 주차장 안 쪽에 위치, 부산역에서 527m, 도보 8분  부산 최초의 창고로 함경도에서 물건을 가져온다고 해서 북선창고 명태를 보관했다고해서 명태고방으로 불리었으며, 경부선을 통해 전국에 보급하였으나, 현재는 철거되어 담장만 그 흔적으로 남아있다.  ",35.1168056,129.039514,2020-08-12
초량이바구길,담장갤러리,부산광역시 동구 초량중로41번길 8-3 인근,,"동구의 산복도로에서만 느낄 수 있고, 시간이 흐름에 따라 변화되는 풍경과 시를 전시하여 흑백사진과 같은 삶의 흔적을 엿볼 수 있다.  ",35.1160973,129.0372685,2020-08-12
초량이바구길,동구 인물사 담장,부산광역시 동구 초량상로 53 인근,,"담장갤러리에서 137m, 도보 2분  동구 인물사 담장은 산복도로의 삶과 애환을 시와 사진으로 보여주는 도입부와 동구를 이어온 사람들 소개, 초량 초등학교의 한류스타, 그리고 동구 초량의 삶과 마주보기로 구성되어 있으며,  초량 초등학교의 담장을 활용한 인물사 담장에는 동구의 역사와 미래가 함축되어 있고,  1937년 개교한 초량 초등학교와 동구가 배출한 수많은 인물들, 우리가 어렸을 때 사 먹었던 떡볶이와 불량식품 등을 팔았던 문방구가 그대로 남아있다.  ",35.1170036,129.0365321,2020-08-12
초량이바구길,이바구정거장,부산광역시 동구 초량상로37번길 45,070-8844-9131,"이바구 정거장은 주민협의회에서 운영하는 이바구길 탐방 안내소로 지역민과 함께하는 토요음악캠프, 청년작가 작품전시 등 다양한 프로그램을 통해 여행객들이 잠시 쉬어갈 수 있는 문화 휴식 공간으로 자리 매김 하고 있다",35.1169113,129.0360209,2020-08-12
초량이바구길,168 도시락국,부산광역시 동구 영초길 191,051-714-2619,"이바구 정거장은 주민협의회에서 운영하는 이바구길 탐방 안내소로 지역민과 함께하는 토요음악캠프, 청년작가 작품전시 등 다양한 프로그램을 통해 여행객들이 잠시 쉬어갈 수 있는 문화 휴식 공간으로 자리 매김 하고 있다",35.1170812,129.0357794,2020-08-12
초량이바구길,우물터,부산 광역시 동구 영초길 191번길 9-2 인근,,"168도시락국에서 103m,도보 2분  예전 빨래터로 이용된 우물터, 168계단에 올라가기 전 바로 왼쪽에 있다.  우물 안을 바라보면 물고기가 살고 있다고 한다.  ",35.11716,129.0353502,2020-08-12
초량이바구길,168계단,부산광역시 동구 영초길 191번길 9-2 인근,,"168도시락국에서 103m, 도보 2분  168계단은 바라보기만 해도 숨이 턱 막힐 정도로 까마득한 계단길이지만  오르다보면 탁 트인 부산항이 한눈에 보이는 명소로 부산 동구의 역사와 살아 온 사람들의 삶과 흔적을 느낄 수 있다.  부산항(부산역)에서 산복도로로 올라가는 가장 빠른 지름길인 168계단에는 노인 등 노약자들이 쉽게 오르내릴 수 있도록 길이 60m의 이동편의시설(168모노레일)이 설치되어 있다.",35.11718,129.03555,2020-08-12
초량이바구길,168모노레일,부산광역시 동구 영초길 191번길 9-2 인근,,"2016년 6월부터 정식으로 운행한 168모노레일은 대부분 고령인 마을 주민들에게는 편리한 이동수단이자, 부산항의 전경을 한눈에 담고 싶을 여행자들에게도 요긴한 관광수단이다.    총 선로 길이 60m, 기울기 33도의 완만한 코스를 오르내리는 모노레일은 이바구 정거장에서 출발, 중간의 김민부 전망대, 맨 위쪽의 장기려 더 나눔 센터의 3개 역을 경유한다.  168도시락국에서 103m, 도보 2분, 168계단 바로 옆  168계단 이용에 어려움을 겪는 주민들을 위해 선로 길이는 약 60m, 기울기 33도의 모노레일이 설치되었다.  모노레일에 탑승하면 탁 트인 부산항 전망과 산복도로의 풍경을 한눈에 감상할 수 있다.  하부와 상부 정거장 사이 중간 지점에 정거장을 하나 만들어 모노레일 운행 중에 하차할 수도 있다. ",35.11711,129.0353502,2020-08-12
초량이바구길,김민부전망대,부산광역시 동구 영초윗길 26번길 14,,"김민부 전망대는 불꽃같은 짧은 생애를 살다간 동구가 낳은 천재 시인 김민부를 기리기 위해 설치되었다.  이곳에 서면 부산 앞바다가 훤히 내려다보이는데, 월남 파병 간 군인, 서독으로 간 광부와 간호사, 일본으로 징용 간 소년들까지 돌아오지 못한 이들의 사연들로 넘실댄다.  전망대 한쪽 벽면에는 그가 작사한 가곡 기다리는 마음의 글귀가 고즈넉하게 새겨져 있다.",35.117651,129.035333,2020-08-12
