문화재명,소재지,관리주체,지정번호,지정일자,시대,종별,담당자전화번호,구군명,데이터기준일자,위도,경도
배롱나무,,화지공원 관리사무소,제168호,1965-04-01,고려,천연기념물,051-605-4065,부산광역시 부산진구,2020-07-31,35.176478,129.061394
구상반려암,부산광역시 부산진구 전포2동 산12번지 일원,부산진구청,제267호,1980-10-27,백악기,천연기념물,051-605-4065,부산광역시 부산진구,2020-07-31,35.163431,129.072051
진실주집,,삼광사(부산박물관 기탁 보관),제921-3호),2015-04-22,조선,보물,051-605-4065,부산광역시 부산진구,2020-07-31,35.175965,129.043405
대방광원각수다라요의경,,삼광사(부산박물관 기탁 보관),제1518-2호,2015-04-22,고려,보물,051-605-4065,부산광역시 부산진구,2020-07-31,35.175965,129.043405
구.성지곡수원지,,부산시설공단,제376호,2008-07-03,구한말,등록문화재,051-605-4065,부산광역시 부산진구,2020-07-31,35.183248,129.046326
디젤전기기관차,부산광역시 부산진구 범천동 1219,부산철도차량관리단,제416호,2008-10-17,1950년,등록문화재,051-605-4065,부산광역시 부산진구,2020-07-31,35.153781,129.051249
동모,,부산진구청(복천박물관 위탁 보관),제18호,1972-06-26,청동기,유형문화재,051-605-4065,부산광역시 부산진구,2020-07-31,35.208641,129.091438
동모,,부산진구청(복천박물관 위탁 보관),제19호,1972-06-26,청동기,유형문화재,051-605-4065,부산광역시 부산진구,2020-07-31,35.208641,129.091438
동파두,,부산진구청(복천박물관 위탁 보관),제20호,1972-06-26,청동기,유형문화재,051-605-4065,부산광역시 부산진구,2020-07-31,35.208641,129.091438
포은시고,,부산진구청(부산시립시민도서관 위탁 보관),제49호,2002-05-06,조선,유형문화재,051-605-4065,부산광역시 부산진구,2020-07-31,35.183577,129.049979
선암사 목조아미타여래좌상 및 복장유물,,선암사,제95호,2008-12-16,조선전기,유형문화재,051-605-4065,부산광역시 부산진구,2020-07-31,35.177237,129.027694
천안사 법어,,천안사,제105호,2011-03-26,1577년,유형문화재,051-605-4065,부산광역시 부산진구,2020-07-31,35.176911,129.033573
삼광사 석조여래좌상,,삼광사,제145호,2014-05-21,조선후기,유형문화재,051-605-4065,부산광역시 부산진구,2020-07-31,35.175965,129.043405
선암사 괘불탱,,선암사,제27호,2004-10-04,1926년,문화재자료,051-605-4065,부산광역시 부산진구,2020-07-31,35.177237,129.027694
대원사 독성도,,대원사,제31호,2005-03-03,19세기,문화재자료,051-605-4065,부산광역시 부산진구,2020-07-31,35.143763,129.027433
선암사 청동북,,선암사,제37호,2006-11-25,조선후기,문화재자료,051-605-4065,부산광역시 부산진구,2020-07-31,35.177237,129.027694
교린수지,,부산진구청(부산시립시민도서관 위탁 보관),제51호,2009-12-07,1881년,문화재자료,051-605-4065,부산광역시 부산진구,2020-07-31,35.183577,129.049979
선암사 삼층석탑,,선암사,제53호,2010-05-24,고려,문화재자료,051-605-4065,부산광역시 부산진구,2020-07-31,35.177237,129.027694
신흥사 치성광삼존도,,신흥사,제58호,2014-05-27,1885년,문화재자료,051-605-4065,부산광역시 부산진구,2020-07-31,35.145925,129.029756
홍제사 보광암명 범종,,홍제사,제64호,2012-10-30,1935년,문화재자료,051-605-4065,부산광역시 부산진구,2020-07-31,35.153128,129.07464
