지정구분,종별,분야,지정번호,명칭,제작연도,지정일자,소유자
국가지정,사적,,제266호,동삼동패총,,1979-07-26,
국가지정,명승,,제17호,부산영도태종대,,2005-11-01,
국가지정,보물,,제961-2호,묘법연화경 권4~7,,2013-11-13,
시지정,유형문화재,탱화,제61호,지장시왕도,1892,2005-12-27,복천사
시지정,유형문화재,탱화,제62호,아미타극락회상도,1892,2005-12-27,복천사
시지정,유형문화재,전적,제65호,복천사 조상경,1575,2006-07-03,복천사
시지정,유형문화재,전적,제66호,선원제전집도서,1579,2006-07-03,복천사
시지정,유형문화재,회화,제208호,이원찬 필 호도,,2019-07-24,국립해양박물관
시지정,유형문화재,공예,제209호,나전칠국화모란넝쿨무늬상자,,2019-07-24,국립해양박물관
시지정,기 념 물,교각,제56호,영도대교,1934,2006-11-25,부산시
시지정,민속문화재,공예,제12호,해련사 동래부 인상,,2015-08-26,해련사
시지정,민속문화재,공예,제13호,해련사 장엄의식구,,2015-08-26,해련사
시지정,민속문화재,유물,제19호,농기,1905,2018-10-31,국립해양박물관
시지정,문화재자료,탱화,제36호,석가영산회상도,1921,2005-12-27,복천사
시지정,문화재자료,탱화,제38호,복천사 독성도 및 복장유물 일괄,1892,2007-09-07,복천사
시지정,문화재자료,탱화,제39호,복천사 현왕도 및 복장유물 일괄,,2007-09-07,복천사
시지정,문화재자료,불상,제49호,복천사 석조석가여래 및 보살 좌상,1922,2008-12-16,복천사
시지정,문화재자료,공예(도자기),제99호,백자철화운룡문호,,2017-07-19,국립해양박물관
시지정,문화재자료,고서,제108호,조행일록,1862,2019-02-13,국립해양박물관
시지정,문화재자료,고서,제109호,죽천이공행정록,1624,2019-02-13,국립해양박물관
시지정,문화재자료,초상,제113호,박주부초상,,2020-01-29,국립해양박물관
