연번,종류,종별,지정번호,지정일자,문화재명,소재지,관리주체
1,국가지정문화재,보물,제953호,1988-06-16,조숭고신왕지,국립중앙박물관,국립중앙박물관
2,국가지정문화재,보물,제954호,1988-06-16,조서경무과홍패,국립중앙박물관,국립중앙박물관
3,국가지정문화재,보물,제574호,1973-12-31,박만정 해서암행일기,부산광역시 해운대구 마린시티2로 33 해운대두산위브제니스 102-6802(우동),개인
4,국가지정문화재,등록문화재,제302호,2006-12-04,송정역,부산광역시 해운대구 송정중앙로8번길 60(송정동),한국철도공사
5,시지정문화재,유형문화재,제24호,1993-12-31,동하면 고문서,부산광역시립박물관,시립박물관
6,시지정문화재,유형문화재,제129호,2013-10-23,폭포사 묘법연화경,부산광역시 해운대구 장산로 331-112(우동),폭포사
7,시지정문화재,유형문화재,제132호,2013-10-23,백운사 묘법연화경 권1-3,부산광역시 해운대구 운봉길 315(반송동),백운사
8,시지정문화재,유형문화재,제133호,2013-10-23,백운사 묘법연화경권4-7,부산광역시 해운대구 운봉길 315(반송동),백운사
9,시지정문화재,유형문화재,제149호,2014-09-24,해운정사 전법게,부산광역시 해운대구 우동2로 40-6(우동),해운정사
10,시지정문화재,유형문화재,제201호,2019-04-10,원오사 고봉화상선요,부산광역시 해운대구 윗반송로 124-5 (반송동),원오사
11,시지정문화재,유형문화재,제212호,2020-04-29,해운정사 삼층석탑,부산광역시 해운대구 우동2로 40-6(우동),해운정사
12,시지정문화재,무형문화재,제26호,2018-02-28,동장각장,,
13,시지정문화재,문화재자료,제1호,1986-05-29,삼절사,부산광역시 해운대구 신반송로 182번길 24(반송동),남원양씨삼절사 반송문회
14,시지정문화재,문화재자료,제50호,2009-12-07,석조보살좌상 舊)석존상,부산광역시 해운대구  재반로 282번길 113(반여동),인지사
15,시지정문화재,문화재자료,제67호,2013-05-08,원각사 현왕도,부산광역시 해운대구 장산로 427-291(좌동),원각사
16,시지정문화재,문화재자료,제78호,2014-09-24,해운정사 선문염송집,부산광역시 해운대구 우동2로 40-6(우동),해운정사
17,시지정문화재,문화재자료,제79호,2014-09-24,해운정사 현수제승법수,부산광역시 해운대구  우동2로 40-6(우동),해운정사
18,시지정문화재,기념물,제45호,1999-03-09,해운대석각,부산광역시 해운대구 우1동710-1(공유수면),해운대구청장
19,시지정문화재,기념물,제46호,1999-03-09,동백섬,부산광역시 해운대구 우1동 710-1일원,해운대구청장
20,시지정문화재,민속문화재,제6호,2009-12-07,"장산 마고당,천제단",부산광역시 해운대구 우동 산 148-1번지,장산신당보존위원회
