해설장소명,도로명주소,해설사명칭,전화번호,관련기관,안내홈페이지,위도,경도,데이터기준일자
40계단문화관(기념관),부산광역시 중구 동광길 49,문화관광해설사,051-600-4041,중구 관광시설 관리사업소,https://www.visitbusan.net/index.do?menuCd=DOM_000000203013000000,129.034542,35.105196,2020-09-22
UN기념공원,부산광역시 남구 유엔평화로 93,문화관광해설사,051-625-0625,재한유엔기념공원관리처,https://www.visitbusan.net/index.do?menuCd=DOM_000000203013000000,129.096156,35.128114,2020-09-22
감천문화마을,부산광역시 사하구 감내2로 203,문화관광해설사,051-204-1444,감천문화마을 안내센터,https://www.visitbusan.net/index.do?menuCd=DOM_000000203013000000,129.010594,35.097472,2020-09-22
금정산성(동문과남문),부산광역시 동문로 38,문화관광해설사,051-888-6875,푸른도시가꾸기사업소,https://www.visitbusan.net/index.do?menuCd=DOM_000000203013000000,129.06345,35.246396,2020-09-22
동삼동패총전시관,부산광역시 영도구 태종로 729,문화관광해설사,051-403-1193,동삼동패총전시관 안내센터,https://www.visitbusan.net/index.do?menuCd=DOM_000000203013000000,129.07978,35.071328,2020-09-22
몰운대,부산광역시 사하구 다대동 482-6,문화관광해설사,051-220-4524,사하구 창조도시기획단,https://www.visitbusan.net/index.do?menuCd=DOM_000000203013000000,128.968818,35.045652,2020-09-22
백산기념관,부산광역시 중구 백산길 11,문화관광해설사,051-600-4067,중구 관광시설 관리사업소,https://www.visitbusan.net/index.do?menuCd=DOM_000000203013000000,129.03459,35.101978,2020-09-22
범어사,부산광역시 금정구 범어사로 250,문화관광해설사,051-508-3122,금정구청,https://www.visitbusan.net/index.do?menuCd=DOM_000000203013000000,129.068543,35.284174,2020-09-22
복천박물관,부산광역시 동래구 복천로 63,문화관광해설사,051-554-4263,복천박물관,https://www.visitbusan.net/index.do?menuCd=DOM_000000203013000000,129.091452,35.20838,2020-09-22
부산근대역사관,부산광역시 중구 대청로 104,문화관광해설사,051-253-3845,부산근대역사관,https://www.visitbusan.net/index.do?menuCd=DOM_000000203013000000,129.091455,35.208435,2020-09-22
부산박물관 문화체험관,부산광역시 남구 유엔평화로 63,문화관광해설사,051-610-7156,부산박물관,https://www.visitbusan.net/index.do?menuCd=DOM_000000203013000000,129.094162,35.129726,2020-09-22
부산어촌민속관,부산광역시 북구 학사로 128,문화관광해설사,051-550-8880,해양자연사박물관,https://www.visitbusan.net/index.do?menuCd=DOM_000000203013000000,129.008791,35.233747,2020-09-22
수영사적공원,부산광역시 수영구 수영성로 43,문화관광해설사,051-792-2947,수영구청,https://www.visitbusan.net/index.do?menuCd=DOM_000000203013000000,129.11391,35.171298,2020-09-22
오륜대한국순교자박물관,부산광역시 금정구 오륜대로 106-1,문화관광해설사,051-583-2923,순교자박물관,https://www.visitbusan.net/index.do?menuCd=DOM_000000203013000000,129.101128,35.246213,2020-09-22
용두산공원,부산광역시 중구 용두산길 37-55,문화관광해설사,051-860-7820,용두산공원사무소,https://www.visitbusan.net/index.do?menuCd=DOM_000000203013000000,129.03232,35.100735,2020-09-22
임시수도기념관,부산광역시 서구 임시수도기념로 45,문화관광해설사,051-244-6345,임시수도기념관,https://www.visitbusan.net/index.do?menuCd=DOM_000000203013000000,129.017462,35.103478,2020-09-22
충렬사,부산광역시 동래구 충렬대로 345,문화관광해설사,051-523-4223,충렬사관리사업소,https://www.visitbusan.net/index.do?menuCd=DOM_000000203013000000,129.096114,35.19962,2020-09-22
태종대,부산광역시 영도구 전망로 24,문화관광해설사,051-405-8745,부산시설공단,https://www.visitbusan.net/index.do?menuCd=DOM_000000203013000000,129.079841,35.059761,2020-09-22
UN평화기념관,부산광역시 남구 홍곡로320번길 106,문화관광해설사,051-901-1400,유엔평화기념관,https://www.visitbusan.net/index.do?menuCd=DOM_000000203013000000,129.093291,35.124811,2020-09-22
낙동강 생태탐방선,부산광역시 북구 강변대로 1629,문화관광해설사,051-294-2135,낙동강관리본부,https://www.visitbusan.net/index.do?menuCd=DOM_000000203013000000,129.003465,35.218685,2020-09-22
누리마루 APEC하우스,부산광역시 해운대구 동백로 116,문화관광해설사,051-743-1974,누리마루 APEC하우스,https://www.visitbusan.net/index.do?menuCd=DOM_000000203013000000,129.151324,35.152562,2020-09-22
