항목명,문화재명,소재지,관리주체,지정번호,지정일자,구군명,데이터기준일자,위도,경도
국가지정 문화재,낙동강하류철새도래지,부산광역시 강서구 낙동강하류일대,부산광역시 강서구청,천연기념물(국가지정)제179호,1966-07-13,부산광역시 강서구,2020-09-01,35.123208,128.951142
국가지정 문화재,불설장수멸죄호제동자다라니경,부산광역시 강서구 녹산동 35-1,수능엄사,보물 제1092호,1991-09-30,부산광역시 강서구,2020-09-01,35.120195,128.895871
부산광역시지정 문화재,범방동 삼층석탑,부산광역시 강서구 미음동 1530-2,부산광역시 강서구청,부산광역시지정유형문화재제23호,1989-03-10,부산광역시 강서구,2020-09-01,35.1337548,128.8848
부산광역시지정 문화재,가덕도 등대,부산광역시 강서구 대항동 산13-2,해양수산부,부산광역시지정유형문화재 제50호,2003-09-16,부산광역시 강서구,2020-09-01,35.0102001,128.826428
부산광역시지정 문화재,용적사 신중도,부산광역시 강서구 생곡동 159-1,용적사,부산광역시지정유형문화재 165호,2015-11-18,부산광역시 강서구,2020-09-01,35.1319346,128.884209
부산광역시 유형문화재,목조각장,부산광역시 강서구 대저2동 5979-2,무형문화재,부산광역시지정무형문화재 제20호,2013-05-08,부산광역시 강서구,2020-09-01,35.1361051,128.921089
부산광역시지정 문화재,천성진성,부산광역시 강서구 천성동 1613,부산광역시 강서구청,부산광역시지정기념물 제34호,1989-03-19,부산광역시 강서구,2020-09-01,35.0296156,128.818401
부산광역시지정 문화재,가덕도 척화비,부산광역시 강서구 성북동 344,부산광역시 강서구청,부산광역시지정기념물 제35호,1993-02-01,부산광역시 강서구,2020-09-01,35.052367,128.831278
부산광역시지정 문화재,가덕도 동백군락,부산광역시 강서구 대항동 산13-2,부산광역시 강서구청,부산광역시지정기념물 제36호,1993-02-01,부산광역시 강서구,2020-09-01,35.0102001,128.826428
부산광역시지정 문화재,생곡동 가달고분군,부산광역시 강서구 생곡동 산93-1,부산광역시 강서구청,부산광역시지정기념물 제43호,1996-05-25,부산광역시 강서구,2020-09-01,35.1360919,128.875891
부산광역시지정 문화재,범방동 패총,부산광역시 강서구 범방동 1833,부산광역시 강서구청,부산광역시지정기념물 제44호,1996-05-25,부산광역시 강서구,2020-09-01,35.1547601,128.881992
부산광역시지정 문화재,김해죽도왜성,부산광역시 강서구 죽림동 787,부산광역시 강서구청,부산광역시지정기념물 제47호,1997-04-17,부산광역시 강서구,2020-09-01,36.6162272,127.452388
부산광역시지정 문화재,망산도·유주암,부산광역시 강서구 송정동 산188,부산광역시 강서구청,부산광역시지정기념물 제57호,2008-04-02,부산광역시 강서구,2020-09-01,35.096768,128.820693
부산광역시지정 문화재,청량사 영산회상도,부산광역시 강서구 명지동 445,청량사,부산광역시지정문화재자료 제34호,2005-12-27,부산광역시 강서구,2020-09-01,35.1174038,128.918917
부산광역시지정 문화재,용적사 독성도,부산광역시 강서구 생곡동 159-1,용적사,부산광역시지정문화재자료 제59호,2012-05-17,부산광역시 강서구,2020-09-01,35.1319346,128.884209
부산광역시지정 문화재,용적사 산신도,부산광역시 강서구 생곡동 159-1,용적사,부산광역시지정문화재자료 89호,2015-11-18,부산광역시 강서구,2020-09-01,35.1319346,128.884209
