광역자치단체,기초단치단체,상호,업태,소재지,매장면적(㎡),판매면적,용역제공면적,실제 영업개시일,비고
부산,중구,롯데백화점 광복점,백화점,부산시 중구 중앙대로 2(중앙동7가),104322,61916,42406,2009-12-17,
부산,동구,현대백화점,백화점,부산시 동구 범일로 125(범일동),58892,57877,1015,1995-08-24,
부산,부산진구,롯데백화점부산점,백화점,부산시 부산진구 가야대로 772(부전동),101059,86240,14819,1995-12-08,
부산,동래구,롯데백화점 동래점,백화점,부산시 동래구 중앙대로 1393(온천동),29893,29893,,2001-09-17,
부산,해운대구,이랜드리테일해운대점(NC백화점),백화점,부산시 해운대구 해운대로 813 (좌동),30009,24157,5852,2006-01-23,
부산,해운대구,롯데백화점 센텀시티점,백화점,부산시 해운대구 센텀남대로 59 (우동),33739,33739,,2007-10-31,
부산,해운대구,신세계백화점 센텀시티점,백화점,부산시 해운대구 센텀남대로 35 (우동),139892,135626,4266,2009-02-28,
부산,중구,농협하나로클럽 자갈치점,대형마트,부산시 중구 구덕로 73 (남포동6가),2716,2716,,2011-11-25,
부산,영도구,홈플러스 영도점,대형마트,부산시 영도구 대교로14번길 57,5340,4860,481,2005-02-22,
부산,부산진구,홈플러스 서면점,대형마트,부산시 부산진구 동천로 4 (전포동),11036,11036,,1999-07-06,
부산,부산진구,홈플러스 가야점,대형마트,부산시 부산진구 가야대로 506(가야동),10063,9624,439,2002-08-21,
부산,부산진구,이마트 트레이더스서면점,대형마트,부산시 부산진구 시민공원로 31(부암동),11499,11499,,2005-04-27,
부산,부산진구,농협하나로클럽 부전점,대형마트,부산시 부산진구 중앙대로 783번길 14 (부전동),4374,4374,,2006-04-28,
부산,부산진구,롯데키즈마트 부산점,대형마트,부산시 부산진구 신천대로 241(부암동),15674,13255,2419,2011-04-28,
부산,동래구,메가마트 동래점,대형마트,부산시 동래구 충렬대로 197(명륜동),13191,12198,993,1995-08-09,
부산,동래구,홈플러스 동래점,대형마트,부산시 동래구 중앙대로 1523(온천동),13895,13895,,2006-10-13,
부산,동래구,롯데마트 동래점,대형마트,부산시 동래구 중앙대로 1393(온천동),11436,11183,253,2008-05-29,
부산,남구,이마트 문현점,대형마트,부산시 남구 전포대로91번길 47(문현동),12660,10612,2048,2005-07-24,
부산,남구,홈플러스 부산감만점,대형마트,부산시 남구 우암로 124(감만동),9881,8350,1531,2006-07-20,
부산,북구,롯데마트 화명점,대형마트,부산시 북구 화명대로47(화명동),8760,8760,,2001-03-29,
부산,북구,농협하나로클럽 부산점,대형마트,부산시 북구 금곡대로469(금곡동),9790,9790,,2004-05-21,
부산,해운대구,이마트 해운대점,대형마트,부산시 해운대구 좌동순환로 511 (중동),11193,11193,,2000-03-08,
부산,해운대구,홈플러스 해운대점,대형마트,부산시 해운대구 해운대해변로 140 (우동),18064,18064,,2000-07-26,
부산,해운대구,홈플러스 센텀시티점,대형마트,부산시 해운대구 센텀동로 6 (우동),17827,17827,,2002-04-12,
부산,해운대구,홈플러스 부산반여점,대형마트,부산시 해운대구 선수촌로21번길 37 (반여동),10227,6829,3448,2012-03-16,
부산,사하구,탑마트 신평점,대형마트,부산시 사하구 하신중앙로 210(신평동),3793,3639,154,2000-01-25,
부산,사하구,롯데마트 사하점,대형마트,부산시 사하구 을숙도대로 610(장림동),9547,7659,1888,2000-09-26,
부산,사하구,홈플러스 장림점,대형마트,부산시 사하구 다대로 225(장림동),7485,5697,1788,2006-12-27,
부산,금정구,이마트 금정점,대형마트,부산시 금정구 중앙대로1841번길24(구서동),14644,14644,,2003-06-18,
부산,연제구,이마트 연제점,대형마트,부산시 연제구 연수로 89(연산동),13800,12415,1385,2002-03-12,
부산,연제구,홈플러스 아시아드점,대형마트,부산시 연제구 종합운동장로 7(거제동),32040,19240,12800,2003-04-03,
부산,연제구,홈플러스 연산점,대형마트,부산시 연제구 반송로 88(연산동),20510,19779,731,2012-02-17,
부산,연제구,트레이더스 연산점,대형마트,부산시 연제구 좌수영로 241(연산동),16285,10434,5851,2021-02-08,
부산,수영구,메가마트 남천점,대형마트,부산시 수영구 황령대로 521(남천동),19000,12317,6683,2002-07-26,
부산,수영구,코스트코홀세일 부산점,대형마트,부산시 수영구 구락로 137(망미동),11001,11001,,2009-07-08,
부산,사상구,홈플러스 서부산점,대형마트,부산시 사상구 광장로 7(괘법동),10311,10146,165,1999-01-08,
부산,사상구,이마트 사상점,대형마트,부산시 사상구 광장로 17(괘법동),17652,17192,460,2005-04-06,
부산,사상구,롯데마트 사상점,대형마트,부산시 사상구 낙동대로 733(엄궁동),14645,14468,177,2006-05-16,
부산,기장군,메가마트 기장점,대형마트,부산시 기장군 일광면 기장대로 673(삼성리),7372,6620,752,2010-06-15,
부산,기장군,홈플러스 부산정관점,대형마트,부산시 기장군 정관면 정관5로 50(매학리),7557,5868,1689,2010-12-30,
부산,중구,롯데전문점 광복점,전문점,부산시 중구 중앙대로 2(중앙동7가),3331,3200,131,2014-08-28,
부산,부산진구,서면전자랜드,전문점,부산시 부산진구 서전로 2(부전동) ,3563,3563,,1995-06-07,
부산,남구,다보네가구,전문점,부산시 남구 이기대공원로 450(용호동),3669,3579,90,2015-02-14,
부산,강서구,부산T-plex산업용품단지,전문점,부산시 강서구 유통단지1로 41(대저2동),97127,52030,45097,2013-04-30,
부산,강서구,BMCO,전문점,부산시 강서구 유통단지1로 76(대저2동),53531,53009,522,2013-12-31,
부산,강서구,부산 자동차부품 유통단지,전문점,부산시 강서구 유통단지1로57번길34(대저2동),68225,19650,48576,2014-12-01,
부산,기장군,부산프리미엄아울렛,전문점,부산시 기장군 장안읍 정관로 1133(좌천리),32083,32083,,2013-08-16,
부산,기장군,힐탑 프리미엄 아울렛,전문점,부산시 기장군 장안읍 정관로 1142(좌천리),9474,8616,858,2015-12-11,
부산,기장군,이케아동부산점,전문점,부산시 기장군 기장읍 당사리 52-2,22654,20145,2508,2019-12-31,
부산,부산진구,누리엔,쇼핑센터,부산시 부산진구 자유평화 11(범천동),15286,15286,,1998-12-15,
부산,부산진구,NC서면점,쇼핑센터,부산시 부산진구 동천로 92(전포동),33480,31044,2436,2000-09-01,
부산,동래구,에스케이허브스카이위아,쇼핑센터,부산시 동래구 중앙대로 1523(온천동),15651,15651,,2007-04-17,
부산,남구,W 스퀘어,쇼핑센터,부산시 남구 용호동 954번지(용호동),41762,40638,1124,2018-03-01,
부산,남구,IFC부산 오슬로파크,쇼핑센터,부산시 남구 전포대로 133(문현동),24081,11770,12311,2019-06-30,
부산,북구,덕천지하상가 태아쇼핑,쇼핑센터,부산시 북구 만덕대로 지하 39(덕천동),4786, - ,4786,2008-08-29,
부산,북구,뉴코아 덕천점,쇼핑센터,부산시 북구 만덕대로 23(덕천동),7654,5149,2504,2010-05-04,
부산,해운대구,화목데파트상가,쇼핑센터,부산시 해운대구 대천로 187 (좌동),4159,4159,,1998-08-03,
부산,해운대구,세이브존리베라,쇼핑센터,부산시 해운대구 구남로29번길 21 (중동),16491,16491,,2003-03-08,
부산,사하구,뉴코아 아울렛 괴정점,쇼핑센터,부산시 사하구 사하로 190(괴정동),8342,8281,61,2006-04-19,
부산,사하구,세정아울렛부산점,쇼핑센터,부산시 사하구 다대로 207(장림점),5484,5484,,2006-09-05,
부산,금정구,NC부산대점,쇼핑센터,부산시 금정구 부산대학로63번길2(장전동),14680,14680,,2009-07-24,
부산,강서구,스타필드 시티 명지점,쇼핑센터,부산시 강서구 명지동 3438,30550,25394,5156,2019-10-31,
부산,연제구,한양프라자 부산점,쇼핑센터,부산시 연제구 명륜로 3(거제동),6298,6093,205,1988-11-19,
부산,기장군,오시리아테마파크 판매시설,쇼핑센터,부산시 기장군 기장군 시랑리 산46번지 일원,18431,12862,5570,2021-07-31,예정
부산,부산진구,피에스타,복합쇼핑몰,부산시 부산진구 중앙대로672(부전동),33576,18409,15167,2011-02-24,
부산,사하구,아트몰링 부산점,복합쇼핑몰,부산시 사하구 낙동남로 1413(하단동),23810,13555,10255,2017-03-03,
부산,사상구,고려쇼핑센터,복합쇼핑몰,부산시 사상구 사상로 201(괘법동),9331,8952,380,1985-03-29,
부산,기장군,롯데몰 동부산점,복합쇼핑몰,부산시 기장군 기장읍 기장해안로 147(당사리),81233,81233,,2014-12-23,
부산,서구,경동타워 쇼핑,그밖의 대규모점포,부산시 서구 보수대로 27(토성동1가),5025,3675,1350,2018-01-12,
부산,부산진구,국제상가,그밖의 대규모점포,부산시 부산진구 백양관문로 104-1(당감동),3169,1264,1905,1995-07-13,
부산,부산진구,화승아파트상가,그밖의 대규모점포,부산시 부산진구 당감로 79(부암동),5599,3127,2172,1997-04-02,
부산,부산진구,서면지하도상가 중앙,그밖의 대규모점포,부산시 부산진구 가야대로 지하 777(부전동),4395,3375,1020,1997-12-10,
부산,부산진구,양정현대프라자,그밖의 대규모점포,부산시 부산진구 동평로 352(양정동),14969,10154,4815,1997-12-15,
부산,부산진구,(주)네오스포,그밖의 대규모점포,부산시 부산진구 신천대로 122(부전동),65648,65648,,2000-02-04,
부산,부산진구,지오플레이스,그밖의 대규모점포,부산시 부산진구 동천로 4(전포동),25578,25578,,2000-03-15,
부산,부산진구,금호그랜드,그밖의 대규모점포,부산시 부산진구 가야대로 635-12(당감동),3541,1447,2093,2001-07-27,
부산,부산진구,쥬디스태화,그밖의 대규모점포,부산시 부산진구 중앙대로 694(부전동),22042,20174,1868,2003-06-07,
부산,부산진구,롯데쇼핑(주) 센트럴스퀘어점,그밖의 대규모점포,부산시 부산진구 중앙대로 666번길 50(부전동),22124,8144,13980,2011-08-26,
부산,동래구,럭키동래쇼핑,그밖의 대규모점포,부산시 동래구 충렬대로107번길 54(온천동),4162,4162,,1985-12-02,
부산,동래구,보림프라자,그밖의 대규모점포,부산시 동래구 안남로 23(낙민동),3696,3696,,1997-05-26,
부산,동래구,부산컴퓨터도매상가,그밖의 대규모점포,부산시 동래구 온천장로 20(온천동),3598,2757,842,2005-05-11,
부산,남구,㈜에센트리 파티몰,그밖의 대규모점포,부산시 남구 수영로 305(대연동),10561,6593,3968,2007-09-13,
부산,남구,비아이에프씨몰,그밖의 대규모점포,부산시 남구 문현금융로 40(문현동),9642,5660,3982,2014-09-01,
부산,해운대구,해운대로데오아울렛,그밖의 대규모점포,부산시 해운대구 좌동순환로 473 (중동),4539,4539,,2002-06-14,
부산,해운대구,신세계SSG마린시티점,그밖의 대규모점포,부산시 해운대구 마리시티2로 38 (우동),3088,2582,506,2011-12-22,
부산,해운대구,제니스스퀘어,그밖의 대규모점포,부산시 해운대구 마리시티2로 33 (우동),17471,17471,,2012-03-21,
부산,해운대구,해운대상설할인타운,그밖의 대규모점포,부산시 해운대구 좌동순환로 473 (중동),11992,11992,,2012-04-17,
부산,해운대구,엘시티 더 몰,그밖의 대규모점포,부산시 해운대구 달맞이길 30(중동),28555,20119,8436,2021-03-22,
부산,사하구,자유종합상가,그밖의 대규모점포,부산시 사하구 낙동대로 261(괴정동),1809,1207,602,1983-11-09,
부산,사하구,장림현대종합상가,그밖의 대규모점포,부산시 사하구 다대로 305(장림동),3782,3366,416,1989-12-15,
부산,사하구,맘모스프라자,그밖의 대규모점포,부산시 사하구 다대로 473(다대동 현대아파트),11377,7935,3442,1993-11-20,
부산,사하구,다대자유아파트상가,그밖의 대규모점포,부산시 사하구 다대로 617(다대동 자유아파트),2684,1827,857,1995-03-27,
부산,사하구,수협다대회센터,그밖의 대규모점포,부산시 사하구 다대동로 30(다대동),6689,6689,,2006-09-28,
부산,사하구,괴정시장 종합상가,그밖의 대규모점포,부산시 사하구 낙동대로 203(괴정동),6807,6807,,2012-07-01,
부산,금정구,동산오차드힐 상가,그밖의 대규모점포,부산시 금정구 청룡예전로17(청룡동),3197,1291,1906,,
부산,금정구,남산(농수산)시장,그밖의 대규모점포,부산시 금정구 금강로700(남산동),4477,2931,1546,,
부산,사상구,마트월드,그밖의 대규모점포,부산시 사상구 낙동대로 910(감전동),25322,17710,7612,1997-09-05,
부산,기장군,판타지오스퀘어,그밖의 대규모점포,부산시 기장군 기장읍 기장해안로98(시랑리),12916,10638,2278,2016-07-01,
부산,기장군,탑스퀘어,그밖의 대규모점포,부산시 기장군 정관읍 정관중앙로 45(매학리),35300,10545,24755,2018-04-07,
