종류,종별,지정번호,지정일자,문화재명,소재지,관리주체
국가지정문화재,국가사적,제192호,1970-04-25,부산동래 패총(釜山 東萊 貝塚),부산광역시 동래구 온천천로319번길60 (낙민동),관
국가지정문화재,국가사적,제273호,1981-06-09,부산복천동고분군(釜山 福泉洞 古墳群),부산광역시 동래구 복천로 66 (복천동),관
국가지정문화재,중요무형문화재,제18호,1967-12-21,동래야류(東萊野遊),"부산광역시 동래구 우장춘로 195-46 (온천동,부산민속예술보존협회)",관
국가지정문화재,중요무형문화재,제45호,1971-03-16,대금산조,"부산광역시 동래구 금강로153번길 70 (온천동, 강백천류대금산조보존회)",관
시지정문화재,유형문화재,제1호,1972-06-26,동래부 동헌 충신당(東萊府 東軒 忠信堂),부산광역시 동래구 명륜로112번길 61 (수안동),관
시지정문화재,유형문화재,제4호,1972-06-26,망미루(望美樓),부산광역시 동래구 명륜로112번길 61 (수안동),관
시지정문화재,유형문화재,제5호,1972-06-26,동래부 동헌 외대문(東萊府 東軒 外大門),부산광역시 동래구 명륜로112번길 61 (수안동),관
시지정문화재,유형문화재,제6호,1972-06-26,동래향교 대성전(東萊鄕校 大成殿),부산광역시 동래구 동래로 103 (명륜동),관
시지정문화재,유형문화재,제7호,1972-06-26,충렬사(忠烈祠),부산광역시 동래구 충렬대로345 (안락동),관
시지정문화재,유형문화재,제8호,1972-06-26,동래 장관청(東萊 將官廳),부산광역시 동래구 명륜로94번길 36-6 (수안동),관
시지정문화재,유형문화재,제21호,1973-06-08,군관청(軍官廳),"부산광역시 동래구 충렬대로345 (안락동, 충렬사 경내)",관
시지정문화재,유형문화재,제97호,2008-12-16,원광사 영산회상도(圓光寺 靈山會上圖),부산광역시 동래구 쇠미로 3-22 (사직동),관
시지정문화재,유형문화재,제115호,2012-10-30,금정사 목조아미타여래좌상및 복장유물(金井寺 木造阿彌陀如來坐像및服藏遺物),"부산광역시 동래구 우장춘로157-59 (온천동, 금강공원 내 금정사)",관
시지정문화재,유형문화재,제128호,2013-05-08,동래향교 명륜당(東萊鄕校 明倫堂),부산광역시 동래구 동래로 103 (명륜동),관
시지정문화재,유형문화재,제151호,2015-01-28,자비암 육경합부(慈悲庵 六經合部),부산광역시 동래구 복천로5번가길 46 (복천동),관
시지정문화재,유형문화재,제152호,2015-01-28,자비암 선림보훈(慈悲庵 禪林寶訓),부산광역시 동래구 복천로5번가길 46 (복천동),관
시지정문화재,유형문화재,제162호,2015-08-19,동래무청선생안(東萊武廳先生案),부산광역시 동래구 충렬대로 204 (안락동),관
시지정문화재,유형문화재,제163호,2015-08-19,경상좌수영선생안(慶尙左水營先生案),"부산광역시 동래구 충렬대로 345 (안락동, 충렬사)",관
시지정문화재,유형문화재,제164호,2015-08-19,다대진선생안(多大鎭先生案),"부산광역시 동래구 충렬대로 345 (안락동, 충렬사)",관
시지정문화재,유형문화재,제193호,2018-12-05,칠보사 목조아미타여래좌상(七寶寺 木造阿彌陀如來坐像),"부산광역시 동래구 동래로215번가길 22-13 (안락동, 전등사)",관
시지정문화재,무형문화재,제3호,1972-09-19,동래학춤(東萊鶴舞),"부산광역시 동래구 우장춘로195-46 (온천동, 부산민속예술보존협회)",관
시지정문화재,무형문화재,제4호,1977-11-13,동래지신밟기(東萊地神-),"부산광역시 동래구 우장춘로195-46 (온천동, 부산민속예술보존협회)",관
시지정문화재,무형문화재,제5호,1979-02-02,충렬사제향(忠烈祠祭享),"부산광역시 동래구 충렬대로 345 (안락동, 충렬사안락서원)",관
시지정문화재,무형문화재,제8호,1989-07-06,가야금산조(伽倻琴散調),부산광역시 동래구 금강로151번길 24-6 (온천동),관
