문화재명,소재지,관리주체,지정번호,지정일자,시대,종별,담당자전화번호,데이터기준일자,위도,경도
심지백 개국원종공신녹권,부산광역시 서구 부민동2가 1,동아대학교,제69호,1962-12-20,1397년,국보,051-200-8493,2021-04-19,35.10373802,129.0194103
동궐도,부산광역시 서구 부민동2가 1,동아대학교,제249-2호,1995-06-23,조선시대,국보,051-200-8493,2021-04-19,35.10373802,129.0194103
감지은니묘법연화경 권3,부산광역시 서구 부민동2가 1,동아대학교,제269-3호,2007-10-24,1422년,보물,051-200-8493,2021-04-19,35.10373802,129.0194103
안중근의사유묵-견리사의견위수명,부산광역시 서구 부민동2가 1,동아대학교,제569-6호,1972-08-16,1910년,보물,051-200-8493,2021-04-19,35.10373802,129.0194103
자수 초충도 병풍,부산광역시 서구 부민동2가 1,동아대학교,제595호,1975-05-16,조선시대,보물,051-200-8493,2021-04-19,35.10373802,129.0194103
토기 융기문 발,부산광역시 서구 부민동2가 1,동아대학교,제597호,1975-05-16,신석기시대,보물,051-200-8493,2021-04-19,35.10373802,129.0194103
도기 말머리장식 뿔잔,부산광역시 서구 부민동2가 1,동아대학교,제598호,1975-05-16,삼국시대,보물,051-200-8493,2021-04-19,35.10373802,129.0194103
쌍자총통,부산광역시 서구 부민동2가 1,동아대학교,제599호,1975-08-04,1583년,보물,051-200-8493,2021-04-19,35.10373802,129.0194103
의령보리사지 금동여래입상,부산광역시 서구 부민동2가 1,동아대학교,제731호,1982-03-04,통일신라,보물,051-200-8493,2021-04-19,35.10373802,129.0194103
조대비 사순칭경진하도 병풍,부산광역시 서구 부민동2가 1,동아대학교,제732호,1982-03-04,1847년,보물,051-200-8493,2021-04-19,35.10373802,129.0194103
헌종가례진하도 병풍,부산광역시 서구 부민동2가 1,동아대학교,제733-1호,1982-03-04,1844년,보물,051-200-8493,2021-04-19,35.10373802,129.0194103
지자총통,부산광역시 서구 부민동2가 1,동아대학교,제863호,1986-03-14,1557년,보물,051-200-8493,2021-04-19,35.10373802,129.0194103
영산회상도,부산광역시 서구 부민동2가 1,동아대학교,제1522호,2007-07-13,1565년,보물,051-200-8493,2021-04-19,35.10373802,129.0194103
황리현명 청동북,부산광역시 서구 부민동2가 1,동아대학교,제1810호,2013-11-13,1085년,보물,051-200-8493,2021-04-19,35.10373802,129.0194103
양산금조총 출토 유물,부산광역시 서구 부민동2가 1,동아대학교,제1921호,2016-11-16,삼국시대,보물,051-200-8493,2021-04-19,35.10373802,129.0194103
김윤겸 펄 영남기행화첩,부산광역시 서구 부민동2가 1,동아대학교,제1929호,2017-03-08,1770년,보물,051-200-8493,2021-04-19,35.10373802,129.0194103
재조본 사분율 권47~50,부산광역시 서구 아미동2가 233-73,대성사,제1943호,2017-08-31,1244년,보물,051-256-3174,2021-04-19,35.09833494,129.0112486
임시수도 대통령관저,부산광역시 서구 부민동3가 22,임시수도기념관,제546호,2018-11-06,1926년,사적,051-244-6345,2021-04-19,35.10375325,129.0176007
전 순정효황후 주칠 나전가구,부산광역시 서구 부민동2가 1,동아대학교,제277호,2013-08-22,1930년대,국가민속문화재,051-200-8493,2021-04-19,35.10373802,129.0194103
부산 임시수도정부청사,부산광역시 서구 부민동2가 1,동아대학교,제41호,2002-09-13,1925년,등록문화재,051-200-8493,2021-04-19,35.10373802,129.0194103
부산 구 경남상업고등학교 본관,부산광역시 서구 서대신동3가 521,부경고등학교,제328호,2007-07-03,1927년,등록문화재,051-600-8554,2021-04-19,35.11577794,129.0133074
부산 구 남선전기 사옥,부산광역시 서구 토성동1가 23-1,한국전력,제329호,2007-07-03,1932년,등록문화재,051-240-3216,2021-04-19,35.09938809,129.0232278
광복군가집 제1집,부산광역시 서구 부민동3가 8-328,개인,제474호,2011-08-24,1943년,등록문화재,,2021-04-19,35.10284598,129.0161525
부산 전차(釜山 電車),부산광역시 서구 부민동2가 1,동아대학교,제494호,2012-04-18,1927년,등록문화재,051-200-8493,2021-04-19,35.10373802,129.0194103
부산 경남고등학교 덕형관,부산광역시 서구 동대신동3가 1-28,경남고등학교,제568호,2013-10-29,1956년,등록문화재,051-250-5105,2021-04-19,35.12020133,129.0200435
삼층석탑(三層石塔),부산광역시 서구 부민동2가 1,동아대학교,제10호,1972-06-26,고려말~조선초,시지정유형문화재,051-200-8493,2021-04-19,35.10373802,129.0194103
내원정사 진언집,부산광역시 서구 서대신동3가 1번지 등,내원정사,제42호,2000-12-21,1658년,시지정유형문화재,051-242-0691,2021-04-19,35.12769433,129.0122483
내원정사 조상경,부산광역시 서구 서대신동3가 1번지 등,내원정사,제43호,2000-12-21,1720년,시지정유형문화재,051-242-0691,2021-04-19,35.12769433,129.0122483
내원정사 염불보권문,부산광역시 서구 서대신동3가 1번지 등,내원정사,제44호,2000-12-21,1765년,시지정유형문화재,051-242-0691,2021-04-19,35.12769433,129.0122483
내원정사 묘법연화경,부산광역시 서구 서대신동3가 1번지 등,내원정사,제45호,2000-12-21,1632년,시지정유형문화재,051-242-0691,2021-04-19,35.12769433,129.0122483
내원정사 목조관음보살좌상,부산광역시 서구 서대신동3가 1번지 등,내원정사,제47호,2001-10-25,1649년,시지정유형문화재,051-242-0691,2021-04-19,35.12769433,129.0122483
기영각 시첩(耆英閣 詩帖),부산광역시 서구 부민동2가 1,동아대학교,제57호,2004-10-04,1730년,시지정유형문화재,051-200-8493,2021-04-19,35.10373802,129.0194103
금강전도 12첩 병풍,부산광역시 서구 부민동2가 1,동아대학교,제58호,2004-10-04,1763년,시지정유형문화재,051-200-8493,2021-04-19,35.10373802,129.0194103
동래 고지도,부산광역시 서구 부민동2가 1,동아대학교,제59호,2004-10-04,조선후기,시지정유형문화재,051-200-8493,2021-04-19,35.10373802,129.0194103
대원군 초상화,부산광역시 서구 부민동2가 1,동아대학교,제60호,2004-10-04,조선후기,시지정유형문화재,051-200-8493,2021-04-19,35.10373802,129.0194103
대방광불화엄경 권40,부산광역시 서구 부민동2가 1,동아대학교,제64호,2006-07-03,조선후기,시지정유형문화재,051-200-8493,2021-04-19,35.10373802,129.0194103
남지기로회도,부산광역시 서구 부민동2가 1,동아대학교,제75호,2007-09-07,1728년,시지정유형문화재,051-200-8493,2021-04-19,35.10373802,129.0194103
대방광불화엄경 권41,부산광역시 서구 부민동2가 1,동아대학교,제83호,2007-09-07,고려후기,시지정유형문화재,051-200-8493,2021-04-19,35.10373802,129.0194103
