"°íÀ¯¹øÈ£","¾ð¾î","»óÈ£¸í","ÁÖ¼Ò","½ÅÁÖ¼Ò","ÀüÈ­¹øÈ£","ÆÑ½º¹øÈ£","À¥»çÀÌÆ®","¿î¿µ½Ã°£","¿î¿µ¿äÀÏ","ÈÞ¹«ÀÏ","±³ÅëÁ¤º¸","ÅÂ±×","Àå¾ÖÀÎÆíÀÇ½Ã¼³"
"252","ko","63½ºÄù¾î","150-763 ¼­¿ï ¿µµîÆ÷±¸ ¿©ÀÇµµµ¿ 60 ","07345 ¼­¿ï ¿µµîÆ÷±¸ 63·Î 50 (¿©ÀÇµµµ¿ 63ÇÑÈ­»ý¸íºôµù) ","1833-7001","","www.63art.co.kr","¸ÅÀÏ 10:00 - 19:00 ¾ÆÄí¾Æ¸®¿ò / ¿¬Áß¹«ÈÞ (¿î¿µ½Ã°£ ¸¶°¨ 30ºÐ Àü ÀÔÀå¸¶°¨) ¸ÅÀÏ 10:00 - 21:00 63¾ÆÆ® / ¿¬Áß¹«ÈÞ (¿î¿µ½Ã°£ ¸¶°¨ 30ºÐ Àü ÀÔÀå¸¶°¨)","¿ù~ÀÏ","¿¬Áß¹«ÈÞ","1È£¼± ´ë¹æ¿ª 6¹ø Ãâ±¸ ¼ÅÆ²¹ö½º Å¾½Â    5È£¼± ¿©ÀÇµµ¿ª 5¹ø Ãâ±¸ ¼ÅÆ²¹ö½º Å¾½Â    5È£¼± ¿©ÀÇ³ª·ç¿ª 4¹ø Ãâ±¸ ¼ÅÆ²¹ö½º Å¾½Â ","¿©ÀÇµµ 63¾ÆÆ® µ¥ÀÌÆ®ÄÚ½º ¾ÆÄí¾Æ¸®¿ò 63ºôµù·¹½ºÅä¶û 63ºôµùÀü¸Á´ë Àü¸Á´ë63ºôµù 63¾ÆÄí¾ÆÇÃ¶ó³Ý 63½ºÄù¾î","¿¤¸®º£ÀÌÅÍÀå¾ÖÀÎ ¾È³»(ÈÙÃ¼¾î ´ë¿© ¹× ±âÅ¸)Àå¾ÖÀÎ Àü¿ë ÁÖÂ÷ÀåÀå¾ÖÀÎÈ­Àå½ÇÁ¢±Ù°¡´É"
"432","en","Bongeunsa Temple","135-870 73 Samseong-dong Gangnam-gu Seoul Korea ","06087 531 Bongeunsa-ro Gangnam-gu Seoul Korea  ","+82-2-3218-4800","+82-2-544-2141","http://www.bongeunsa.org/","","","","* Subway Line 9 Bongeunsa Station Exit 1 * Subway Line 2 Samseong Station Exit 6     * Subway Line 7 Cheongdam Station Exit 2","LanternParadeBuddhismBuddhistTempleTempleStayCoexBongeunsaHistoricSiteGangnam","Accessible Information Centers &amp; Services(Wheelchair rentals etc.)Accessible ParkingAccessible Restrooms"
"296","en","Changdeokgung Palace ","110-360 2-71 Waryong-dong Jongno-gu Seoul ","03072 2-71 Waryong-dong Jongno-gu Seoul ","+82-2-762-8261","+82-2-762-2070","http://www.cdg.go.kr/eng/","Please refer to the website.","","Closed Mondays","* Subway Line 3 Anguk Station Exit 3 (5 mins on foot) * Subway Lines 1/3/5 Jongno 3(sam)-ga Station Exit 6 (10 mins on foot)","AngukStationTaejongWorldCultureChangdeokgungKingSpringFlowersChangdeokNightTourUNESCOGwanghwamunPalace","Accessible Information Centers &amp; Services(Wheelchair rentals etc.)Accessible ParkingAccessible Restrooms"
"298","en","Changgyeonggung Palace","110-360 Waryong-dong Jongno-gu Seoul 2-1","03072 185 Changgyeonggung-ro Jongno-gu Seoul ","+82-2-762-4868","+82-2-762-9514","http://english.cha.go.kr/html/HtmlPage.do?pg=/royal/RoyalPalaces_3.jsp&mn=EN_02_03_04","Please refer to the website.","","Closed Mondays","Subway Line 4 Hyehwa Station Exit 4 (15 mins on foot)","NightTourAngukStationChanggyeonggungHistoricSitePalaceGrandPalacesGardenGwanghwamun","Accessible Information Centers &amp; Services(Wheelchair rentals etc.)Accessible ParkingAccessible Restrooms"
"461","en","Culture Station Seoul 284","100-162 122-28 Bongnae-dong 2(i)-ga Jung-gu Seoul ","04509 1 Tongil-ro Jung-gu Seoul ","+82-2-3407-3500","","http://www.seoul284.org ","Daily 10:00 - 19:00 (Last entry at 18:00) * Last Wednesday of the month 10:00 - 21:00 (Last entry at 20:00)","","Closed Mondays New Year Lunar New Year & Chuseok ","Subway Lines 1 & 4 Seoul Station Exit 2","ArtGalleryMuseumSeoulStationCultureStationSeoul284ExhibitionTrainStationHistoricSiteArtFormerSeoulStation","Accessible Information Centers &amp; Services(Wheelchair rentals etc.)Accessible PathwaysAccessible RestroomsElevators"
"2047","en","Deoksugung Palace","100-120 Jeong-dong Jung-gu Seoul 5-1","100-120 99 Sejong-daero Jung-gu Seoul ","+82-2-771-9951","+82-2-771-9953","http://www.deoksugung.go.kr:8081/","(Temporarily closed due to COVID-19 until further notice) 09:00 - 21:00  (Last admission 1 hour before closing time)","Tue - Sun","Closed Mondays","Subway Line 1 City Hall Station Exit 2  ","historical siteDeoksugung PalaceartInfinite Challengepalace","Accessible Information Centers &amp; Services(Wheelchair rentals etc.)Accessible Restrooms"
"1792","en","Dosan Park","135-120 649-9 Sinsa-dong Gangnam-gu Seoul ","135-120 20 Dosan-daero 45-gil Gangnam-gu Seoul ","+82-2-3423-6245","","","Dosan Memorial Hall * Weekdays 10:00 - 16:00 * Saturdays & Holidays 10:00 - 14:00","","","Subway Line 3 Apgujeong Station Exits 2 & 3  ","ApgujeongStationAhnChangHoMemorialMuseumExhibitionPatriotParkHistoryGangnamDosanPark","Accessible PathwaysAccessible Restrooms"
"1901","en","Gwanghwamun Square","100-101 Jongro-gu Sejong-ro 1-68","100-101 Jongro-gu Sejong-daero 172 ","+82-2-120","","http://plaza.seoul.go.kr/gwanghwamun","","","","* Subway Line 3 Gyeongbokgung Station Exits 6 & 7 * Subway Line 5 Gwanghwamun Station Exits 1/2/8 * Subway Line 1 City Hall Station Exit 3","PalaceGwanghwamunCityCulturePlazaSejongCenterGwanghwamunPlazaYiSunSinGyeongbukgungCheonggyecheon","Accessible PathwaysAccessible Restrooms"
"73","en","Gyeongbokgung Palace","110-820 1-1 Sejongno Jongno-gu Seoul ","03045 161 Sajik-ro Jongno-gu Seoul ","+82-2-3700-3900","+82-2-3700-3909","http://www.royalpalace.go.kr:8080/html/eng_gbg/main/main.jsp","January & February: 09:00 - 17:00 March - May: 09:00 - 18:00 June - August: 09:00 - 18:30  September & October: 09:00 - 18:00 November & December: 09:00 - 17:00 *Last entry one hour before closing*","Daily *Closed Tuesdays*","","Subway Line 3 Gyeongbokgung Station Exit 5 (5 minutes by foot) Subway Line 5 Gwanghwamun Station Exit 2 (10 minutes by foot)","GrandPalacesJoseonGyeongbokgungHanyangMuseumGyeongbokgungStationPalaceNightTour","Accessible Information Centers &amp; Services(Wheelchair rentals etc.)Accessible ParkingAccessible PathwaysAccessible Restrooms"
"2586","en","Jogyesa Temple","110-170 Gyeonji-dong Jongno-gu Seoul 45"," 03144 55 Ujeongguk-ro Jongno-gu Seoul ","+82-2-768-8600","+82-2-720-1391","http://www.jogyesa.kr/user/english/","Opening hours vary depending on what Buddhist ceremonies are taking place and the temple schedule","","","- Anguk Station (subway line 3) exit 6 10 min. away on foot - Gwanghwamun Station (subway line 5) exit 2 15 min. away on foot - Jonggak Station (subway line 1) exit 2 10 min. away on foot","Historic SiteBuddhismJogyesa TempleAnguk StationTempleGwanghwamun StationHistoryReligious SiteJonggak Station","Accessible Pathways"
