"키","분류1","명칭","도로명 주소","전화번호","홈페이지주소","분류2","분류3"
"BE_IW12-0209","맛집","전주중앙회관","서울 중구 명동8나길 19 (충무로1가) ","02-776-3525","","맛집","한식"
"BE_IW12-0210","맛집","전주풍남회관","서울 중구 태평로1가 62-7 광안빌딩 2","02-736-2144","","맛집","한식"
"BE_IW12-0211","맛집","정성본샤브수끼","서울 중구 을지로43길 30 (을지로6가) 미진빌딩","02-2269-5270","","맛집","한식"
"BE_IW12-0212","맛집","정통삼계탕","서울 중구 수표동 35-12","02-2272-6900","","맛집","한식"
"BE_IW12-0213","맛집","제일가든","중구 무교로 17-17(무교동 31)","02-777-1137","http://www.02-777-6661.kti114.net/","맛집","한식"
"BE_IW12-0214","맛집","제일냉면숯불갈비","중구 남대문로1길 42(북창동 18 - 9)","02-756-2166","","맛집","한식"
"BE_IW12-0215","맛집","조마루","서울 중구 수표로 20-1 (충무로3가) ","02-2274-7933","","맛집","한식"
"BE_IW12-0216","맛집","주원산오리","서울 중구 을지로6가 18-59","02-2273-2703","","맛집","한식"
"BE_IW12-0217","맛집","중앙회관","중구 명동8나길 19(충무로1가 24 - 11)","02-776-3525","","맛집","한식"
"BE_IW12-0218","맛집","지이오","서울 중구 봉래동1가 132-9","02-771-5731","","맛집","한식"
"BE_IW12-0219","맛집","지화자장충점","서울 중구 장충단로 59(장충동2가 산14-67) 국립극장 지하1층","02-2269-5834","http://jihwajafood.co.kr","맛집","한식"
"BE_IW12-0220","맛집","진고개","중구 충무로 19-1(충무로3가 30 - 16)","02-2267-0955","","맛집","한식"
"BE_IW12-0221","맛집","진두부집","중구 동호로24길 39(장충동2가 12-4)","02-2275-9345","","맛집","한식"
"BE_IW12-0222","맛집","진미족발","서울 중구 다동길 24-4 (다동) ","02-752-0477","","맛집","한식"
"BE_IW12-0223","맛집","진주회관","서울 중구 세종대로11길 26 (서소문동)","02-753-5388","","맛집","한식"
"BE_IW12-0533","문화재","구 신아일보사 별관(舊新亞日報社別館)","중구 정동길33(정동 1-28)","","","문화재","유형/등록문화재"
"BE_IW12-0534","문화재","구 신아일보사 별관(舊新亞日報社別館)","중구 정동길 33 (정동 1-28)","","","문화재","유형/등록문화재"
"BE_IW12-0535","문화재","남대문로 한국전력 사옥(南大門路韓國電力社屋)","중구 남대문로 92(남대문로2가 5)","","","문화재","유형/등록문화재"
