개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),점포구분명
3000000,2.02E+18,20190917,,1,영업/정상,1,정상영업,,,,,02-430-4200,25198.02,,서울특별시 종로구 낙원동 288번지 낙원상가,서울특별시 종로구 삼일대로 428 낙원상가 506호 (낙원동),3140,낙원상가,2.02E+13,U,40:00.0,그 밖의 대규모점포,198838.913,452214.211,대규모점포
3000000,2.02E+18,20190917,,1,영업/정상,1,정상영업,,,,,02-743-6133,25198.02,,서울특별시 종로구 낙원동 288번지 낙원상가,서울특별시 종로구 삼일대로 428 낙원상가 (낙원동),3140,낙원상가,2.02E+13,I,22:37.0,그 밖의 대규모점포,198838.913,452214.211,대규모점포
3000000,2.00E+18,20030304,,1,영업/정상,1,정상영업,,,,,2267-0291,16128.75,110833,서울특별시 종로구 예지동 6번지 1호,,,광장주식회사,2.01E+13,I,59:59.0,시장,199837.4143,451974.1285,
3030000,2.02E+18,20130219,,1,영업/정상,1,정상영업,,,,,02-2253-8541,143.55,,서울특별시 성동구 성수동1가 656-1208 성수만세주유소,서울특별시 성동구 왕십리로 109 성수만세주유소 (성수동1가),4768,홈플러스익스프레스 뚝섬2점,2.02E+13,U,06:00.0,구분없음,203841.2255,449475.5401,
3000000,2.00E+18,20040430,,1,영업/정상,1,정상영업,,,,,02 3995591,,,서울특별시 종로구 서린동 33호   ,,,영풍문고,2.01E+13,I,59:59.0,대형마트,198351.8187,451921.603,
3000000,2.00E+18,20040630,,1,영업/정상,1,정상영업,,,,,236760177,,,서울특별시 종로구 창신동 436번지 79  호   ,,,동대문신발도매상가,2.01E+13,I,59:59.0,그 밖의 대규모점포,,,
3000000,2.00E+18,20041210,,1,영업/정상,1,정상영업,,,,,222798751,11750,,서울특별시 종로구 종로6가 270번지 3호 동대문종합시장D동상가,서울특별시 종로구 종로 266 동대문종합시장D동상가  동 (종로6가),3198,동대문종합시장D동상가,2.02E+13,U,40:00.0,그 밖의 대규모점포,200579.4098,452035.3477,준대규모점포
3000000,2.01E+18,20050127,,1,영업/정상,1,정상영업,,,,,222785356,,,   호   ,,,종로세운상가,2.01E+13,I,59:59.0,대형마트,,,
3000000,2.01E+18,20110816,,1,영업/정상,1,정상영업,,,,,02-743-8546,273.3,110876,서울특별시 종로구 숭인동 76번지 롯데캐슬천지인 1층,서울특별시 종로구 종로 347 (숭인동),110876,홈플러스(주)익스프레스 숭인점,2.02E+13,U,07:00.0,구분없음,201359.5335,452395.6591,
3000000,2.01E+18,20070907,,1,영업/정상,1,정상영업,,,,,763-0181,3393.77,,서울특별시 종로구 창신동 23번지 76호 브라운스톤 창신,서울특별시 종로구 지봉로 81 (창신동 브라운스톤 창신),3095,브라운스톤 창신상가,2.02E+13,U,40:00.0,그 밖의 대규모점포,201258.0627,452787.1328,준대규모점포
