연번,종목,명칭,소재지,지정일,소재지
1,국보제141호,정문경,서울 동작구,1971-12-21,"동작구 상도로 369, 숭실대학교 부설 한국기독교박물관"
2,국보제231호,전 영암 거푸집 일괄,서울 동작구,1986-03-14,"동작구 상도로 369, 숭실대학교 부설 한국기독교박물관"
3,보물제569-5호,안중근의사유묵-동양대세사묘현유지남아기안면화국미성유강계정략부개진가련,서울 동작구,1972-08-16,동작구 상도로 369 숭실대학교 부설 한국기독교박물관
4,보물제569-8호,안중근의사유묵-인무원려난성대업,서울 동작구,1972-08-16,"동작구 상도로 369, 숭실대학교 부설 한국기독교박물관"
5,보물제569-12호,안중근의사유묵-장부수사심여철의사임위기사운,서울 동작구,1972-08-16,"동작구 상도로 369, 숭실대학교 부설 한국기독교박물관"
6,보물제569-14호,안중근의사유묵-제일강산,서울 동작구,1972-08-16,"동작구 상도로 369, 숭실대학교 부설 한국기독교박물관"
7,보물제883호,지구의,서울 동작구,1986-11-29,"동작구 상도로 369, 숭실대학교 부설 한국기독교박물관"
8,시도유형문화재제6호,용양봉저정,서울 동작구,1972-05-25,동작구 노량진로32길 14-7(본동 10-30)
9,시도유형문화재제8호,사육신묘,서울 동작구,1972-05-25,동작구 노량진로 191(노량진1동 155-1)
10,시도유형문화재제11호,양녕대군 이제 묘역,서울 동작구,1972-08-30,동작구 양녕로 167(상도4동 산65-42)
11,시도유형문화재제54호,창빈 안씨 묘역,서울 동작구,1983-11-11,동작구 현충로 210(동작동 299-10)
12,시도유형문화재제61호,동래 정씨 임당공파 묘역,서울 동작구,1984-11-03,동작구 솔밭로 83(사당5동 산32-83)
13,시도유형문화재제75호,지장사 철불좌상,서울 동작구,1991-05-30,"동작구 현충로 210, 호국지장사"
14,시도유형문화재제94호,효간공 이정영 묘역,서울 동작구,1994-05-10,동작구 사당로16라길 70(사당동 산44-7)
15,시도유형문화재제113호,지장사 괘불도,서울 동작구,1999-05-19,"동작구 현충로 210, 호국지장사"
16,시도유형문화재제114호,지장사 아미타불도,서울 동작구,1999-05-19,"동작구 현충로 210, 호국지장사"
17,시도유형문화재제115호,지장사 극락구품도,서울 동작구,1999-05-19,"동작구 현충로 210, 호국지장사"
18,시도유형문화재제116호,지장사 감로도,서울 동작구,1999-05-19,"동작구 현충로 210, 호국지장사"
19,시도유형문화재제117호,지장사 지장시왕도,서울 동작구,1999-05-19,"동작구 현충로 210, 호국지장사"
20,시도유형문화재제118호,지장사 대웅전 신중도,서울 동작구,1999-05-19,"동작구 현충로 210, 호국지장사"
21,시도유형문화재제119호,지장사 현왕도,서울 동작구,1999-05-19,"동작구 현충로 210, 호국지장사"
22,시도유형문화재제120호,지장사 팔상도,서울 동작구,1999-05-19,"동작구 현충로 210, 호국지장사"
23,시도유형문화재제200호,사자암 지장시왕도,서울 동작구,2005-07-06,"동작구 국사봉1길 235-14, 사자암"
24,시도유형문화재제287호,사자암 신중도,서울 동작구,2009-06-04,"동작구 국사봉1길 235-14, 사자암"
25,시도유형문화재제288호,사자암 영산회괘불도,서울 동작구,2009-06-04,"동작구 국사봉1길 235-14, 사자암"
26,시도유형문화재제289호,사자암 현왕도,서울 동작구,2009-06-04,"동작구 국사봉1길 235-14, 사자암"
27,시도무형문화재제37호,옥장,서울 동작구,2006-08-24,
28,시도무형문화재제44호,삼현육각,서울 동작구,2014-05-15,
29,시도무형문화재제45호,한량무,서울 동작구,2014-05-15,
30,시도기념물제17호,조석견과완성군이귀정묘역,서울 동작구,2001-05-10,동작구 서달로12나길 14(흑석동 54-9)
31,문화재자료제3호,지장사 약사불도,서울 동작구,1999-05-19,"동작구 현충로 210, 호국지장사"
32,문화재자료제4호,지장사 능인보전신중도,서울 동작구,1999-05-19,"동작구 현충로 211, 호국지장사"
33,문화재자료제5호,지장사 칠성도,서울 동작구,1999-05-19,"동작구 현충로 212, 호국지장사"
34,문화재자료제6호,지장사 독성도,서울 동작구,1999-05-19,"동작구 현충로 213, 호국지장사"
35,문화재자료제7호,지장사 산신도,서울 동작구,1999-05-19,"동작구 현충로 214, 호국지장사"
36,문화재자료제29호,부안군이석수묘역,서울 동작구,2005-09-15,동작구 현충로 210(동작동 산41-2)
37,등록문화재제13호,서울공업고등학교 본관,서울 동작구,2002-05-31,동작구 대방동1길 46(대방동 390-5)
38,등록문화재 제484-2호,일제강점기 문자보급교재,서울 동작구,2011-12-15,동작구 현충로 124 조선일보 뉴지엄
39,등록문화재 제675호,찬송가(UNION HYMNAL),서울 동작구,2017-02-15,"동작구 상도로 369, 숭실대학교 부설 한국기독교박물관"
40,등록문화재 제744호,서울 구 공군사관학교 교회,서울 동작구,2019-03-11,동작구 여의대방로20길 33
41,등록문화재 제755호,대한민국 임시정부 환국기념 23인 필묵,서울 동작구,2019-06-05,"동작구 상도로 369, 숭실대학교 부설 한국기독교박물관"
42,등록문화재 제805호,소방 헬기 까치2호,서울 동작구,2021-04-05,동작구 여의대방로 20길 33 보라매안전체험관
