,연번,구분,문화재종류,지정번호,문화재명,수량 ,소재지,소유자(관리자),지정일자,,소장처보관,
,1.0,국가지정,보물,569-9,안중근의사유묵 (安重根義士遺墨),1幅,와우산로 94(상수동),홍익대학교,26527.0,,홍익대학교 박물관,
,2.0,국가지정,보물,745-1,월인석보 권1~2 (月印釋譜 卷一~二),2卷1冊,백범로35(신수동),서강대학교,30443.0,,서강대학교 도서관,
,3.0,국가지정,보물,1624.0,양사언 초서 (楊士彦 草書),1축,백범로35(신수동),서강대학교,40182.0,,서강대학교 박물관,
,4.0,국가지정,사적,399.0,서울 양화나루와 잠두봉 유적 (서울 楊花나루와 蠶頭峰 遺蹟),35,548㎡,토정로 6(합정동),천주교서울대교구유지재단 등,35745.0,,,
,5.0,시지정,기념물,9.0,망원정 터,토지 1,118㎡,동교로8안길23(합정동),마포구,33042.0,,,
,6.0,시지정,민속문화재,17.0,용강동 정구중 가옥 (龍江洞 鄭求中 家屋),건물 4棟 토지 411.7㎡,큰우물로2길22(용강동),개인 소유,28201.0,,,
,7.0,시지정,민속문화재,36.0,당인동 부군당 무신도 (唐人洞 府君當 巫神圖),8점,독막로 12안길 25-18,당인동부군당보존회,42957.0,,,
,8.0,시지정,무형문화재,33.0,행당동아기씨당굿,,도화동 2-6,,38362.0,,,
,9.0,시지정,무형문화재,35.0,밤섬 부군당도당굿,,창전동437-3(창전동),밤섬부군당제 보존위원회,38362.0,,,
,10.0,국가지정,등록문화재,231.0,서울 창전동 공민왕 사당,1棟 (총면적 15.65㎡),독막로21길 13(창전동),기획재정부(마포문화원),38778.0,,,
,11.0,국가지정,등록문화재,413.0,서울 서교동 최규하 가옥,1동(총면적 330.05㎡),동교로15길 10(서교동),서울특별시,39731.0,,,
,12.0,국가지정,등록문화재,528-1,국문정리 (國文正理),1권 (17x24.5cm),백범로 35(신수동),서강대학교,41267.0,,서강대학교 도서관,
,13.0,시지정,유형문화재,382.0,의령남씨가전화첩 (宜寧南氏家傳畵帖),1건 (5점),와우산로 94(상수동),홍익대학교,42467.0,,홍익대학교 박물관,
,14.0,시지정,유형문화재,455.0,주역전의대전,1건,양화로 156,개인 소유,43804.0,,,
,15.0,시지정,유형문화재,458.0,근사록,1건,양화로 156,개인 소유,43804.0,,,
,16.0,시지정,유형문화재,461.0,초사추어,1건,양화로 156,개인 소유,43958.0,,,
