개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,좌표정보(X),좌표정보(Y),점포구분명
3120000,1.97031E+18,1970-08-14,-,1,영업/정상,1,정상영업,-,-,-,-,02-3216-9393,6606,120857,서울특별시 서대문구 홍제3동 294번지 6호,서울특별시 통일로 484 (유진상가),120760,유진상가,194811.7563,454300.7397,대규모점포
3120000,1.98731E+18,1987-10-24,-,1,영업/정상,1,정상영업,-,-,-,-,02-373-7571,1100,-,서울특별시 서대문구 남가좌동 290번지 2   호,서울특별시 서대문구 수색로2길 45 (남가좌동),-,모래내시장(주),192503.1283,452051.2725,-
3120000,1.98731E+18,1987-10-24,-,1,영업/정상,1,정상영업,-,-,-,-,02-373-4914,1850,-,-,서울특별시 서대문구 수색로2길 47 (남가좌동),120805,서중시장,192517.6402,452143.4915,대규모점포
3120000,1.99231E+18,1992-11-19,-,1,영업/정상,1,정상영업,-,-,-,-,02-3145-3154,35471.76,120834,서울특별시 서대문구 창천동 30번지 33호,서울특별시 서대문구 신촌로 83 (창천동),-,현대백화점 신촌점,194265.0676,450433.691,대규모점포
3120000,2.00631E+18,2006-09-19,-,1,영업/정상,1,정상영업,-,-,-,-,02-2124-2148,13436.59,-,서울특별시 서대문구 신촌동 74번지 12  호,서울특별시 서대문구 신촌역로 30 (신촌동),-,신촌 밀리오레,194798.4584,450837.0517,-
3120000,2.00731E+18,2007-08-09,-,1,영업/정상,1,정상영업,-,-,-,-,02-6373-7009,14133.01,120808,서울특별시 서대문구 대현동 145번지,서울특별시 서대문구 이화여대1길 10 (대현동),-,예스에이피엠,195063.8207,450597.8741,-
3120000,2.01131E+18,1999-04-29,-,1,영업/정상,1,정상영업,-,-,-,-,02-834-8900,3305,120110,서울특별시 서대문구 연희동 131번지 1호,서울특별시 서대문구 연희맛로 23 (연희동),-,연희슈퍼마켓,193716.3399,451653.5637,대규모점포
3120000,2.01231E+18,2012-03-26,-,1,영업/정상,1,정상영업,-,-,-,-,02-376-4397,1273.2,-,-,서울특별시 서대문구 응암로 54 (북가좌동),120813,(주)GS리테일 북가좌점,192000.9459,452848.0091,준대규모점포
3120000,2.01331E+18,2013-06-16,-,1,영업/정상,1,정상영업,-,-,-,2007-06-28,02-302-8023,232.7,120130,서울특별시 서대문구 북가좌동 279번지 11호,서울특별시 서대문구 응암로 112 (북가좌동),-,홈플러스(주) 익스프레스 북가좌점,192301.1355,453354.0655,준대규모점포
3120000,2.01831E+18,2012-02-07,-,1,영업/정상,1,정상영업,-,-,-,-,02-739-6780,1573,-,서울특별시 서대문구 홍제동 469번지 인왕산 한신휴플러스,서울특별시 서대문구 통일로 397 지4층 (홍제동 인왕산 한신휴플러스),3730,롯데슈퍼 홍제2점,195281.3955,453657.5348,준대규모점포
3120000,2.01831E+18,2011-07-01,-,1,영업/정상,1,정상영업,-,-,-,-,02-395-3674,2040,-,서울특별시 서대문구 홍제동 294번지 46호 유진상가,서울특별시 서대문구 통일로 484 유진상가 1층 (홍제동),3628,롯데슈퍼 유진점,194850.361,454344.4325,준대규모점포
3120000,2.01831E+18,2018-04-12,-,1,영업/정상,1,정상영업,-,-,-,-,02-2290-5704,0,-,서울특별시 서대문구 홍제동 294번지 46호 유진상가,서울특별시 서대문구 통일로 484 유진상가 (홍제동),3628,롯데슈퍼 유진점,194850.361,454344.4325,준대규모점포
