연번,종목,명칭,지정일,분류,수량/면적
1,국보제107호,백자 철화포도문 항아리,1962-12-20,유물/생활공예/토도자공예/백자,1개
2,국보제202호,대방광불화엄경 진본 권37,1981-03-18,기록유산/전적류/목판본/사찰본,1권1축
3,국보제250호,이원길 개국원종공신녹권,1989-08-01,기록유산/문서류/국왕문서/교령류,1축
4,국보제251호,초조본 대승아비달마잡집론 권14,1989-08-01,기록유산/전적류/목판본/대장도감본,1권 1첩
5,국보제306-3호,삼국유사 권1~2,2018-02-22,기록유산/전적류/목판본,2권 1책
6,국보제326호,청자 ‘순화4년’명 항아리,2019-05-02,유물/생활공예/토도자공예/청자,1개
7,보물제351호,전 양평 보리사지 대경대사탑,1963-01-21,유적건조물/종교신앙/불교/탑,1기
8,보물제352호,감지은니 묘법연화경 권7,1963-01-21,기록유산/전적류/필사본/사경,1책
9,보물제416호,청자 투각고리문 의자,1965-04-01,유물/생활공예/토도자공예/청자,4개
10,보물제550호,주역천견록,1971-08-30,기록유산/전적류/목판본/관판본,3책
11,보물제551호,시용향악보,1971-08-30,기록유산/전적류/목판본/사간본,1책
12,보물제552호,자치통감강목 권19의하,1971-08-30,기록유산/전적류/활자본/금속활자본,1책
13,보물제573호,시천견록 및 서천견록,1973-07-10,기록유산/전적류/목판본/관판본,1책
14,보물제576호,봉업사명 청동북,1973-12-31,유물/불교공예/의식법구/의식법구,1개
15,보물제638호,기사계첩,1978-12-07,유물/일반회화/기록화/계회도,1첩
16,보물제640호,인천안목,1978-12-07,기록유산/전적류/목판본/사간본,3책
17,보물제641호,선종영가집,1978-12-07,기록유산/전적류/목판본/사찰본,1책
18,보물제642호,고구려 평양성 석편,1978-12-07,기록유산/서각류/금석각류/석각류,일괄
19,보물제644호,백자 청화송죽인물문 항아리,1978-12-07,유물/생활공예/토도자공예/백자,1개
20,보물제645호,백자 철화운룡문 항아리,1978-12-07,유물/생활공예/토도자공예/백자,1개
21,보물제710-4호,동인지문사육 권13~15,1981-03-18,기록유산/전적류/목판본/관판본,3권1책
22,보물제736호,정명경집해관중소 권3~4,1982-05-12,기록유산/전적류/목판본/사찰본,2권1책
23,보물제745-4호,"월인석보 권13, 14",1983-05-07,기록유산/전적류/목판본/관판본,2권 2책
24,보물제764호,"대불정여래밀인수증요의제보살만행수능엄경(언해) 권2, 3, 4, 6, 7, 8, 9, 10",1984-05-30,기록유산/전적류/목판본/간경도감본,8권8책
25,보물제766-1호,묘법연화경 권4~7,1984-05-30,기록유산/전적류/목판본/사찰본,4권1책
26,보물제888호,종문원상집,1986-11-29,기록유산/전적류/목판본/사찰본,1책 (48장)
27,보물제889호,영가진각대사증도가,1986-11-29,기록유산/전적류/목판본/사찰본,1권 1책 (22장)
28,보물제890호,주인왕호국반야경 권1~4,1986-11-29,기록유산/전적류/목판본/대장도감본,4권 1책 (권1~4)
29,보물제891호,대방광불화엄경소 권42,1986-11-29,기록유산/전적류/목판본/사찰본,1권 1첩 (20장)
30,보물제892호,"대방광불화엄경소 권28~30, 권100~102",1986-11-29,기록유산/전적류/목판본/사찰본,"6권 2책 (권28∼30, 권100∼102)"
31,보물제893호,대방광원각약소주경 권상,1986-11-29,기록유산/전적류/목판본/사찰본,1권 1책 (71장)
32,보물제894-1호,주범망경,1986-11-29,기록유산/전적류/목판본/사찰본,1책
33,보물제918호,묘법연화경 권7,1987-07-16,기록유산/전적류/목판본/사찰본,1권 1첩
34,보물제919호,범망경 및 금강반야바라밀경,1987-07-16,기록유산/전적류/목판본/사찰본,1책
35,보물제920호,불설대보부모은중경,1987-07-16,기록유산/전적류/목판본/사찰본,1권 1축
36,보물제921호,진실주집,1987-07-16,기록유산/전적류/목판본/간경도감본,3권 1책
37,보물제1010-1호,"묘법연화경(언해) 권1, 3, 4, 5, 6",1989-08-05,기록유산/전적류/목판본/간경도감본,5권 5책
38,보물제1011호,지장보살본원경,1989-08-01,기록유산/전적류/목판본/사찰본,3권 1책
39,보물제1142호,선문삼가염송집 권1,1992-12-11,기록유산/전적류/목판본/간경도감본,1권 1책
40,보물제1143호,상교정본 자비도량참법 권4~6,1992-12-11,기록유산/전적류/목판본/사찰본,3권 1책
41,보물제1147-1호,"묘법연화경 권3~4, 5~7",1993-01-15,기록유산/전적류/목판본/왕실본,5권 2책
42,보물제1217호,신편산학계몽 권중,1995-04-03,기록유산/전적류/활자본/금속활자본,1책
43,보물제1218호,둔촌잡영,1995-04-03,기록유산/전적류/목판본/관판본,2권 1책
44,보물제1219-1호,"대방광원각수다라요의경 권상1의2,하1의1~2의2",1995-04-03,기록유산/전적류/활자본/금속활자본,5권 2책
45,보물제1245호,백범일지1929년(상권)1943년(하권),1997-06-12,기록유산/전적류/필사본/일기류,2권 1책
46,보물제1500호,김이안 초상,2006-12-29,유물/일반회화/인물화/초상화,1점
47,보물제1503호,임장 초상,2006-12-29,유물/일반회화/인물화/초상화,1점
48,보물제1528호,초조본사두간진일태자이십팔수경,2007-10-24,기록유산/전적류/목판본/대장도감본,1권 1축
49,보물제1529호,초조본 잡아비담심론 권9,2007-10-24,기록유산/전적류/목판본/대장도감본,1권 1축
