"구분","종별","지정번호 ","문화재명","위 치","건축연도","규모","지정일자","소유권"
"국가지정문화재","국보","1","서울 숭례문(남대문)","서울특별시 중구 남대문로4가 29","1398","1,318㎡","1962-12-20","국유(문화재청)"
"국가지정문화재","사적","10","서울 한양도성(광희문포함)","서울특별시 중구 돈의문~오간수문(광희동2가 105)","1396","7,210m","1963-01-21","국유,시유 등"
"국가지정문화재","사적","124","덕수궁","서울특별시 중구 정동 5-1 등","조선시대","63,609㎡","1963-01-18","국유(문화재청)"
"국가지정문화재","사적","157","환구단","서울특별시 중구 소공동 87-14","1897","4,278㎡","1967-07-15","한국관광공사"
"국가지정문화재","사적","252","서울 약현성당","서울특별시 중구 중림동 149-2","1892","1,309㎡","1976-11-16","천주교서울대교구유지재단"
"국가지정문화재","사적","253","서울 구 러시아공사관","서울특별시 중구 정동 15-1 등","1890","1,022㎡","1977-11-22","국유(문화재청)"
"국가지정문화재","사적","256","서울 정동교회","서울특별시 중구 정동 34-3","1897","1,133㎡","1977-11-22","기독교대한감리회유지재단"
"국가지정문화재","사적","258","서울 명동성당","서울특별시 중구 명동2가 1-1","1898","1,668㎡","1977-11-22","천주교서울대교구유지재단"
"국가지정문화재","사적","280","서울 한국은행 본관","서울특별시 중구 남대문로3가 110","1912","8,703㎡","1981-09-25","국유(한국은행)"
"국가지정문화재","사적","284","구 서울역사","서울특별시 중구 봉래동2가 122-28","1925","2,964㎡","1981-09-25","국유(문화재청)"
"국가지정문화재","사적","461","서울 청계천 유적(광통교지, 수표교지와 오간수문지)","서울특별시 중구 남대문로1가 108-2 등","조선시대","11,104㎡","1905-03-25","국유,시유 등"
"시지정문화재","유 형","1","장충단비","서울특별시 중구 장충동2가 197","1900","1基(1㎡)","1969-09-18","국유(기획재정부)"
"시지정문화재","유 형","7","성제묘","서울특별시 중구 방산동 4-96","조선시대","1棟(21.4㎡)","1972-05-25","국유"
"시지정문화재","유 형","18","수표교","서울특별시 중구 장충동2가 197-1","조선전기","1基(210.3㎡)","1973-06-18","국유(기획재정부)"
"시지정문화재","유 형","20","경희궁숭정전","서울특별시 중구 장충동2가 192-5","1620","1棟(575.8㎡)","1974-01-15","학교법인동국학교"
"시지정문화재","유 형","35","성공회서울성당","서울특별시 중구 정동 3","1926","1棟(1,586.7㎡)","1978-12-18","대한성공회유지재단"
"시지정문화재","유 형","71","옛제일은행본점","서울특별시 중구 충무로1가 53","1935","1棟(1,246.9㎡)","1989-05-25","(주)한국스탠다드차터드제일은행"
"시지정문화재","유 형","132","미국공사관","서울특별시 중구 정동 10-1","1883","1棟","1901-04-06","북미합중국"
"시지정문화재","기념물","5","손기정월계관기념수","서울특별시 중구 만리동2가 6-1","1936","1株(0.9㎡)","1982-11-13","서울특별시"
"시지정문화재","기념물","14","목멱산봉수대터","서울특별시 중구 예장동 8-1","조선시대","106.4㎡","1993-09-20","국유(문화재청, 산림청)"
"시지정문화재","기념물","16","배재학당동관","서울특별시 중구 정동 34-5","1916","1棟(114.5㎡)","1901-03-15","학교법인배재학당"
"시지정문화재","기념물","19","광통관","서울특별시 중구 남대문로1가 19","1909","1棟(437.2㎡)","1902-03-05","(주)우리은행"
"시지정문화재","기념물","20","구세군중앙회관","서울특별시 중구 정동 1-23","1928","1棟(798.7㎡)","1902-03-05","구세군유지재단"
"시지정문화재","기념물","38","서울광장지하배수로","서울특별시 중구 을지로12 등","대한제국","14,932,71㎡","1914-07-03","서울시,국유(국토교통부)"
"시지정문화재","기념물","39","남대문지하배수로","서울특별시 중구 남대문로2다40-1 일대","대한제국","13,104,31㎡","1914-07-03","서울시,국유(국토교통부)"
"시지정문화재","기념물","41","태평로2가 지하배수로","서울특별시 중구 태평로2가 113-1","대한제국","6992.1㎡","1915-03-19","서울시,국유(국토교통부)"
"시지정문화재","민속뭍화재","5","와룡묘","서울특별시 중구 예장동 산5-6","1934년 중건","3棟(166.6㎡)","1974-01-15","안명환, 국유(산림청)"
"시지정문화재","민속뭍화재","6","관성묘","서울특별시 중구 장충동2가 186-140","조선시대","1棟(31.6㎡)","1974-01-15","관제묘관리위원회"
"시지정문화재","민속뭍화재","8","삼청동오장위김춘영가옥","서울특별시 중구 필동2가 84-1","1890년대","1棟(167.9㎡)","1977-03-17","서울특별시"
"시지정문화재","민속뭍화재","18","관훈동 민씨 가옥",,"1870년대","1棟(422.2㎡)","1977-03-17","서울특별시"
"시지정문화재","민속뭍화재","20","삼각동도편수이승업가옥",,"1860년대","2棟(237.7㎡)","1977-03-17","서울특별시"
"시지정문화재","민속뭍화재","24","제기동해풍부원군윤택영재실",,"1907","2棟(536.3㎡)","1977-09-05","서울특별시"
"시지정문화재","민속뭍화재","32","만리동정영국가","서울특별시 중구 만리동2가 207","1836","4棟(227.3㎡)","1906-05-01","정명균 등 7인"
"시지정문화재","자료","53","원구단 정문","서울특별시 중구 소공동 97-3외 2","1897","1棟(146.8㎡)","1911-07-21","서울특별시"
"등록문화재",,"1","서울 남대문로 한국전력공사 사옥","서울특별시 중구 남대문로2가 5","1928","1棟(5,957.1㎡)","2002-02-28","한국전력공사"
