지정품종1,지정품종2,지정번호,지정명칭,위치(보호구역),소유 / 관리
국가지정,보물,제1289호(1998.12.18),이윤손 유서(李允孫 諭書),중랑구 소재,개인 소유/관리
국가지정,보물,제1306-2호(2019.3.6),묘법연화경(妙法蓮華經),중랑구 소재,사찰 소유/관리
국가지정,사적,제455호(2004.10.27),아차산 일대 보루군(阿且山 一帶 堡壘郡),"용마산 일대 (987,881㎡) [용마산 3~7보루,망우산1보루 등]",서울특별시 관리
국가지정,등록문화재,제691-5호(2017.10.23),망우 독립 유공자 묘역 - 서광조(徐光朝)묘소,면목동 산1-1 (114㎡),서울특별시 관리
국가지정,등록문화재,제691-6호(2017.10.23),망우 독립 유공자 묘역 - 서동일(徐東日)묘소,망우동 산57-3 (35㎡),서울특별시 관리
국가지정,등록문화재,제691-7호(2017.10.23),망우 독립 유공자 묘역 - 오재영(吳哉泳)묘소,망우동 산57-3 (31㎡),서울특별시 관리
서울특별시 지정,기념물,제15호(1993.12.10),아차산 봉수대 터(阿且山 烽燧臺 터),묵동 산46-19 (114.5㎡),서울특별시 소유/중랑구 관리
서울특별시 지정,기념물,제43호(2019.6.7),숙선옹주(선빈)안씨 묘(淑善翁主(善嬪)安氏 墓),"묵동 산37-13 (2,308㎡)","전주이씨 소강공파 종중 소유,관리"
서울특별시 지정,유형 문화재,제95호(1995.1.15),충익공 신경진 묘역,"망우동 산69-1 [용마공원입구] (4,458.2㎡)",평산신씨 전첨공 종중 소유/평산신씨 충장공 종중 관리
서울특별시 지정,유형 문화재,제320호(2011.9.8),법장사 아미타괘불도 및 복장유물(法藏寺 阿彌陀掛佛圖 및 腹藏遺物),중랑구 소재,사찰 소유/관리
서울특별시 지정,유형 문화재,제320-1호(2011.9.8),"법장사 아미타괘불도(총고 422.0, 총폭 208.5, 화고 387.2, 화폭 193.8)",중랑구 소재,사찰 소유/관리
서울특별시 지정,유형 문화재,제320-2호(2011.9.8),복장주머니,중랑구 소재,사찰 소유/관리
서울특별시 지정,유형 문화재,제320-3호(2011.9.8),발 원 문,중랑구 소재,사찰 소유/관리
서울특별시 지정,유형 문화재,제320-4호(2011.9.8),"약초,오곡,오향,광물",중랑구 소재,사찰 소유/관리
서울특별시 지정,유형 문화재,제320-5호(2011.9.8),일체여래전신사리보협진언,중랑구 소재,사찰 소유/관리
서울특별시 지정,유형 문화재,제393호(2016.10.6),수륙무차평등재의촬요(水陸無遮平等齋儀撮要),중랑구 소재,사찰 소유/관리
서울특별시 지정,유형 문화재,제394호(2016.10.6),현수제승법수(賢首諸乘法數),중랑구 소재,사찰 소유/관리
서울특별시 지정,유형 문화재,제422호(2018.2.19),고봉화상선요(高峰和尙禪要),중랑구 소재,사찰 소유/관리
서울특별시 지정,유형 문화재,제434호(2018.12.13),법집별행록절요병입사기(法集別行錄節要幷入私記),중랑구 소재,사찰 소유/관리
서울특별시 지정,유형 문화재,제445호(2019.4.4),묘법연화경(妙法蓮華經),중랑구 소재,사찰 소유/관리
서울특별시 지정,유형 문화재,제452호(2019.8.1),선종영가집(禪宗永嘉集),중랑구 소재,사찰 소유/관리
서울특별시 지정,유형 문화재,제453호(2019.8.1),옥추경(玉樞經),중랑구 소재,사찰 소유/관리
서울특별시 지정,무형 문화재,제34호(2005.1.10),봉화산 도당굿,봉화산 정상 도당,봉화산도당굿보존회
