상호,법인여부,업소전화번호,휴폐업구분,업태,허가일자
커먼그라운드,법인,3677-7281,영업중,그 밖의 대규모점포,2015-04-03
홈플러스익스프레스 구의2점,개인,02-458-8545,영업중,그 밖의 대규모점포,2012-03-29
롯데쇼핑(주)롯데슈퍼 아차산점,법인,02-3437-5601,영업중,그 밖의 대규모점포,2012-03-21
홈플러스(주)익스프레스 중곡점,법인,22018547,영업중,그 밖의 대규모점포,2012-03-06
홈플러스익스프레스 중곡2점,법인,02-3437-8546,영업중,그 밖의 대규모점포,2011-10-05
(주)지에스리테일GS수퍼 광진화양점,법인,02-469-1333,영업중,복합쇼핑몰,2011-10-04
(주)이마트에브리데이 중곡동점,법인,02-463-1903,영업중,그 밖의 대규모점포,2011-09-22
롯데쇼핑(주)롯데슈퍼 중곡점,법인,2204535605,영업중,그 밖의 대규모점포,2011-09-22
파크에비뉴,법인,02-466-6767,영업중,그 밖의 대규모점포,2008-09-03
롯데백화점 건대스타시티점,법인,02 22182802,영업중,백화점,2008-08-22
(주)이마트 자양점,법인,220241234,영업중,대형마트,2006-12-14
프라젠 스파,법인,02-3436-0005,영업중,그 밖의 대규모점포,2006-02-28
롯데쇼핑(주)롯데마트 강변점,법인,02-3424-2500,영업중,대형마트,1998-03-23
테크노-마트21,법인,02-3424-0323,영업중,그 밖의 대규모점포,1998-03-23
프라임프라자상가,법인,02-3437-2572,영업중,그 밖의 대규모점포,1997-01-30
구의현대종합상가,법인,02-454-7529,영업중,그 밖의 대규모점포,1992-11-05
현대종합상가,법인,02 4543916,영업중,그 밖의 대규모점포,1990-11-17
동서울터미널상가,법인,02--450-8832,영업중,그 밖의 대규모점포,1989-08-23
광성시장,법인,02-467-5200,영업중,그 밖의 대규모점포,1980-06-18
한아름시장,법인,02-465-7965,영업중,그 밖의 대규모점포,1980-04-07
자양종합시장,법인,02 4577480,영업중,그 밖의 대규모점포,1979-07-16
신성종합시장,법인,02 4441707,영업중,그 밖의 대규모점포,1977-01-31
중곡제일시장,개인,02-467-0254,영업중,그 밖의 대규모점포,1971-05-08
조양시장,법인,02-463-5611,영업중,그 밖의 대규모점포,1971-05-01
노룬산시장,법인,02-463-7521,영업중,그 밖의 대규모점포,1970-12-23
