구분,종목,명칭,주소,관리자(단체),소유자,지정일,기준일자,위도,경도,행정동
국보,제65호,청자 기린형뚜껑 향로,"서울특별시 성북구 성북로 102-11, 간송미술관 (성북동,간송미술관)",간송미술관,전성우,1962-12-20,2021-01-01,37.59446316,126.9962407,성북동
국보,제66호,청자 상감연지원앙문 정병,"서울특별시 성북구 성북로 102-11, 간송미술관 (성북동,간송미술관)",간송미술관,전성우,1962-12-20,2021-01-01,37.59446316,126.9962407,성북동
국보,제68호,청자 상감운학문 매병,"서울특별시 성북구 성북로 102-11, 간송미술관 (성북동,간송미술관)",간송미술관,전성우,1962-12-20,2021-01-01,37.59446316,126.9962407,성북동
국보,제70호,훈민정음,"서울특별시 성북구 성북로 102-11, 간송미술관 (성북동,간송미술관)",간송미술관,전성우,1962-12-20,2021-01-01,37.59446316,126.9962407,성북동
국보,제71호,"동국정운 권1,6","서울특별시 성북구 성북로 102-11, 간송미술관 (성북동,간송미술관)",간송미술관,전성우,1962-12-20,2021-01-01,37.59446316,126.9962407,성북동
국보,제72호,금동계미명삼존불입상,"서울특별시 성북구 성북로 102-11, 간송미술관 (성북동,간송미술관)",간송미술관,전성우,1962-12-20,2021-01-01,37.59446316,126.9962407,성북동
국보,제73호,금동삼존불감,"서울특별시 성북구 성북로 102-11, 간송미술관 (성북동,간송미술관)",간송미술관,전성우,1962-12-20,2021-01-01,37.59446316,126.9962407,성북동
국보,제74호,청자 오리모양 연적,"서울특별시 성북구 성북로 102-11, 간송미술관 (성북동,간송미술관)",간송미술관,전성우,1962-12-20,2021-01-01,37.59446316,126.9962407,성북동
국보,제135호,신윤복필 풍속도 화첩,"서울특별시 성북구 성북로 102-11, 간송미술관 (성북동,간송미술관)",간송미술관,전성우,1970-12-30,2021-01-01,37.59446316,126.9962407,성북동
국보,제149-1호,"동래선생교정북사상절 권4, 5","서울특별시 성북구 성북로 102-11, 간송미술관 (성북동,간송미술관)",간송미술관,전성우,1973-07-10,2021-01-01,37.59446316,126.9962407,성북동
국보,제177호,분청사기 인화국화문 태항아리,"서울특별시 성북구 안암로 145, 고려대학교박물관 (안암동5가,고려대학교안암캠퍼스(인문사회계))",고려대학교박물관,고려대학교,1974-07-09,2021-01-01,37.58234706,127.0275518,안암동
국보,제230호,혼천의 및 혼천시계,"서울특별시 성북구 안암로 145, 고려대학교박물관 (안암동5가,고려대학교안암캠퍼스(인문사회계))",고려대학교박물관,고려대학교,1985-08-09,2021-01-01,37.58234706,127.0275518,안암동
국보,제249-1호,동궐도,"서울특별시 성북구 안암로 145, 중앙도서관 (안암동5가,고려대학교안암캠퍼스(인문사회계))","고려대학교박물관, 동아대학교박물관",고려대학교박물관,1989-08-01,2021-01-01,37.58234706,127.0275518,안암동
국보,제270호,청자 모자원숭이모양 연적,"서울특별시 성북구 성북로 102-11, 간송미술관 (성북동, 간송미술관)",전성우,전성우,1992-04-20,2021-01-01,37.59446316,126.9962407,성북동
국보,제291호,용감수경 권3~4,"서울특별시 성북구 안암로 145, 중앙도서관 (안암동5가,고려대학교안암캠퍼스(인문사회계))",고려대학교 중앙도서관,고려대학교,1997-01-01,2021-01-01,37.58234706,127.0275518,안암동
국보,제294호,백자 청화철채동채초충문 병,"서울특별시 성북구 성북로 102-11, 간송미술관 (성북동,간송미술관)",간송미술관,전성우,1997-01-01,2021-01-01,37.59446316,126.9962407,성북동
보물,제238호,백자 박산형뚜껑 향로,성북로 102-11 간송미술관,전성우,전성우,1963-01-21,2021-01-01,37.59446316,126.9962407,성북동
보물,제283호,금보,성북로 102-11 간송미술관,전성우,전성우,1963-01-21,2021-01-01,37.59446316,126.9962407,성북동
보물,제284호,금동여래입상,성북로 102-11 간송미술관,전성우,전성우,1963-01-21,2021-01-01,37.59446316,126.9962407,성북동
보물,제285호,금동보살입상,성북로 102-11 간송미술관,전성우,전성우,1963-01-21,2021-01-01,37.59446316,126.9962407,성북동
보물,제286호,청자 상감포도동자문 매병,성북로 102-11 간송미술관,전성우,전성우,1963-01-21,2021-01-01,37.59446316,126.9962407,성북동
보물,제287호,분청사기 박지철채화문 병,성북로 102-11 간송미술관,전성우,전성우,1963-01-21,2021-01-01,37.59446316,126.9962407,성북동
보물,제348호,분청사기 상감모란문 반합,성북로 102-11 간송미술관,전성우,전성우,1963-01-21,2021-01-01,37.59446316,126.9962407,성북동
보물,제349호,청자 상감국화모란당초문 모자합,성북로 102-11 간송미술관,전성우,전성우,1963-01-21,2021-01-01,37.59446316,126.9962407,성북동
보물,제417호,홍무정운역훈 권3~16,안암로 145 고려대 도서관,(학)고려 중앙학원,(학)고려 중앙학원,1965-04-01,2021-01-01,37.58234706,127.0275518,안암동
보물,제419-4호,삼국유사 권3~5,안암로 145 고려대 도서관,(학)고려 중앙학원,(학)고려 중앙학원,2002-10-19,2021-01-01,37.58234706,127.0275518,안암동
