구분,지정종별,지정번호,문화재명,문화재명한자,지정수량,소재지지번주소,소유자(관리자),지정일자
국가지정,보물,제657호,삼천사지마애여래입상,三千寺址磨崖如來立像,1좌,서울특별시 은평구 연서로54길 ㅡ127,국유,1979-05-22
국가지정,보물,제1462호,인조별서유기비,仁祖別墅遺基碑,1기,서울특별시 은평구 역촌동 8-12,국유,2006-02-17
국가지정,보물,제1580호,수국사목조아미타불좌상및복장유물,守國寺木造阿彌陀佛坐像 및 腹藏遺物,"불상1점, 복장유물36종84점",서울특별시 은평구 서오릉로23길 8-5,수국사,2008-12-22
국가지정,보물,제1196-2,묘법연화경(권4-7),妙法蓮華經,1점,서울특별시 은평구 응암로20나길 5-23,심택사,2016-11-16
국가지정,중요민속문화재,제258호,금성당,錦城堂,1곽,서울특별시 은평구 진관2로 57-23,은평구,2008-07-22
국가지정,중요무형문화재,제126호,진관사 수륙재,津寬寺水陸齋,,서울특별시 은평구 진관길 73,진관사 수륙재 보존회,2013-12-31
문화재청등록,등록문화재,제458호,진관사 소장 태극기 및 독립신문류,津寬寺 所藏 太極旗 및 獨立新聞類,6종21점,서울특별시 은평구 진관길 73,진관사,2010-02-25
문화재청등록,등록문화재,제810호,진관사 소장 괘불도 및 괘불함,津寬寺 掛佛圖 및 掛佛函,1건 2점,서울특별시 은평구 진관길 73,진관사,2021-06-03
서울시지정,유형문화재,제38호,금암기적비,黔巖紀蹟碑,1기,서울특별시 은평구 진관동 45-4,SH공사,1978-12-18
서울시지정,유형문화재,제133호,사현사 석불좌상,沙峴寺 石佛坐像,1구,서울특별시 은평구 진관동 242-24,사현사,2001-05-10
서울시지정,유형문화재,제143호,"진관사 소 삼존불상(석가불,문수보살,보현보살)","津寬寺 塑 三尊佛像(釋迦佛,文殊菩薩,普賢菩薩",3구,서울특별시 은평구 진관길 73,진관사,2002-03-15
서울시지정,유형문화재,제144호,진관사 소 십육나한상,津寬寺 塑 十六羅漢像,20구,서울특별시 은평구 진관길 73,진관사,2002-03-15
서울시지정,유형문화재,제145호,진관사 영산회상도,津寬寺 靈山會上圖,1폭,서울특별시 은평구 진관길 73,진관사,2002-03-15
서울시지정,유형문화재,제146호,진관사 십육나한도,津寬寺 十六羅漢圖,6폭,서울특별시 은평구 진관길 73,진관사,2002-03-15
서울시지정,유형문화재,제147호,진관사 칠성도,津寬寺 七星圖,1폭,서울특별시 은평구 진관길 73,진관사,2002-03-15
서울시지정,유형문화재,제148호,진관사 명호스님 초상,津寬寺 명호僧 肖像,1폭,서울특별시 은평구 진관길 73,진관사,2002-03-15
서울시지정,유형문화재,제149호,진관사 산신도,津寬寺 山神圖,1폭,서울특별시 은평구 진관길 73,진관사,2002-03-15
서울시지정,유형문화재,제242호,수국사 아미타불도,守國寺 阿彌陀佛圖,1폭,서울특별시 은평구 서오릉로23길 8-5,수국사,2007-12-27
서울시지정,유형문화재,제243호,수국사 십육나한도,守國寺 十六羅漢圖,1폭,서울특별시 은평구 서오릉로23길 8-5,수국사,2007-12-27
서울시지정,유형문화재,제244호,수국사 극락구품도,守國寺 極樂九品圖,1폭,서울특별시 은평구 서오릉로23길 8-5,수국사,2007-12-27
서울시지정,유형문화재,제245호,수국사 감로도,守國寺 甘露圖,1폭,서울특별시 은평구 서오릉로23길 8-5,수국사,2007-12-27
서울시지정,유형문화재,제246호,수국사 신중도,守國寺 神衆圖,1폭,서울특별시 은평구 서오릉로23길 8-5,수국사,2007-12-27
서울시지정,유형문화재,제247호,수국사 현왕도,守國寺 現王圖,1폭,서울특별시 은평구 서오릉로23길 8-5,수국사,2007-12-27
