명칭,도로명주소,구분,시기,연혁 및 내용
전의 비암사 소조아미타여래좌상,세종특별자치시 전의면 비암사길 137,유형문화재 제13호,조선시대,"비암사 극락보전 안에 봉안되어 있는 아미타불좌상이다. 나무로 골격을 만들고 진흙으로 붙여 제작한 대형 소조불상으로 전체 높이는 196(㎝), 어깨 폭 89(㎝), 무릎 폭 132(㎝) 규모이다. 전체적으로 건장한 편으로서, 직사각형에 가까운 강건한 얼굴, 둥글면서도 벌어진 어깨, 결가부좌한 넓은 무릎으로 인해 안정된 자세를 보여주며 촘촘한 나발의 머리 위에는 육계가 큼직한데 중간부분에는 반원형의 넓적한 중간계주가 표현되었으며 정상부에는 원형의 작은 정상계주가 표현되었다. "
전의 비암사 삼층석탑,세종특별자치시 전의면 비암사길 137,유형문화재 제3호,고려시대,"비암사 극락보전 앞에 서 있는 3층 석탑이다. 1층 기단 위에 3층의 탑신을 올린 형태로, 1982년 복원 공사를 하면서 없어진 기단부를 보완하고 뒤집혀 있던 석재들을 바로 잡았다. 기단의 네 면과 탑신부의 각 몸돌에는 기둥 모양을 조각하였다. 지붕돌은 네 귀퉁이가 날카롭게 하늘로 향해 있고, 밑면에 4단의 받침을 두었다. 꼭대기에는 머리장식을 받치던 네모난 받침돌만이 남아 있다. 전체적으로 탑신의 1층 몸돌에 비해 2층 이상의 몸돌이 크게 줄어들었다. 지붕돌이 몸돌에 비해 둔해 보이고,밑면의 받침이 4단인 점 등으로 보아 고려시대에 세운 것으로 보인다."
전의 비암사 극락보전,세종특별자치시 전의면 비암사길 137,유형문화재 제1호,조선시대,"비암사는 통일신라말에 도선국사가 처음 지은 절이라고 전한다. 그 뒤의 확실한 절의 역사는 전하지 않는다. 비암사 극락보전은 앞면 3칸 옆면 2칸의 규모이며, 여덟 팔자 모양인 화려한 팔작지붕집이다. 언제 지었는지는 정확히 알지 못하지만, 조선 후기의 화려하고 장식적인 양식의 건축물이다. 지붕을 받치면서 장식을 겸하는 공포가 기둥 위와 기둥 사이에도 있는 다포양식이다. 내부에는 아미타불을 모시고 있으며, 불상 위에 화려한 닫집을 마련하였다. "
남평조씨 병자일기,세종특별자치시 금남면 남산길 51-2,유형문화재 제4호,조선시대,"남병조씨 병자일기는 조선 인조 (1595~1649)때 좌의정을 지낸 남이웅 선생의 부인이 쓴 일기로서 인조 14년 12월 5일부터 피난길에 오르면서 인조 18년 8월 9일까지의 일기로 필사본이며 4년여 동안 식솔들을 거느리면서 실제로 보고, 듣고, 겪은 일들을 기록한 72매의 필사본이며 '91년에 단행본으로 간행된 바 있다. "
전의 비암사 영산회 괘불탱화,세종특별자치시 전의면 비암사길 137,유형문화재 제12호,조선시대,"석가모니불이 영취산에서 법화경을 설하는 장면을 그림으로 나타낸 영산회상도로 탱화의 길이는 863(㎝), 폭은 486(㎝) 규모이다. 1657년(효종 8) 화원 신겸이 조성하였으며, 17세기 이후의 불화들에서 나타나는 전형적인 군도 형식을 띠고 있다. 도상의 내용이 1652년 신겸이 조성한 안심사 괘불과 같으므로 이 불화를 모본으로 하여 조성한 것으로 추정된다."
연서 효교비,세종특별자치시 연서면 효교로 128,유형문화재 제2호,조선시대,"기룡리 마을입구에 자리하고 있는 비로, 효성이 지극했던 홍씨집안을 기리기 위해 후손들이 세운 것이다.이 마을에는 조선시대 공조참의를 지낸 홍연경의 손자 우구의 후손들이 모여 살았는데 연경의 효성이 지극하였고 그 후손들에게서 5대에 걸쳐 9명의 효자가 나왔다. 이들에 얽힌 한 일화에 의하면 영조 때 연경의 후손인 득후가 상직이라는 양자를 들였다. 상직은 대사헌 벼슬에 있으면서 때때로 대궐에 오지 않는 일이 있었는데, 이를 이상하게 여긴 영조가 그 사연을 묻자 고향의 조상묘에 성묘하느라 오지 못하였다고 하였다. 이에 크게 감동한 왕이 상직의 효성이 지극하다 하여 그의 고향인 마룡동을 효교동이라 고쳐 부르도록 하였다. 비는 네모난 받침돌 위에 비몸을 세우고 지붕돌을 올린 모습이다. 앞면에는 효교(孝橋)라고 크게 새겼고, 뒷면에는 비문을 적었다. 후손들이 비를 세웠던 장소가 비좁아 1987년 현재의 자리로 옮겨 세웠으며, 1996년 비 옆에 효교각을 세웠다."
부강초등학교 강당,세종특별자치시 부강면 부강로 15,유형문화재 제5호,일제강점기,"부강초등학교 전면에 위치하고 있는 이 강당은 학교 교육의 초창기인 1926년도에 건축된 학교 강당 건물이다.강당의 건물형태는 정면 6칸, 측면 2칸 규모로, 지붕은 팔작지붕이다. 건축당시의 역사, 건축연도, 건립동기 등이 기록된 실기에 의하면 강당 건립은 학부형들의 피땀어린 정성으로 이룩한 것이라는 내용과 1925년 건축공사를 착수하여 1926년 10월 17일 낙성하였다고 기록하고 있다.초등학교 초기의 강당으로 건축당시의 구조 및 형태가 현재까지 변형됨이 없이 보존되어 있고, 실기가 남아 있어 중요한 자료로 평가된다."
류형장군 호패,세종특별자치시 장군면 하봉길 120,유형문화재 제14호,조선시대,
고봉화상선요,세종특별자치시 장군면 영평사길 124,유형문화재 제17호,조선시대,
장군 영평사 목조나한상 및 복장유물 일괄,세종특별자치시 장군면 영평사길 124,유형문화재 제18호,조선시대,
연동 황룡사 목조아미타여래좌상 및 복장유물,세종특별자치시 연동면 황우재길 22-17,유형문화재 제19호,조선시대,
금남 송림사 팔상도 초본,세종특별자치시 금남면 축산길 35,유형문화재 제20호,조선후기,
남양홍씨 연기파 종중문서 일괄,세종특별자치시 연서면 의넘어길 14-15,유형문화재 제21호,조선후기~일제강점기,
전의 청안사 지장신왕도,세종특별자치시 전의면 가느실길 128-23,유형문화재 제22호,조선후기,
연서 학림사 신중도,세종특별자치시 연서면 와룡로 322,유형문화재 제23호,조선후기,
