구군,구분,상호명,소재지,전화번호,영업개시일,,,
남구,기타,(사)울산산업공구월드,울산광역시 남구 삼산동 1591-4,052-266-8796,1997-11-28,,,
북구,복합쇼핑몰,신선도원(舊메가마트울산점),울산광역시 북구 진장17길10(진장명촌지구54B 1L),052-219-6021,2016-06-17,,,
남구,복합쇼핑몰,업스퀘어,울산광역시 남구 삼산동 1569-1,052-990-5000,2013-04-30,,하나로마트,25
동구,백화점,현대백화점 울산동구점,울산광역시 동구 방어진순환도로 889(서부동),052-234-2233,1977-07-07,,홈플러스익스프레스,4
남구,백화점,롯데백화점 울산점,울산광역시 남구 삼산동 1480-1,052-960-2500,2001-07-20,,이마트에브리데이,4
남구,백화점,현대백화점 울산점,울산광역시 남구 삼산동 1521-1,052-228-2233,1997-08-25,,gs슈퍼마켓,4
남구,쇼핑센터,뉴코아아울렛 울산점,울산광역시 남구 달동 1360-3,052-228-5000,2006-05-01,,,37
남구,쇼핑센터,패션밸리 c-1020,울산광역시 남구 신정동 1126-5,,2002-08-30,,,
남구,쇼핑센터,세이브존 울산점,울산광역시 남구 번영로250번길9(삼산동 1377-8외4),052-261-9000,2001-01-10,,,
남구,쇼핑센터,세이브존 울산점,울산광역시 남구 삼산동 1377-8,052-261-9000,2001-01-10,,,
중구,쇼핑센터,(유)에브라임컨설팅울산지점,울산광역시 중구 젊음의2거리 33(성남동),052-210-7000,2005-10-14,,,
중구,쇼핑센터,주식회사 뉴코아,울산광역시 중구 시계탑거리 20(성남동),052-210-5000,2006-08-17,,,
북구,전문점,모다아울렛(의류),울산광역시 북구 진장유통로 78-6(진장동),052-935-2200,2015-08-28,,,
북구,전문점,진장디플렉스(산업용품전문상가),울산광역시 북구 진장유통로16,052-219-8400,2010-07-30,,,
중구,전문점,센트럴프라자,울산광역시 중구 번영로 329 (옥교동),052-241-5000,2003-01-13,,,
울주군,대형마트,하나로마트굴화점,울산광역시 울주군 범서읍 장검길 10,052-220-6500,2010-05-13,,,
울주군,대형마트,메가마트언양점,울산광역시 울주군 삼남면 반구대로 612,052-255-6001,1998-07-22,,,
북구,대형마트,롯데마트 진장점,울산광역시 북구 진장유통로 64(진장동),052-240-2510,2006-05-11,,,
북구,대형마트,코스트코홀세일 울산점,울산광역시 북구 진장 174길 10(진장동),1899-9900,2012-08-31,,,
북구,대형마트,홈플러스 울산북구점,울산광역시 북구 신답로 26(상안동),052-702-8009,2008-10-02,,,
동구,대형마트,홈플러스㈜ 울산동구점,울산광역시 동구 방어진순환도로 637(일산동),052-230-8120,2008-08-06,,,
남구,대형마트,홈플러스울산 남구점,울산광역시 남구 수암로148(야음동789-91),052-270-8120,2003-04-10,,,
남구,대형마트,롯데마트울산점,울산광역시 남구 삼산로74(달동833-1),052-228-2511,1999-07-14,,,
남구,대형마트,이마트 울산점,울산광역시 남구 삼산동 1646,052-220-1051,2003-11-27,,,
중구,대형마트,홈플러스 울산점,울산광역시 중구 번영로 457(복산동),052-290-8120,2001-11-06,,,
