 구 군 , 구 분 , 2013년 , 2014년  , 2015년 , 2016년 , 2017년 , 2018년 , 2019년 
 중구 ,  태화강대공원   , - , - , - , - ,1062769,905378,826651
 중구 ,  태화강 십리대숲  , - , - , - , - ,183989,116856,153318
 중구 , 외솔생가 및 기념관 , - , - , - , - ,45212,46184,50918
 중구 ,  태화루   , - , - , - , - ,92140,76432,104029
 중구 ,  울산 동헌 및 내아 , - , - , - , - ,46460,42413,48822
 중구 , 약사동제방유적전시관 , - , - , - , - , - ,6717,8707
 남구 ,  고래생태체험관  ,362363,498364,444894,342750,347390,363267,346978
 남구 ,  울산대공원  ,291177,379369,523492,648295,621870,615799,456243
 남구 ,  울산박물관  ,225994,144236,164864,6081,212675,171576,186046
 남구 ,  sk에너지 울산complex  ,11845,9000,5060,203561,4721,3674,2627
 남구 , 장생포 고래문화마을 , - , - , - , - , - ,111709,232688
 남구 , 태화강 동굴피아 , - , - , - , - , - ,69558,89199
 동구 ,  현대중공업  ,151821,113507,89598,66661,46016,30105,29797
 동구 ,  울산테마식물원  ,36977,40161,40001,31005,20780,27597,18546
 동구 ,  대왕암 공원   , - , - , - , - ,723163,597417,640921
 동구 ,  슬도   , - , - , - , - ,174381,173094,200104
 동구 ,  옥류천 이야기길   , - , - , - , - ,207316,179923,185085
 동구 ,  소리체험관  , - , - , - , - ,43219,30436,32780
 동구 , 울산대교 전망대 , - , - , - , - , - ,189320,202358
 북구 ,  현대자동차 ㈜울산공장 ,112185,80591,78272,76127,48335,42263,36190
 북구 ,  당사해양낚시공원  ,  -  ,62602,53668,46009,52176,41632,35769
 북구 , 강동사랑길 2구간 , - , - , - , - , - , - ,17204
 북구 , 편백산림욕장 , - , - , - , - , - , - ,64196
 울주군 ,  석남사  ,103200,107453,70521,67482,106782,80895,81400
 울주군 ,  영남알프스레저(자수정)  ,361215,421874,595773,454948,520120,556842,567402
 울주군 ,  충렬공박제상기념관  ,25244,32585,19791,35775,41918,39982,31490
 울주군 ,  울산대곡박물관  ,51454,45354,49603,46049,56473,44329,49923
 울주군 ,  울산암각화박물관  ,98321,94168,80501,90456,85259,88751,100244
 울주군 ,  옹기마을아카데미  ,21080,12968,10052,34298,12012,5458, - 
 울주군 ,  울산해양박물관  ,50334,29602,14622,15624,13289,7062,14263
 울주군 ,  신불산자연휴양림  ,138957,116812,129601,146997,110869,83983,108944
 울주군 ,  배내고개 등산로  ,  -  ,  -  ,  -  ,19708,19436,27978,22913
 울주군 ,  배내골 사슴목장 등산로  ,  -  ,  -  ,  -  ,101039,62686,105010,116209
 울주군 , 석남사 주차장(상단) 등산로  ,  -  ,  -  ,  -  ,16354,5271,25742,24147
 울주군 , 복합웰컴센터 등산로(간월산장)  ,  -  ,  -  ,  -  ,116780,99345,101168,69605
 울주군 , 천전리 각석 ,  -  ,  -  ,  -  ,  -  ,26639,24837,12533
 울주군 , 반구대 암각화 ,  -  ,  -  ,  -  ,  -  ,44387,47496,72867
 울주군 , 번개맨 우주센터 ,  -  ,  -  ,  -  ,  -  ,  -  ,21332,51131
 울주군 , 국제클라이밍센터 ,  -  ,  -  ,  -  ,  -  ,  -  ,7289,11963
 울주군 , 옹기박물관 ,  -  ,  -  ,  -  ,  -  ,  -  ,23463,50285
 울주군 , 간절곶 공원 ,  -  ,  -  ,  -  ,  -  ,  -  ,62129,39740
