연번,관광지,주소,내용,데이터기준일자
1,인천역,인천광역시 중구 제물량로 269 ,1900년 건립된 인천역은 1960년에 현재의 모습으로 신축되었다. 본래 여객을 대상으로 만들어지기보다 화물을 취급하기 위해 만들어진 인천역은 초기와 달리 1974년 지하철 개통과 함께 일반 이용객이 급증하였다. 현재에는 인천역 주변의 관광명소를 찾아 수도권의 많은 관람객이 찾는다.,2021-07-20
2,공화춘,인천광역시 중구 차이나타운로 56-14 (선린동),현) 짜장면 박물관 (등록문화재 제246호)공화춘의 전신은 음식점과 호텔의 혼합형 숙식업소인 산둥회관이었다. 산둥성 출신 화교 위시광이 중화민국 수립을 기념하여 공화춘으로 개업했다. 현재 건물의 정확한  건립연도는 알 수 없으나 화강암 석축 위에 벽돌을 쌓아올린 눈목자(目) 구조이다.,2021-07-20
3,청국영사관 회의청,인천광역시 중구 차이나타운로55번길 8(선린동 8),"1910년 청나라 가문연이 건립한 곳으로 처국여사관 뒤편에 자리했었다. 현재 지붕은 일식으로 개수 되었으나 개구부, 가구방식, 창호형태 등은 과거 모습 그대로 간직하고 있다.",2021-07-20
4,청·일 조계지 경계계단 (시 기념물 제51호) ,인천광역시 중구 차이나타운로55번길 21일원,일본조계(1883)와 청국조계(1884)와의 경계 계단으로 자유공원과 연결되어 있다. 중앙에 돌계단을 배치하고 계단 양쪽에 조경 공간을 두어 이 계단을 중심으로 확연하게 다른 청국과 일본 건물들이 배치되었다. 120년간의 역사를 간직한 이 계단은 중국과의 국교가 수립되고 청국조계지 일대가 관광특구로 지정된 후 새롭게 정비되도록 계단 위쪽에는 중국청도 에서 기증한 공자상이 세워져 있다.,2021-07-20
5,일본우선회사 인천지점,인천광역시 중구 제물량로218번길 3(해안동1가 9),"현)인천아트플렛폼(등록문화재 제248호)도쿄에 본점을 두고 여객 및 화물을 수송하였던 해운회사이다. 1883년 4월 인천 지점을 설치하였으며, 현재 건물은 1888년에 신축되었다.",2021-07-20
6,대불호텔 터,인천광역시 중구 신포로23번길 104-1 (중앙동1가),"1888년 일본인 사업가 호리 히사타로가 신축한 우리나라 최초의 서구식 호텔이었다. 1918년경 매도되어 중화루라는 중국음식점으로 활용 되기도 했다. 1978년 철거되었으며, 현재 빈터만 남아있다.",2021-07-20
7,"인천개항박물관_ 舊, 일본제1은행 (시 유형문화재 제7호)",인천광역시 중구 신포로23번길 89,"1883년 일본제1은행 부산지점의 인천출장소로 개설되었다가 1888년 인천지점으로 승격되어 해관세와 한국에서 생산되는 금괴, 사금 매입 업무 대행 및 예금과 대출 등의 업무를 담당 하였다. 한국은행 인천지점(1909), 조선은행 인천지점(1911)으로 사용되었으며 2010년 10월 인천개항박물관으로 조성하였다. 주출 입구를 중심으로 좌우대칭을 구성한 절충주의 양식이 특징이다. ",2021-07-20
8,"인천개항장 근대건축전시관_ 舊, 일본제18은행(시 유형문화재 제50호) ",인천광역시 중구 신포로23번길 77 (중앙동2가),"나가사키(長崎)에 본점을 둔 舊)일본 제18은행은 나가사키의 상인들이 상해에 수입되었던 영국 면직물을 수입하여 한국시장에 다시 수출하는 중개무역으로 큰 이익을 거두자 1890년 인천 지점을 개설하였다. 조선식산은행 인천지점 (1936), 한국흥업은행 지점(1954)으로 사용 되다 현재 인천개항장 근대건축전시관으로 활용되고 있다. 목조 트러스 위에 일식기와로 모임지붕 형태를 하고 있어 이국 적인 분위기를 자아낸다. ",2021-07-20
9,일본 제58은행 인천지점,인천광역시 중구 신포로23번길 69 (중앙동2가),"현) 인천광역시 음식업조합, 인천광역시 유형문화재 제19호1892년 설립했다. 인천지점은 인천전환국에서 주조된 신구 화폐의 교환과 함께 한국의 주화를 오사카 본점에 보내고 일본의 새로운 주화를 들여오는 업무를 담당했다. 1946년경에는 조흥은행 인천지점으로 사용 되기도 했다.",2021-07-20
10,일본영사관 터,인천광역시 중구 신포로27번길 80 (관동1가) 현) 인천 중구청,일본이 인천에 영사관을 개설한 것은 1882년이었다. 1910년부터 인천 부청사로 사용되었고 1933년 현재 건물로 신축되었으며 광복 후 인천  시청으로 사용되었다. 1985년  부터는 중구청이 사용하고 있다.,2021-07-20
11,세창양행,인천광역시 중구 신포로23번길 49(중앙동3가),"현) 중앙프라자, 마사회 건물세창양행은 주로 조선 정부에 물자를 팔려는 목적으로 만들어졌으며, '고백'이라는 제목으로 최초로 광고를 한 회사로 유명하다. 1973년 당시에는 건물을 개조하여 '인천회관'(인천관광호텔)으로 이용하기도 하였다.",2021-07-20
12,내리교회,인천광역시 중구 우현로67번길 3-1 (내동),"1885년 아펜젤러 목사의 종교집회를 시초로 한국감리교 최초의 교회가 되었다. 당시 선교사들은 대부분 인천에서부터 활동을 시작해 전국으로 영역을 넓혀갔다. 존스 목사는 영화학당 및 선교사합숙소 등을 건립했고 강화, 해주, 남양지방의 전도를 담당했다. 이후 1985년 내리교회는 창립 100주년을 맞아 현재의 건물을 신축했다.",2021-07-20
13,랜디스병원(성누가병원),인천광역시 중구 우현로 67번길 3(내동3),현) 대한성공회 인천내동교회 자리 영국인 내과의사 핸디스가 인천에 오면서 현 인천내동교회 자리에 성누가병원을 개설하였다. 뛰어난 의술과 좋은 인품으로 랜디스는 지역민으로 약대인이라 불렸으며 타계 후 임시 폐쇄되기도 하였다. 러일전쟁 때 임시 적십자 병원으로 사용되었다.,2021-07-20
14,홍예문,인천광역시 중구 신포로 79 (송학동2가),"인천광역시 유형문화재 제49호 무지개처럼 생긴 문이라는 뜻의 홍예문은 일본인들의 증가로 거주공간의 확장이 불가피해지자, 당시 인천 시내 남북 간의 교통 불편을 해소하고 새로 생긴 축현역(동인천역)과의 편리한 왕래를 위해 만든 교통로였다. 화강석과 벽돌을 혼용한 아치구조로 석축을 쌓아 1908년 완공되었다.",2021-07-20
