구분,지정번호,명 칭,수량,소 재 지,소 유 자(관리주체),지정일자
국보,276,초조본 유가사지론 권53,1권1축,"인천광역시 연수구 청량로102번길 40-9, 가천박물관",이길여(가천박물관),1993-04-27
보물,10,강화 장정리 오층석탑,"1기(4,860㎡)",인천광역시 강화군 하점면 장정리 산193,국유(강화군),1963-01-21
보물,11월 08일,사인비구 제작 동종-강화 동종,1구,"인천광역시 강화군 하점면 강화대로 994-19, 강화역사박물관",국유(강화군),1963-01-21
보물,161,강화 정수사 법당,1동(250.6㎡),인천광역시 강화군 해안남로1258번길 142,정수사,1963-01-21
보물,178,강화 전등사 대웅전,1동(183.6㎡),인천광역시 강화군 전등사로 37-41,전등사,1963-01-21
보물,179,강화 전등사 약사전,1동(90.1㎡),인천광역시 강화군 전등사로 37-41,전등사,1963-01-21
보물,393,전등사 철종,1구,인천광역시 강화군 전등사로 37-41,전등사,1963-09-02
보물,615,강화 장정리 석조여래입상,1구(35.5㎡),인천광역시 강화군 하점면 장정리 584,강화군,1978-03-08
보물,994,강화 백련사 철조아미타여래좌상,1구,인천광역시 강화군 하점면 고려산로61번길 270,백련사,1989-04-10
보물,1154,대방광불화엄경 정원본 권31,1권1첩,"인천광역시 연수구 청량로102번길 40-9, 가천박물관",이길여(가천박물관),1993-04-27
보물,1155,재조본 경률이상 권1,1권1첩,"인천광역시 연수구 청량로102번길 40-9, 가천박물관",이길여(가천박물관),1993-04-27
보물,1178,향약제생집성방 권6,1책,"인천광역시 연수구 청량로102번길 40-9, 가천박물관",이길여(가천박물관),1993-11-05
보물,1179,태산요록,2권1책,"인천광역시 연수구 청량로102번길 40-9, 가천박물관",이길여(가천박물관),1993-11-05
보물,1180,신응경,1책,"인천광역시 연수구 청량로102번길 40-9, 가천박물관",이길여(가천박물관),1993-11-05
보물,1205,"초조본 대방광불화엄경 주본 권67, 77",2권2축,"인천광역시 연수구 청량로102번길 40-9, 가천박물관",이길여(가천박물관),1994-07-29
보물,1206,초조본 십주비바사론 권17,1권1축,"인천광역시 연수구 청량로102번길 40-9, 가천박물관",이길여(가천박물관),1994-07-29
보물,1207,산거사요,4권1책,"인천광역시 연수구 청량로102번길 40-9, 가천박물관",이길여(가천박물관),1994-07-29
보물,1208-1,춘추경좌씨전구해 권60～70,11권1책,"인천광역시 연수구 청량로102번길 40-9, 가천박물관",이길여(가천박물관),1994-07-29
보물,1209,우주두율,1책,"인천광역시 연수구 청량로102번길 40-9, 가천박물관",이길여(가천박물관),1994-07-29
보물,1227,식물본초,2권2책,"인천광역시 연수구 청량로102번길 40-9, 가천박물관",이길여(가천박물관),1995-07-19
