"문화재종류","지정번호","명칭","수량","크기","소재지","소유자(관리자)","지정일자"
"국보","276","초조본 유가사지론 권53","1권1축","28.4x1,118.,cm","연수구 청량로102번길 40-9,가천박물관","***(가천박물관장)","1993-04-27"
"보물","10","강화 장정리 오층석탑","1기","5층 4,860.0㎡","강화군 하점면 장정리 산193/ 1필지","산림청장(강화군수)","1963-01-21"
"보물","11-8","사인비구 제작 동종-강화 동종","1구","높이1.98m입지름1.38m","강화군 하점면 강화대로994-19, 강화역사박물관","국유(강화군수)","1963-01-21"
"보물","161","강화 정수사 법당","1동","214,629㎡","강화군 화도면 사기리 산86 외/ 3필지","정수사","1963-01-21"
"보물","178","강화 전등사 대웅전","1동","183.6㎡","강화군 전등사로 37-41 / 1필지","전등사","1963-01-21"
"보물","179","강화 전등사 약사전","1동","90.1㎡","강화군 전등사로 37-41/ 1필지","전등사","1963-01-21"
"보물","393","전등사 철종","1구","높이1.64m구경1m","강화군 전등사로 37-41","전등사","1963-09-02"
"보물","615","강화 장정리 석조여래입상","1구","4,889㎡","강화군 하점면 장정리 584/ 2필지","국유(강화군수)","1978-03-08"
"보물","994","강화 백련사 철조아미타여래좌상","1구","높이51.5㎝폭34㎝","강화군 하점면 고려산로 61번길 270, 백련사","백련사","1989-04-10"
"보물","1154","대방광불화엄경 정원본 권31","1권1첩","31.6x12.3㎝","연수구 청량로102번길 40-9, 가천박물관","***(가천박물관장)","1993-04-27"
"보물","1155","재조본 경률이상 권1","1권1첩","31x12.3cm","연수구 청량로102번길 40-9, 가천박물관","***(가천박물관장)","1993-04-27"
"보물","1178","향약제생집성방 권6","1책","25.8x15.2cm","연수구 청량로102번길 40-9, 가천박물관","***(가천박물관장)","1993-11-05"
"보물","1179","태산요록","2권1책","23.6x14.2cm","연수구 청량로102번길 40-9, 가천박물관","***(가천박물관장)","1993-11-05"
"보물","1180","신응경","1책","26x16.8cm","연수구 청량로102번길 40-9, 가천박물관","***(가천박물관장)","1993-11-05"
"보물","1205","초조본 대방광불화엄경 주본 권67, 77","2권2축","29x46.8㎝28.7x46.7㎝","연수구 청량로102번길 40-9, 가천박물관","***(가천박물관장)","1994-07-29"
"보물","1206","초조본 십주비바사론 권17","1권1축","30x47.3cm, 28장 연결","연수구 청량로102번길 40-9, 가천박물관","***(가천박물관장)","1994-07-29"
"보물","1207","산거사요","4권1책","26.7x16cm","연수구 청량로102번길 40-9, 가천박물관","***(가천박물관장)","1994-07-29"
"보물","1208-1","춘추경좌씨전구해 권60~70","11권1책","26.3x15.8cm","연수구 청량로102번길 40-9, 가천박물관","***(가천박물관장)","1994-07-29"
"보물","1209","우주두율","1책","27.2x16.8cm","연수구 청량로102번길 40-9, 가천박물관","***(가천박물관장)","1994-07-29"
"보물","1227","식물본초","2권2책","28.5x18.8cm","연수구 청량로102번길 40-9, 가천박물관","***(가천박물관장)","1995-07-19"
"보물","1249","간이벽온방(언해)","1책","32.2x18.7㎝","연수구 청량로102번길 40-9, 가천박물관","***(가천박물관장)","1997-06-12"
"보물","1250","세의득효방 권10~11","2권1책","29.5x19㎝","연수구 청량로102번길 40-9, 가천박물관","***(가천박물관장)","1997-06-12"
"보물","1490","이성윤 초상","1점","178.4x106.35㎝","부평구 수변로334 313-1302(문화재청 국립고궁박물관 위탁)","***(국립고궁박물관장)","2006-12-29"
"보물","1508","이성윤 위성공신교서 및 관련유물","총19점","-","부평구 수변로334 313-1302(문화재청 국립고궁박물관 위탁)","***(국립고궁박물관장)","2006-12-29"
"보물","1716","중수정화경사증류비용본초권17","1책","36x22.3㎝","연수구 청량로102번길 40-9, 가천박물관","***(가천박물관장)","2011-06-21"
