지정,구분,지정번호,명칭,수량,소유자(관리자),,
인천광역시,유형문화재,1,인천도호부관아,2동,인천시 교육청,,
인천광역시,유형문화재,9,정우량 영정,1폭,개인 소장,,
인천광역시,유형문화재,11,인천향교,6동,인천향교재단,,
인천광역시,유형문화재,62,백련정사 칠성도,1폭,백련정사,,
인천광역시,유형문화재,67,시왕도,1점,인천시립박물관 송암미술관,,
인천광역시,유형문화재,68,목조아미타여래좌상,1점,인천시립박물관 송암미술관,,
인천광역시,유형문화재,69,목조보살좌상,1점,인천시립박물관 송암미술관,,
인천광역시,유형문화재,79호,수미정사「고봉화상선요」,1권,대한불교조계종 수미정사,,
인천광역시,기념물,1,문학산성,1곽,인천광역시 ,,
인천광역시,기념물,4,이윤생·강씨정려,1동,부평이씨승지공파 종친회,,
국가,보물,1997,평양성도 병풍,1좌(8폭),인천시립박물관 송암미술관,,
국가,등록문화재,247,대한민국 수준원점,1동,국토지리정보원,,
국가,등록문화재,800-1,한글점자「훈맹정음」 제작 및 보급 유물,8건48점,인천광역시 시각장애인복지연합회,,
