구분,지정번호,명 칭,수량,소 재 지,소 유 자(관리주체),지정일자
유형문화재,2,부평도호부관아,"1동(17,566㎡)",인천광역시 계양구 어사대로 20,인천시 교육청,1982-03-02
유형문화재,3,원대철제범종,1기,인천광역시 연수구 청량로160번길 26,인천시(시립박물관),1982-03-02
유형문화재,4,송대철제범종,1기,인천광역시 연수구 청량로160번길 26,인천시(시립박물관),1982-03-02
유형문화재,5,관음좌상,1구,인천광역시 연수구 청량로160번길 26,인천시(시립박물관),1982-03-02
유형문화재,6,논현포대,"2좌(1,826㎡)",인천광역시 남동구 논현동 648-1(논현근린공원) 내,남동구,1982-03-02
유형문화재,7,구)인천일본제일은행지점,1동(677.7㎡),인천광역시 중구 신포로23번길 89,중구,1982-03-02
유형문화재,8,인천우체국,"1동(4,483.6㎡)",인천광역시 중구 제물량로 183,과학기술정보통신부 외 1인,1982-03-02
유형문화재,9,정우량 영정,1폭,,,1986-12-18
유형문화재,11,인천향교,"6동(21,333.1㎡)",인천광역시 남구 매소홀로 589,(재)인천광역시향교재단,1990-11-09
유형문화재,12,부평향교,"2동(9,596㎡)",인천광역시 계양구 향교로 19,(재)인천광역시향교재단,1990-11-09
유형문화재,13,건칠여래좌상,1구,인천광역시 연수구 청량로160번길 26,인천시(시립박물관),1990-11-09
유형문화재,14,목조보살좌상,1구,인천광역시 연수구 청량로160번길 26,인천시(시립박물관),1990-11-09
유형문화재,15,용궁사,"3동(113,791㎡)",인천광역시 중구 운남로 199-1,(재)한국불교태고원 외 1인,1990-11-09
유형문화재,16,인천창영초등학교(구)교사,"1동(8,789.7㎡)",인천광역시 동구 금창로 31,인천시 교육청,1992-12-16
유형문화재,17,구)제물포구락부,1동(586.6㎡),인천광역시 중구 자유공원남로 25,인천시 교육청 외 1인,1993-07-06
유형문화재,18,인천기독교 사회복지관,"1동(3,669.1㎡)",인천광역시 동구 우각로 57,(재)기독교대한감리회유지재단,1993-07-06
유형문화재,19,구)일본제58은행지점,1동(310.7㎡),인천광역시 중구 신포로23번길 69,중구 요식업협동조합,1993-07-06
유형문화재,20,용흥궁,"3동(2,497㎡)",인천광역시 강화군 동문안길21번길 16-1,,1995-03-02
유형문화재,21,충렬사,"5동(14,803㎡)",인천광역시 강화군 충렬사로 232,,1995-03-02
유형문화재,24,연미정,"1동(2,149㎡)",인천광역시 강화군 강화읍 월곶리 242,,1995-03-02
유형문화재,25,강화유수부 동헌,1동(326.8㎡),인천광역시 강화군 북문길 42,강화군 외,1995-03-02
유형문화재,26,강화유수부 이방청,"1동(1,765㎡)",인천광역시 강화군 북문길 42,문화재청,1995-03-02
유형문화재,27,보문사 석실,"1동(282,054.1㎡)",인천광역시 강화군 삼산남로828번길 44,보문사,1995-03-02
유형문화재,28,교동향교,"9동(3,835㎡)",인천광역시 강화군 교동남로 229-49,(재)인천광역시향교재단,1995-03-02
유형문화재,29,보문사 마애석불좌상,1구,인천광역시 강화군 삼산남로828번길 44,보문사,1995-03-02
유형문화재,30,강화 석수문,1기(77.5㎡),인천광역시 강화군 강화읍 국화리 883,문화재청,1995-03-02
유형문화재,32,심즙 신도비,1기(127.5㎡),인천광역시 서구 공촌동 산8번지,,1995-11-15
유형문화재,33,후애돈대,"1기(1,064㎡)",인천광역시 강화군 길상면 선두리 954번지,기획재정부,1995-11-15
유형문화재,34,강화향교,"1곽(2,460㎡)",인천광역시 강화군 향교길 58,인천광역시,1995-11-15
유형문화재,35,삼암돈대,"1기(5,044.1㎡)",인천광역시 강화군 내가면 외포리 산 223-4번지,강화군,1999-03-29
유형문화재,36,분오리돈대,"1기(11,728㎡)",인천광역시 강화군 화도면 사기리 산 185-1번지,강화군,1999-03-29
유형문화재,38,적석사 사적비,"1기(71,704㎡)",인천광역시 강화군 연촌길 181,적석사,2001-04-02
유형문화재,39,영화초등학교 본관동,"1동(9,101.2㎡)",인천광역시 동구 우각로 39,학교법인 영화학원,2001-04-02
유형문화재,40,팔미도등대,1동(992㎡),인천광역시 중구 팔미로 28,인천지방해양수산청,2002-02-04
유형문화재,41,강화 온수리 성공회사제관,1동(314.9㎡),인천광역시 강화군 길상면 온수리 505-7번지,(재)대한성공회유지재단,2002-02-04
유형문화재,43,전등사 약사전 현왕탱,1폭,인천광역시 강화군 전등사로 37-41,전등사,2002-12-23
유형문화재,44,전등사 약사전 후불탱,1폭,인천광역시 강화군 전등사로 37-41,전등사,2002-12-23
유형문화재,46,전등사 청동수조,1구,인천광역시 강화군 전등사로 37-41,전등사,2002-12-23
유형문화재,47,전등사 업경대,1쌍,인천광역시 강화군 전등사로 37-41,전등사,2002-12-23
유형문화재,48,전등사 대웅보전 수미단,1기,인천광역시 강화군 전등사로 37-41,전등사,2002-12-23
유형문화재,49,홍예문,"1기(1,952.6㎡)",인천광역시 중구 송학동2가 20,국토교통부,2002-12-23
유형문화재,50,구)인천일본제18은행지점,1동(475.8㎡),인천광역시 중구 신포로23번길 77,국토교통부 외 1인,2002-12-23
유형문화재,51,내동 성공회성당,"1동(2,056.7㎡)",인천광역시 중구 개항로45번길 21-32,(재)대한성공회유지재단,2002-12-23
유형문화재,52,강화 온수리 성공회성당,1동(618㎡),인천광역시 강화군 온수길38번길 14,(재)대한성공회유지재단,2003-11-10
유형문화재,53,청련사 큰법당 삼장탱,1폭(165.5×157cm),인천광역시 강화군 고비고개로188번길 112,청련사,2004-04-06
유형문화재,54,청련사 큰법당 현왕탱,1폭(104.5×156cm),인천광역시 강화군 고비고개로188번길 112,청련사,2004-04-06
유형문화재,55,청련사 원통암 감로왕탱,1폭(188×123cm),인천광역시 강화군 고비고개로188번길 112,청련사,2004-04-06
유형문화재,57,전등사 약사전 석불좌상,1구,인천광역시 강화군 전등사로 37-41,전등사,2004-04-06
유형문화재,58,"연수구 흥륜사 소장 대장일람집 권 제7, 8",1책(17×26cm),인천광역시 연수구 청량로70번길 40-17,흥륜사,2004-04-06
유형문화재,59,연수구 흥륜사 소장 자치통감강목 제23 상권,1책(20×34cm),인천광역시 연수구 청량로70번길 40-17,흥륜사,2004-04-06
유형문화재,60,강화 고대섭 가옥,"1,479㎡",인천광역시 강화군 강화대로674번길 23-4,,2006-05-15
유형문화재,61,능인교당 신중탱화,1폭(110×108.5㎝),인천광역시 중구 우현로62번길 19,능인사,2009-03-02
유형문화재,62,백련정사 칠성도,1폭,인천광역시 남구 경인로252번안길 58-16,백련정사,2010-12-06
유형문화재,63,신간소문입식운기론오,3권 1책,인천광역시 연수구 청량로 102번길40-9(가천박물관),가천박물관,2012-07-26
유형문화재,64,효경,불분권 1책,인천광역시 연수구 청량로 102번길40-9(가천박물관),가천박물관,2012-07-26
유형문화재,65,증주당현절구삼체시법 권1,1권 1책,인천광역시 연수구 청량로 102번길40-9(가천박물관),가천박물관,2012-07-26
유형문화재,66,바리야크함 깃발,1점,인천광역시 연수구 청량로160번길 26,인천광역시(시립박물관),2015-10-07
유형문화재,67,시왕도,1점,인천광역시 남구 비류대로 55번길 68,인천광역시(송암박물관),2015-10-07
유형문화재,68,목조아미타여래좌상,1점,인천광역시 남구 비류대로 55번길 68,인천광역시(송암박물관),2015-10-07
유형문화재,69,목조보살좌상,1점,인천광역시 남구 비류대로 55번길 68,인천광역시(송암박물관),2015-10-07
유형문화재,70,선문염송설화 권1-30,30권 10책,인천광역시 서구 원적로 163-22,법명사 주지,2015-12-02
유형문화재,71,묘법연화경 권3,1축,인천광역시 연수구 청량로70번길 40-17,흥륜사 주지,2015-12-02
유형문화재,72,대방광불화엄경 진본 권21,1축,인천광역시 연수구 청량로70번길 40-17,흥륜사 주지,2015-12-02
유형문화재,73,대방광불화엄경 주본 권61,1축,인천광역시 연수구 청량로70번길 40-17,흥륜사 주지,2015-12-02
유형문화재,74,몽산화상육도보설,1책 24장,인천광역시 연수구 청량로70번길 40-17,흥륜사 주지,2015-12-02
유형문화재,75,불설장수멸죄호제 동자다라니경,1책,인천광역시 연수구 청량로70번길 40-17,흥륜사 주지,2015-12-02
유형문화재,76,용궁사 수월관음도,1점,인천광역시 중구 운남로 199-1,한국불교태고종 용궁사,2016-02-24
유형문화재,77,명대철제도종,1점,인천광역시 연수구 청량로160번길 26(시립박물관),인천광역시,2019-07-29
유형문화재,78,백자 청화 인천부사 이성곤 묘지,1건6점,인천광역시 연수구 청량로160번길 26(시립박물관),인천광역시,2020-08-10
기념물,1,문학산성,"1곽(87,170㎡)",인천광역시 남구 문학동 164-69번지,인천광역시,1986-12-18
기념물,2,화도진지,"9,482㎡",인천광역시 동구 화도진로 114,동구,1990-11-09
기념물,3,김재로 묘,1기(434.3㎡),인천광역시 남동구 운연동 산64-13번지,국토교통부,1990-11-09
기념물,4,이윤생ㆍ강씨정려,1동(66㎡),인천광역시 남구 독배로404번길 34,부평이씨 승지공파 종친회,1990-11-09
