연번,광역지자체명,기초지자체명,법인명,상호,업태,소재지,건물 연면적(제곱미터),영업장 면적(제곱미터),매장면적(제곱미터),영업 개시일
1,인천광역시,중구,주식회사 상봉,버터플라이시티,그 밖의 대규모점포,인천광역시 중구 흰바위로59번길 8(운서동) 1~2층,70960.47,7522.89,6296.89,2021-06-30
2,인천광역시,중구,㈜이마트,이마트동인천점,대형마트,인천광역시 중구 인중로 134,39947,18493,10337,2001-01-06
3,인천광역시,중구,롯데쇼핑㈜롯데마트,롯데쇼핑㈜롯데마트 영종도점,대형마트,인천광역시 중구 흰바위로 51,33219,18426,8621,2006-12-21
4,인천광역시,중구,주식회사에어포트로얄프라자,주식회사에어포트로얄프라자,쇼핑센터,인천광역시 중구 공항로424번길 47 (운서동),64702,43707,26359,2005-04-25
5,인천광역시,동구,인천송림공구시장,인천송림공구시장,그 밖의 대규모점포,인천광역시 동구 봉수대로 98(송림동),15052,15052,10757,1994-06-28
6,인천광역시,동구,인천산업유통사업협동조합,인천산업유통사업협동조합,그 밖의 대규모점포,인천광역시 동구 방축로83번길 23(송림동),265710,265710,123432,1997-08-14
7,인천광역시,동구,㈜이마트,이마트 트레이더스 송림점,대형마트,인천광역시 동구 봉수대로 82,37459,37459,12123,1996-01-13
8,인천광역시,미추홀구,주안시민지하상가(주),주안시민지하상가,그 밖의 대규모점포,인천광역시 미추홀구 경인로 지하 343 (주안동),17845,5743,5473,1994-11-17
9,인천광역시,미추홀구,삼화복합빌딩(동아탑월드),삼화복합빌딩(동아탑월드),그 밖의 대규모점포,"인천광역시 미추홀구 독배로 443(숭의동, 삼화복합빌딩)",31070,8598,1808,1998-02-10
10,인천광역시,미추홀구,태흥프라자,태흥프라자,그 밖의 대규모점포,인천광역시 미추홀구 경원대로 848 (주안동),12015.23,3563,2230.46,2008-07-11
11,인천광역시,미추홀구,신주안종합재건축조합,보미리즌빌,그 밖의 대규모점포,"인천광역시 미추홀구 경원대로 890 (주안동, 보미 리즌빌)",18515,6882,4033.64,2013-01-21
12,인천광역시,미추홀구,네오밸류 디앤씨(유),앨리웨이 인천,그 밖의 대규모점포,"인천광역시 미추홀구 숙골로87번길 5(도화동, 더샵 인천스카이타워 2단지)",56781.44,30010.7,20973.16,2021-03-25
13,인천광역시,미추홀구,홈플러스테스코,홈플러스 인하점,대형마트,인천광역시 미추홀구 소성로 6(용현동),48619,32107,15198,2005-05-03
14,인천광역시,미추홀구,홈플러스 ㈜,홈플러스 인천숭의점,대형마트,인천광역시 미추홀구 석정로 51(숭의동),112579,20979,19460,2011-09-26
15,인천광역시,미추홀구,롯데인천개발(주),롯데백화점 인천터미널점,백화점,인천광역시 미추홀구 연남로 35(관교동),156482,134254,59168,1997-11-08
16,인천광역시,미추홀구,신성쇼핑센타,신성쇼핑센타,쇼핑센터,인천광역시 미추홀구 주안중로 25 (주안동),6810,4676,4676,1992-02-21
17,인천광역시,연수구,(주)이마트,이마트 연수점,대형마트,인천광역시 연수구 경원대로 184 (동춘동),48452,48452,18016,2002-12-12
18,인천광역시,연수구,롯데쇼핑㈜,롯데마트 연수점,대형마트,인천광역시 연수구 청능대로 87 (청학동),26003,14249,9197,2000-03-23
19,인천광역시,연수구,홈플러스㈜,홈플러스 인천연수점,대형마트,인천광역시 연수구 청능대로 210 (동춘동),67991,30040,27543,2012-08-23
20,인천광역시,연수구,롯데쇼핑㈜,롯데마트 송도점,대형마트,인천광역시 연수구 컨벤시아대로 177 (송도동),32394,15384,10874,2013-12-19
21,인천광역시,연수구,(주)코스트코 코리아,코스트코 홀세일 송도점,대형마트,인천광역시 연수구 컨벤시아대로230번길 60 (송도동),47003,16784,13875,2017-01-09
22,인천광역시,연수구,㈜서부티엔디,스퀘어 원,복합쇼핑몰,인천광역시 연수구 청능대로 210 (동춘동),169052,108205,88351,2012-10-05
23,인천광역시,연수구,㈜이랜드리테일,NC큐브 커넬워크점,쇼핑센터,인천광역시 연수구 아트센터대로 87 (송도동),118247,40862,19786,2013-08-31
24,인천광역시,연수구,홈플러스㈜,홈플러스 인천송도점,쇼핑센터,인천광역시 연수구 송도국제대로 165 (송도동),48508,31077,29337,2015-10-15
25,인천광역시,연수구,㈜현대백화점,현대백화점 프리미엄 아울렛 송도점,쇼핑센터,인천광역시 연수구 송도국제대로 123 (송도동),136534,58547,44643,2016-04-27
26,인천광역시,연수구,(주)에스디프런티어,트리플 스트리트,쇼핑센터,인천광역시 연수구 송도과학로16번길 33-3 (송도동),191091,191091,73020,2017-04-29
27,인천광역시,연수구,㈜엘에프네트웍스,엘에프네트웍스연수점,전문점,인천광역시 연수구 청능대로23번길 11 (청학동),30931,17180,13540,2012-12-21
28,인천광역시,남동구,공장용품상가자치위원회,공장용품상가,그 밖의 대규모점포,인천광역시 남동구 남동서로 226(논현동),4956,4956,3269,1994-12-08
29,인천광역시,남동구,한국산업단지공단,남동후생시설,그 밖의 대규모점포,인천광역시 남동구 남동대로239번길 68 (논현동) 남동후생시설,,4265,3631,1995-07-01
30,인천광역시,남동구,소래포구종합어시장,소래포구종합어시장,그 밖의 대규모점포,인천광역시 남동구 소래역로 12(논현동),22388,13606,12219,2011-09-30
31,인천광역시,남동구,홈플러스 주식회사,홈플러스(주)구월점,대형마트,인천광역시 남동구 예술로 198(구월동),82294,20082,12117,1999-06-24
32,인천광역시,남동구,홈플러스,홈플러스(주) 간석점,대형마트,인천광역시 남동구 경원대로 971 (간석동) 경원대로 971(간석동),42745,37251,32550,2001-06-12
