"월별(1)","집계 관광지수 (개소)","유료관광지 방문객수 (명)","내국인 유료관광지 방문객수 (명)","외국인 유료관광지 방문객수 (명)","무료관광지 방문객수 (명)"
"01","48","463163","456730","6433","1123619"
"02","48","619151","611462","7689","956933"
"03","48","968808","957227","11581","1473354"
"04","48","1418816","1405305","13511","1859081"
"05","48","1354567","1341290","13277","1951494"
"06","48","890245","877769","12476","1617119"
"07","48","704576","687839","16737","659262"
"08","48","917179","890297","26882","839757"
"09","48","1066156","1045825","20331","1304110"
"10","48","1630596","1598718","31878","1769194"
"11","48","714380","695840","18540","1116060"
"12","48","534724","519343","15381","1011369"
