연번,유형,문화재명,지정번호,지정일자,데이터기준일자
1,사적,인천 답동성당,287,1981-09-25,2020-09-15
2,사적,팔미도등대,557,2020-09-15,2020-09-15
3,등록문화재,인천 선린동 공화춘,246,2006-04-14,2020-09-15
4,등록문화재,구 일본우선주식회사 인천지점,248,2006-04-14,2020-09-15
5,등록문화재,구 인천부 청사,249,2006-04-14,2020-09-15
6,등록문화재,인천 제물포고등학교 강당,427,2008-10-27,2020-09-15
7,등록문화재,인천 구 대화조 사무소,567,2013-08-29,2020-09-15
8,등록문화재,인천 세관 구 창고와 부속동,569,2013-10-29,2020-09-15
9,시 유형,구 인천 일본제1은행지점,7,1982-03-02,2020-09-15
10,시 유형,인천우체국,8,1982-03-02,2020-09-15
11,시 유형,용궁사,15,1990-11-09,2020-09-15
12,시 유형,구 제물포구락부,17,1993-07-06,2020-09-15
13,시 유형,구 인천 일본제58은행지점,19,1993-07-06,2020-09-15
14,시 유형,홍예문,49,2002-12-23,2020-09-15
15,시 유형,구 인천일본제18은행지점,50,2002-12-23,2020-09-15
16,시 유형,인천 내동성공회성당,51,2002-12-23,2020-09-15
17,시 유형,능인교당 신중탱화,61,2009-03-02,2020-09-15
18,시 유형,용궁사 수월관음도,76,2016-02-24,2020-09-15
19,시 기념물,용궁사 느티나무,9,1990-11-09,2020-09-15
20,시 기념물,청·일조계지경계계단,51,2002-12-23,2020-09-15
21,시 기념물,삼목도선사주거지,55,2006-09-11,2020-09-15
22,시 민속문화재,용동큰우물,2,1996-06-12,2020-09-15
23,문화재자료,조병수 가옥,16,1997-07-14,2020-09-15
24,문화재자료,능인교당 현왕탱화,24,2009-03-02,2020-09-15
25,문화재자료,양주성금속비,29,2019-07-29,2020-09-15
