의료기관종별,의료기관명,의료기관주소(도로명),의료기관전화번호
병원,마라톤정형외과병원,"대전광역시 서구 둔산남로 87, 2~6층 (둔산동)",042-719-1199
병원,탄방엠블병원,"대전광역시 서구 문정로48번길 70, 3,6층 (탄방동)",042-1899-2955
병원,글로벌삼육오엠씨병원,"대전광역시 서구 대덕대로 194, 백마빌딩 7~10층 (둔산동)",042-488-3653
병원,탄탄병원,"대전광역시 서구 계룡로553번길 72, 1~4, 6~11층 (탄방동)",042-476-2580
병원,다빈치병원,대전광역시 서구 계룡로553번길 60 (탄방동),1566-9852
병원,바른생각병원,대전광역시 서구 청사로 128 (월평동),042-337-0001
병원,마인드병원,"대전광역시 서구 대덕대로242번길 48, 6~9층 (둔산동, 유니온빌딩)",042-528-6550
병원,킴벨피부과병원,"대전광역시 서구 대덕대로 238, 2층 (둔산동)",042-471-7575
병원,써지탑병원,"대전광역시 서구 대덕대로 238, 4,5,6층 (둔산동)",042-484-9898
병원,더블유여성병원,"대전광역시 서구 문정로48번길 70, 3,4,5층 (탄방동)",042-485-7777
병원,대전센텀병원,대전광역시 서구 청사로 234 (둔산동),042-472-0100
병원,바로세움병원,대전광역시 서구 둔산남로 107 (둔산동),042-489-8888
병원,의료법인삼영의료재단 둔산병원,대전광역시 서구 대덕대로175번길 60 (둔산동),042-488-4671
병원,가톨릭병원,대전광역시 서구 도산로 351 (용문동),042-537-0222
병원,고운손병원,"대전광역시 서구 둔산서로 59, 8,9층 (둔산동)",042-472-7445
병원,서울여성병원,"대전광역시 서구 문정로 7, 신한일빌딩 B1,2~6층 (둔산동)",042-488-8275
병원,에스앤케이병원,"대전광역시 서구 둔산남로 46 (둔산동, 4,5층 BYC사옥)",042-476-9020
치과병원,학교법인원광학원원광대학교치과대학대전치과병원,대전광역시 서구 둔산로 77 (둔산동),042-366-1114
병원,미즈여성병원,대전광역시 서구 문정로2번길 95 (탄방동),042-483-3575
병원,허리사랑병원,대전광역시 서구 계룡로 618 (괴정동),042-528-7588
병원,대전우리병원,"대전광역시 서구 문정로48번길 70, 7,8,9,10층 (탄방동)",042-1577-0052
병원,조이병원,대전광역시 서구 계룡로553번길 18 (탄방동),042-485-2235
병원,세우리병원,대전광역시 서구 둔산북로 36 (둔산동),042-478-8000
병원,미래여성병원,대전광역시 서구 대덕대로176번길 15 (둔산동),042-471-7100
병원,한마음정신병원,대전광역시 서구 삼보실길 123 (장안동),042-582-9700
병원,연합정형외과병원,대전광역시 서구 계룡로 619 (탄방동),042-536-0911
