순번,의료기관명,의료기관주소(도로명),의료기관전화번호
1,서울새로이치과의원,"대전광역시 서구 계룡로 586, KMT빌딩 6층 3호 (괴정동)",042-362-0452
2,까페치과의원,"대전광역시 서구 동서대로 1077, 신한빌딩 2층 (내동)",042-525-2825
3,청담수치과의원,"대전광역시 서구 대덕대로 229, 둔산빌딩 8층 (둔산동)",042-365-2879
4,미소라인치과의원,"대전광역시 서구 계룡로 625, 3층 (탄방동)",042-528-2878
5,엘치과의원,"대전광역시 서구 계룡로 595, GOLD BANK gold 4층 (탄방동)",042-385-2002
6,서울메이치과의원,"대전광역시 서구 구봉로 137, 401호 (관저동)",042-541-7528
7,더봄구강악안면외과치과의원,"대전광역시 서구 대덕대로 230, LG전자베스트샵 4층 (둔산동)",042-710-2875
8,정림탑치과의원,"대전광역시 서구 정림로 18, 3층 (정림동)",042-721-2875
9,조이치과의원관저점,"대전광역시 서구 관저로 27, 302호 (관저동)",042-543-2000
10,바른길치과의원,"대전광역시 서구 계룡로 639, 에이스침대 대전사옥 3층 (탄방동)",042-710-0114
11,두루미치과의원,"대전광역시 서구 구봉로 125, 2층 203호 (관저동)",042-542-2115
12,장호열치과의원,"대전광역시 서구 청사로 130, 청사로프라자 3층 301호 (월평동)",042-478-7528
13,비케이소아치과치과의원,"대전광역시 서구 대덕대로 179, 엠제이피부과  굿모닝어학원 11층 1101일부호 (둔산동)",042-719-7522
14,미소현치과의원,"대전광역시 서구 관저북로13번길 23-12, 403호 (관저동)",042-543-7528
15,이지치과의원,"대전광역시 서구 관저로 13, 명경프라자 401호 (관저동)",042-544-2882
16,닥터서치과의원,"대전광역시 서구 계룡로 636, 301호 (용문동)",042-257-7575
17,건강치과의원,"대전광역시 서구 계룡로615번길 7, 1층 (탄방동)",042-524-2804
18,센텀치과의원,"대전광역시 서구 청사로 234, 2층 (둔산동)",042-482-2272
19,서울다정치과의원,"대전광역시 서구 관저로14번길 40, 비젼9 201호 (관저동)",042-545-7528
20,연세치과의원,"대전광역시 서구 가장로 106, 202-2호 (가장동, 삼성 래미안아파트)",042-381-2080
21,에제르치과의원,"대전광역시 서구 구봉로 133, 304호 (관저동)",042-545-3373
22,올바른치과의원,"대전광역시 서구 구봉로 139, 203~204호 (관저동)",042-542-2300
23,이동근김형민치과의원,"대전광역시 서구 계룡로 599, 한밭새마을금고 사옥 401호 (탄방동)",042-538-7528
24,조이치과의원,"대전광역시 서구 계룡로553번길 18, 2층 202,203,204호 (탄방동)",042-719-9111
25,365디지털치과의원,"대전광역시 서구 대덕대로 189, 6~7층 (둔산동)",042-476-2875
26,관저키즈치과의원,"대전광역시 서구 구봉로 139, 401~402호 (관저동)",042-719-7528
27,둔산정치과의원,"대전광역시 서구 대덕대로 199, 7층 701호 (둔산동)",042-483-5222
28,대전로하스의료소비자생활협동조합 유플러스치과의원,"대전광역시 서구 둔산남로 3, 4층 (둔산동)",042-483-7928
29,엠케이치과의원,"대전광역시 서구 계백로 1135, 8층 (가수원동)",042-536-2875
30,흑석임치과의원,대전광역시 서구 벌곡로 654 (흑석동),042-585-7528
31,소리소플러스치과의원,"대전광역시 서구 대덕대로 226, 5층 (둔산동, 명동프라자)",042-477-2882
32,오렌지치과의원,"대전광역시 서구 계룡로 616, 505호,506호호 (괴정동, 대전오렌지타운)",042-528-7522
33,뉴엠치과의원,"대전광역시 서구 계룡로 651, 5층 (용문동)",042-551-2875
34,도안베스트치과의원,"대전광역시 서구 원도안로 16, 304,305호 (가수원동, 지산프라자)",042-542-2759
35,프리미어치과의원,"대전광역시 서구 계백로 1272, 4층 (정림동)",042-719-2080
36,서울비케이치과의원,"대전광역시 서구 대덕대로 179, 1101호 (둔산동, 엠제이피부과굿모닝어학원빌딩)",042-719-7522
37,서울브라운치과의원,"대전광역시 서구 둔산로 129, 4층 (둔산동, 메디빌딩)",042-716-5028
38,연세고운미소치과의원,"대전광역시 서구 대덕대로 203, 5층 (둔산동, 미래빌딩)",042-471-1010
39,이세현치과의원,"대전광역시 서구 둔산남로 94, 8층 (탄방동)",042-472-2885
40,닥터신치과의원,"대전광역시 서구 도안동로 9, 리더스프라자비 4층 (가수원동)",042-544-2876
41,서울오라클치과교정과치과의원,"대전광역시 서구 대덕대로 182, 4층 403호 (둔산동, 오라클빌딩)",042-476-1001
42,명인치과의원,"대전광역시 서구 계백로 1141, 5층 502호 (가수원동, 가수원클리닉빌딩)",042-719-7190
43,도안엠치과의원,"대전광역시 서구 원도안로 51, 3층 306호 (가수원동, 성광타워)",042-545-1275
44,서울퍼스트치과의원,"대전광역시 서구 도안중로305번길 6, 3층 (도안동)",042-541-6711
45,가지런이치과교정과치과의원,"대전광역시 서구 대덕대로 194, 4층 401호 (둔산동, 백마빌딩)",042-488-9075
46,도솔치과의원,"대전광역시 서구 원도안로 47, 2층 202호 (가수원동, 우보메디피아)",042-542-0275
47,이노치과의원,"대전광역시 서구 대덕대로 183, 6층 (둔산동, DS클리닉)",042-471-0028
48,최연석치과의원,"대전광역시 서구 대덕대로 183, 5층 (둔산동)",042-488-2872
49,굿모닝서울치과의원,"대전광역시 서구 계룡로 605, 501호 (탄방동)",042-536-0050
50,남스힐링치과의원,"대전광역시 서구 둔산로 142, 4층 (둔산동, 신화빌딩)",042-471-2275
51,비앤에스치과의원,"대전광역시 서구 문정로 85, 3층 (탄방동)",042-471-2879
52,세상에하나뿐인치과의원,"대전광역시 서구 둔산로31번길 21, 3,4,6,7층 (둔산동)",042-486-2885
53,서울굿모닝치과의원,"대전광역시 서구 도안동로 177, 2층 204호 (도안동, 수목토아파트상가)",042-544-8575
54,둔산세이정치과의원,"대전광역시 서구 둔산로 130, 6층 606호 (둔산동, 대덕프라자)",042-472-2275
55,편한석치과의원,"대전광역시 서구 도산로 159, 4층 (변동, 신성빌딩)",042-536-2877
56,더편한치과의원,"대전광역시 서구 둔산북로 22, 305,311호 (둔산동, 라이프종합상가)",042-485-2879
57,미소윤치과의원,"대전광역시 서구 문정로 131, 2층 206호 (탄방동, 뉴한양프라자)",042-485-9098
58,준플란트치과의원,"대전광역시 서구 계백로 1161, 4층 403호 (가수원동, 유니온빌딩)",042-716-1010
59,비엘치과의원,"대전광역시 서구 대덕대로 398, 5층 (만년동)",042-487-2080
60,확실한연합치과의원,"대전광역시 서구 도산로 69, 3층 (도마동)",042-521-2275
61,관저벧엘치과의원,"대전광역시 서구 관저동로 66, 2층 (관저동)",042-546-7528
62,한국건강관리협회치과의원,"대전광역시 서구 계룡로 611, 5층 (탄방동)",042-532-9890
63,행복한수치과의원,"대전광역시 서구 가장로 100, 3층 (가장동)",042-523-7528
64,도안프라임치과의원,"대전광역시 서구 동서대로 682, 3층 303,304호 (도안동)",042-824-2879
65,민승기브이라인치과의원,"대전광역시 서구 둔산로 71, 3층 (둔산동)",042-716-0075
66,박재구치과의원,"대전광역시 서구 관저중로 98, 2층 206호 (관저동, 리틀파워존)",042-541-2804
67,노블란트치과의원,"대전광역시 서구 문정로48번길 58, 5층 (탄방동)",042-482-1300
68,바른이치과의원,"대전광역시 서구 관저서로 70, 101호 (관저동)",042-544-7501
69,노블리안치과의원,"대전광역시 서구 관저동로 86, 2,3층 (관저동)",042-533-7522
