대표음식,상호명,주요음식,소재지,전화번호
삼계탕,한밭삼계탕,삼계탕,대전광역시 대덕구 대전로1019번길 36,042-636-9952
삼계탕,신풍전삼계탕,삼계탕,대전광역시 중구 계백로 1620,042-581-1755
삼계탕,가마솥집,삼계탕,대전광역시 중구 계백로 1709-20,042-534-4866
삼계탕,별천지,삼계탕,대전광역시 동구 산서로1659번길 29 별천지,042-271-0207
삼계탕,장수촌,"누룽지삼계탕, 쟁반막국수",대전광역시 대덕구 송촌북로5번길 10-11,042- 934-7510
삼계탕,구구전복삼계탕,삼계탕,대전광역시 대덕구 비래서로81번길 2,042- 623-9952
삼계탕,한방삼계탕,한방삼계탕,대전광역시 유성구 전민로14번길 43,042- 861-6127
삼계탕,고려한방삼계탕,삼계탕,대전광역시 유성구 문화원로14번길 42,042-823-2330
삼계탕,수복삼계탕,삼계탕,대전광역시 서구 둔산중로 66,042 -489 -8233
삼계탕,풍전삼계탕식당,삼계탕,대전광역시 동구 계족로 414 2층,042- 631-3838
삼계탕,풍년삼계탕식당,삼계탕,대전광역시 동구 계족로 407,042- 632-5757
삼계탕,풍전삼계탕,삼계탕,대전광역시 서구 문정로2번길 145,0507-1436-0095
삼계탕,금성삼계탕,삼계탕,대전광역시 동구 선화로196번길 44 금성삼계탕,042- 254-3422
돌솥밥,다빈돌솥밥,돌솥밥,대전광역시 대덕구 석봉로44번안길 14,0507-1347-3181
돌솥밥,거저울곤드레돌솥밥,돌솥밥,대전광역시 유성구 은구비서로23번길 8-12,042-488-0630
돌솥밥,금촌,등심구이,대전광역시 서구 둔산중로134번길 39,042- 482-3592
돌솥밥,장수돌솥밥,돌솥밥,대전광역시 중구 보문로 241-1,042- 222-7877
돌솥밥,귀빈돌솥밥[만년점],돌솥밥,대전광역시 서구 만년로68번길 21,042-488-3340
설렁탕,송정설렁탕,설렁탕,대전광역시 유성구 온천로 53,042-826-1228
설렁탕,유가본가설렁탕,설렁탕,대전광역시 중구 보문산로 36,042-364-3455
설렁탕,류근선의진국설렁탕본점,설렁탕,대전광역시 중구 동서대로 1199,042-532-0447
설렁탕,신촌설렁탕(만년점),설렁탕,대전광역시 서구 대덕대로 390,042- 489-2322
설렁탕,신촌설렁탕(문화점),설렁탕,대전광역시 중구 대흥로 15,042- 254-6350
설렁탕,혜성옥,설렁탕,대전광역시 대덕구 한밭대로 1147,042-673-4895
숯골냉면,숯골원조냉면식당,냉면,대전광역시 유성구 신성로 121,042-861-6730
대청호민물매운탕,갈밭식당,매운탕,대전광역시 대덕구 대청호수로 1553 갈밭식당,042- 932-3872
대청호민물매운탕,야호정,민물고기매운탕,대전광역시 대덕구 대청호수로 1869,042-932-0661
구즉도토리묵,산밑할머니보리밥집,도토리묵,대전광역시 유성구 관용로 33,042- 935-2947
구즉도토리묵,초가묵집,도토리묵,대전광역시 유성구 탑립로 6,042- 934-5739
구즉도토리묵,솔밭묵집,도토리묵,대전광역시 유성구 관용로 51,042- 935-5686
구즉도토리묵,구즉묵집,도토리묵,대전광역시 유성구 대덕대로 1091-25,042- 935-2016
구즉도토리묵,산골묵집,도토리묵,대전광역시 유성구 관용로63번길 47,042- 935-9900
구즉도토리묵,할머니묵집,도토리묵,대전광역시 유성구 금남구즉로 1378,042- 935-5842
