구분,업체명,주소,전화번호,객실수,홈페이지
일반호텔,럭키호텔,대전광역시 중구 당디로 112 럭키호텔 (유천동),042-583-9481,25,
일반호텔,토요코인 대전정부청사앞,대전광역시 서구 둔산중로134번길 13 (둔산동),042-545-1045,300,https://www.toyoko-inn.com/korea/ 
일반호텔,호텔 스탕달,"대전시 유성구 온천북로14, 3층~13층 ",042-822-1345,70,http://stendhalhotel.co.kr/ 
일반호텔,레지던스호텔힐링,"대전광역시 서구 둔산로51번길 76, 2층~12층 (둔산동)",042-485-0161,55,http://residencehealing.com 
일반호텔,호텔그레이톤둔산,"대전광역시 서구 둔산중로 70, 3층~15층 (둔산동) ",042-483-3100,211,http://graytone.co.kr 
일반호텔,㈜굿모닝레지던스호텔휴,"대전광역시 서구 둔산로73번길 21, 1~11층 (둔산동) ",042-489-4000,134,http://www.hotelrest.co.kr 
일반호텔,부띠크호텔락희,대전광역시 서구 대덕대로220번길 23 (둔산동) ,042-482-0100,54,http://www.hotellacky.com 
일반호텔,레지던스호텔라미아,"대전광역시 서구 둔산로51번길 42, 2~10층 (둔산동) ",042-334-0100,106,http://www.hotellamai.com 
일반호텔,대전나무호텔,대전시 유성구 온천서로 30-6(봉명동) ,042-822-3445,49,www.namoohotel.kr 
일반호텔,대림호텔,대전광역시 중구 대종로505번길 50 (선화동),042-251-9500,44,http://www.daelimhotel.com/ 
중저가숙박업소,호텔레인보우,대전광역시 서구 월평로 53-10 호텔레인보우 (월평동),042-476-1818,45,http://www.daejeon-rainbowhotel.com 
중저가숙박업소,블랙호텔,대전광역시 서구 용문로 65 용문동 (용문동),042-535-0070,31,
중저가숙박업소,금모텔,대전광역시 중구 문창로 85-5 (문창동),042-222-2626,20,
중저가숙박업소,호텔나인,대전 대덕구 한밭대로1149번길19(중리동),042-635-6233,30,
중저가숙박업소,아우디모텔,대전 대덕구 신탄진로810번길46(신탄진동),042-935-5650,26,
중저가숙박업소,스카이모텔,대전광역시 대덕구 신탄진동로23번길43(신탄진동),042-936-1555,25,
중저가숙박업소,소풍,대전광역시 동구 동서대로1705번길 42 (용전동),042-625-9559,30,
중저가숙박업소,엣스주식회사,대전광역시 유성구 계룡로123번길 67 지상1-9층(봉명동),042-867-9400,48,
중저가숙박업소,케이비모텔,대전광역시 동구 동서대로1705번길 58-18 (용전동),042-636-5858,40,
중저가숙박업소,아로마모텔,대전광역시 대덕구 신탄진동로7번길 29 (신탄진동),042-935-2333,35,
중저가숙박업소,오페라모텔,대전광역시 중구 대종로606번길 36 (선화동),042-257-5231,33,
중저가숙박업소,잉카의태양,대전광역시 중구 당디로124번길 47 (유천동),070-4215-8509,30,
중저가숙박업소,테마모텔,대전광역시 중구 대흥로169번길 12 (대흥동),042-223-9100,34,
중저가숙박업소,자바모텔,대전광역시 중구 중앙로109번길 36 (선화동),042-256-6191,28,
중저가숙박업소,초원의집모텔,대전광역시 중구 문창로94번길 28 (문창동),042-537-3367,30,
중저가숙박업소,커플모텔,대전광역시 중구 대흥로158번길 13 (대흥동),042-256-7716,30,
중저가숙박업소,시네마모텔,대전광역시 중구 대종로 418 (대흥동),042-252-3107,30,
중저가숙박업소,앙코르,대전광역시 중구 대종로396번길 8 (대흥동),042-242-8080,33,
중저가숙박업소,69모텔,대전광역시 중구 대종로452번길 48 (대흥동),042-255-6933,31,
중저가숙박업소,호텔버스,대전광역시 중구 계룡로921번길 16 (대사동),042-222-1103,31,www.bushotel.co.kr 
중저가숙박업소,메이저모텔,대전광역시 중구 대흥로 18 (대사동),042-223-0310,30,
중저가숙박업소,레이크모텔,대전광역시 중구 계룡로921번길 11 (대사동),042-254-5551,32,
중저가숙박업소,갤러리모텔,대전광역시 서구 둔산남로 98-16 (탄방동),042-476-4100,42,
중저가숙박업소,샘보석사우나모텔,대전광역시 서구 청사로123번길 38 (월평동),042-487-3003,32,
중저가숙박업소,더블유모텔,대전광역시 서구 용문로 67 (용문동),042-537-6666,33,
중저가숙박업소,SM모텔,대전광역시 서구 둔산중로58번길 35 (둔산동),042-471-5381,44,
중저가숙박업소,프라임모텔,대전광역시 서구 둔산로65번길 30 (둔산동),042-482-5646,35,
중저가숙박업소,큐모텔,대전광역시 서구 둔산중로40번길 34 (둔산동),042-471-0071,45,
중저가숙박업소,오백호모텔,대전광역시 서구 둔산로65번길 39 (둔산동),042-471-3361,46,
중저가숙박업소,리더스모텔,대전광역시 서구 둔산로73번길 37 (둔산동),042-486-9796,40,
중저가숙박업소,보보스모텔,대전광역시 서구 용문로 41-54 (괴정동),042-527-0671,32,
중저가숙박업소,파타야모텔,대전광역시 동구 대전천동로 482-1 (인동),042-285-2356,28,
중저가숙박업소,아리아모텔,대전광역시 동구 한밭대로1316번길 44 (용전동),042-635-9600,32,
중저가숙박업소,HI호텔,대전광역시 동구 용운로 169 (용운동),042-283-4401,31,
중저가숙박업소,르비쥬모텔,대전광역시 대덕구 중리남로 53 (중리동),042-624-8808,36,
중저가숙박업소,잉카모텔,대전광역시 대덕구 중리로7번길 22 (중리동),042-627-1010,39,
중저가숙박업소,리무진모텔,대전광역시 중구 중앙로129번길 28 (선화동),042-254-0953,40,
중저가숙박업소,헐리우드 모텔,대전광역시 유성구 한밭대로492번길 16-26 (봉명동),042-822-9701,33,
중저가숙박업소,에이스모텔,대전광역시 대덕구 한밭대로1149번길 25-11 (중리동),042-625-5954,29,
중저가숙박업소,아미조 모텔,대전광역시 대덕구 한밭대로1149번길 25-6 (중리동),042-626-0022,35,
중저가숙박업소,콩모텔,대전광역시 중구 대종로602번길 13 (선화동),042-221-4655,25,
중저가숙박업소,뤼파인드호텔,대전광역시 중구 대종로584번길 41 (선화동),042-254-2842,35,
중저가숙박업소,베르사유 모텔,대전광역시 중구 동서대로1456번길 51 (선화동),042-255-5724,26,
중저가숙박업소,모노그리스모텔,대전광역시 중구 대종로594번길 29 (선화동),042-254-7031,30,
중저가숙박업소,캘리포니아,대전광역시 중구 대종로594번길 28 (선화동),042-252-7999,21,
중저가숙박업소,카이텔 모텔,대전광역시 중구 동서대로1466번길 54 (선화동),042-257-8835,29,
중저가숙박업소,베르사체 모텔,대전광역시 중구 대종로 594번길 51,042-254-7012,25,
중저가숙박업소,오클랜드,대전광역시 중구 대종로 594번길 55,042-255-9700,25,
중저가숙박업소,고추잠자리 모텔,대전광역시 중구 대종로594번길 43 (선화동),042-251-9115,35,
중저가숙박업소,래미안모텔,대전광역시 중구 대종로594번길 37 (선화동),042-251-8000,36,
중저가숙박업소,올리비아,대전광역시 중구 동서대로 1456번길 57,042-257-9250,35,
중저가숙박업소,시드니모텔,대전광역시 중구 대종로584번길 43 (선화동),042-223-2552,33,
중저가숙박업소,디오스모텔,대전광역시 중구 대종로584번길 49 (선화동),042-253-2886,30,
중저가숙박업소,경원장모텔,대전광역시 유성구 온천서로 32-24 (봉명동),042-822-8820,24,
중저가숙박업소,리츠텔,대전광역시 유성구 온천북로 26 (봉명동),042-824-7777,35,
중저가숙박업소,호텔메이,대전광역시 유성구 계룡로105번길 25 (봉명동),042-823-4664,42,
중저가숙박업소,LOD호텔(엘오디),대전광역시 유성구 온천서로 30-15 (봉명동),042-823-3620,42,
중저가숙박업소,럭셔리모텔,대전광역시 유성구 온천서로 30-10 (봉명동),042-824-0652,45,
중저가숙박업소,루이스,대전광역시 유성구 온천서로 32-16 (봉명동),042-826-0044,32,
중저가숙박업소,아이무인호텔,대전광역시 유성구 온천북로33번길 8-27 (봉명동),042-825-7510,33,
중저가숙박업소,아트모텔,대전광역시 유성구 온천서로 32-12 (봉명동),042-823-2988,33,
중저가숙박업소,에이스모텔,대전광역시 유성구 계룡로141번길 13-21 (봉명동),042-823-0511,45,
중저가숙박업소,까펠라모텔,대전광역시 유성구 한밭대로492번길 16-32 (봉명동),042-823-0953,33,
중저가숙박업소,송암파크,대전광역시 유성구 계룡로87번길 66 (봉명동),042-824-4459,31,
중저가숙박업소,카펠라모텔,대전광역시 대덕구 한밭대로1149번길 15-5 (중리동),042-625-0033,36,
중저가숙박업소,시네마모텔,대전광역시 대덕구 중리남로 51 (중리동),042-635-3535,36,
중저가숙박업소,힐튼모텔,대전광역시 유성구 문화원로6번길 114 (장대동),042-825-1133,36,
중저가숙박업소,퀸모텔,대전광역시 유성구 계룡로123번길 12 (봉명동),042-824-9944,34,
중저가숙박업소,모아파크,대전광역시 유성구 계룡로141번길 29-12 (봉명동),042-824-0622,32,
