시도,시군구,업종,업소명,주소,주요품목,가격,연락처
대전광역시,동구,기타양식,파절이치킨,대전광역시 동구 동서대로1748번길 154(가양동),파절이치킨,10000원,042-624-6001
대전광역시,동구,한식_육류,돈하우스,"대전광역시 동구 동대전로131번길 8-16, 1층(자양동)",치킨까스,4900원,
대전광역시,동구,한식_육류,가양돼지,"대전광역시 동구 동대전로284번길 117, 동신아파트 1동1층2호(가양동)",삼겹살,10000원,042-637-3337
대전광역시,동구,한식_일반,태평소국밥,대전광역시 동구 계족로140번길 91(용운동),소국밥,6000원,042-286-9825
대전광역시,동구,한식_일반,대동식당,대전광역시 동구 우안4길 2,김치찌게,6000원,042-283-5556
대전광역시,동구,한식_면류,진짜손칼국수,대전광역시 동구 우암로 341-2,칼국수,4500원,042-622-0109
대전광역시,동구,기타서비스업,드림안경콘텍트,대전광역시 동구 홍도로 14-5(홍도동),NASO 158,10000원,042-639-0010
대전광역시,동구,이미용업,머리카락앤피부샵,대전광역시 동구 동서대로1692번길153(성남동),커트,7000원,042-626-0214
대전광역시,동구,한식_일반,이가네뼈다귀,"대전광역시 동구 계족로392번길60,1층(성남동)",순두부,6000원,042-672-4822
대전광역시,동구,한식_면류,하나 바지락 칼국수,대전광역시 동구 계족로392번길42(성남동),칼국수,5000원,042-632-5288
대전광역시,동구,한식_육류,와라 칼국수와 족발,대전광역시 동구 동서대로1668번길23(성남동),보쌈,28000원,042-389-9000
대전광역시,동구,한식_육류,배부른돼지,대전광역시 동구 동서대로1668번길24(성남동),냉면,5500원,042-627-0156
대전광역시,동구,한식_면류,미가칼국수,대전광역시 동구 백룡로 3(자양동),칼국수,5000원,042-621-7533
대전광역시,동구,한식_일반,진수성찬,대전광역시 동구 백룡로 29(자양동),백반,5000원,042-634-3898
대전광역시,동구,한식_면류,행복식당,대전광역시 동구 대전로815번길15,칼국수,4000원,042-222-9632
대전광역시,동구,이미용업,송미용실,대전광역시 동구 산내로 1346,파마,20000원,042-271-9443
대전광역시,동구,한식_찌개류,평양숨두부,대전광역시 동구 대전로 381,숨두부백반,5000원,042-284-4141
대전광역시,동구,중식,장성,대전광역시 동구 우암로 85번길 14,자장면,2500원,042-622-8494
대전광역시,동구,한식_일반,대전식당,대전광역시 동구 동산초교로 22번길 57,갈비탕,6000원,042-672-1262
대전광역시,동구,이미용업,헤어코리아미용실,대전광역시 동구 한남로 7번길 87,파마,20000원,042-672-0594
대전광역시,동구,한식_면류,진미칼국수,대전광역시 동구 동서대로 1572번길 187,칼국수,4000원,042-633-1486
대전광역시,동구,한식_찌개류,추부식당,대전광역시 동구 동서대로1683번길 37,소머리국밥,6000원,042-622-1429
대전광역시,동구,한식_일반,24시 서울식당,대전광역시 동구 동서대로 1695번길 53,설렁탕,5000원,042-626-1926
대전광역시,동구,한식_일반,희원숯불갈비식당,대전광역시 동구 가양로 56번길 19,삽겹살,7000원,042-627-5329
대전광역시,동구,중식,성심관,대전광역시 동구 동대전로 208,자장면,2000원,042-637-2822
대전광역시,동구,한식_일반,박가소머리곰탕,대전광역시 동구 백룡로 37번길 8-16,뚝배기갈비탕,6000원,042-621-1259
대전광역시,동구,한식_일반,뒤집어진뚝배기,대전광역시 동구 동대전로 131번길 8-11,참치뚝배기,4000원,042-622-3692
대전광역시,동구,중식,정통짜장,대전광역시 동구 동대전로 102,자장면,3000원,042-631-9887
대전광역시,동구,한식_육류,왕산갈비,대전광역시 동구 계족로 202,갈비탕,5000원,042-626-7006
대전광역시,동구,이미용업,연미용실,대전광역시 동구 용운로 193,파마,10000원,042-284-1618
대전광역시,동구,이미용업,곽은아미용실,대전광역시 동구 새울로 100,파마,15000원,042-251-8428
대전광역시,동구,한식_일반,정다운집,대전광역시 동구 용운로 151번길 85,돌솥김치볶음밥,4500원,042-285-1254
대전광역시,동구,한식_일반,한우농장 30년,대전광역시 동구 동부로 13,냉면,4500원,042-274-9393
대전광역시,동구,중식,만리장성,대전광역시 동구 동부로 73,자장면,1500원,042-282-2008
대전광역시,동구,한식_일반,사랑골보리밥식당,대전광역시 동구 동부로 56-7,된장찌개,5000원,042-274-0110
