"시점","계","시내","서울","부산","대구","인천","광주","대전","울산","경기","강원","충북","충남","전북","전남","경북","경남","제주"
"2019","82,398","28,381","5,919","898","818","1,186","754","20,314","335","6,923","688","4,948","6,495","1,474","825","1,140","978","322"
"201812","6,116","1,804","470","63","73","69","57","1,512","26","558","84","480","513","147","63","75","95","27"
"201811","5,485","1,803","361","51","55","59","58","1,433","14","504","60","367","414","95","48","72","72","19"
"201810","6,600","2,267","420","75","67","115","57","1,827","21","488","55","390","506","118","47","71","56","20"
"201809","6,082","2,212","424","85","64","73","58","1,447","22","500","43","365","442","81","77","85","83","21"
"201808","7,490","2,520","452","79","120","108","61","1,919","40","623","71","530","519","127","85","101","94","41"
"201807","7,101","2,707","470","78","68","89","58","1,597","25","551","51","521","497","127","55","111","72","24"
"201806","7,023","2,730","408","61","49","96","64","1,619","20","515","74","479","576","102","45","69","85","31"
"201805","6,498","2,332","492","56","48","77","75","1,628","19","490","52","431","497","81","51","76","68","25"
"201804","8,808","3,280","533","97","59","87","71","2,246","30","610","70","607","707","125","72","85","107","22"
"201803","7,957","2,440","575","105","61","93","97","2,185","32","683","88","542","626","145","72","92","103","18"
"201802","9,837","2,463","675","100","127","152","174","2,731","76","942","121","697","773","249","166","159","190","42"
"201801","7,436","1,892","581","93","96","107","67","2,036","36","675","101","569","628","177","90","121","124","43"
