"시점","계","시내","서울","부산","대구","인천","광주","대전","울산","경기","강원","충북","충남","전북","전남","경북","경남","제주"
"201812","4,333","1,804","350","58","26","101","27","530","6","373","58","306","447","77","51","48","55","16"
"201811","4,006","1,803","278","38","22","141","24","520","5","349","49","279","312","48","31","50","47","10"
"201810","4,494","2,267","322","47","29","56","28","541","11","364","40","255","375","38","30","36","38","17"
"201809","3,816","2,212","230","40","29","44","27","365","5","288","27","171","239","47","28","27","20","17"
"201808","4,782","2,520","308","43","31","59","23","658","12","343","28","256","309","43","48","56","22","23"
"201807","4,954","2,707","290","44","53","30","12","585","15","393","33","294","337","48","21","44","29","19"
"201806","4,498","2,730","225","27","28","37","21","420","8","298","18","189","342","50","31","33","29","12"
"201805","4,171","2,332","229","39","20","44","26","470","8","288","27","188","290","71","19","47","51","22"
"201804","5,170","3,280","256","29","25","43","14","459","13","324","36","215","317","46","32","43","16","22"
"201803","5,079","2,440","374","60","29","68","40","594","10","445","48","308","393","70","45","73","46","36"
"201802","5,140","2,463","477","68","53","65","42","562","12","402","54","245","412","79","52","51","68","35"
"201801","4,557","1,892","385","37","32","83","30","661","26","455","31","267","394","72","56","48","43","45"
"2018","55,000","28,450","3,724","530","377","771","314","6,365","131","4,322","449","2,973","4,167","689","444","556","464","274"
